SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
pa19	Global	1	0	1	0	1	0	353	1	
pa19	Global	2	0	1	1	0	0	315	1	
pa19	Global	3	0	1	0	0	0	327	1	
pa19	Global	4	0	1	1	0	1	150	0	
pa19	Global	5	0	0	1	0	0	434	1	
pa19	Global	6	0	1	1	1	1	571	1	
pa19	Global	7	0	0	0	0	1	309	1	
pa19	Global	8	0	0	0	0	0	314	1	
pa19	Global	9	0	1	0	1	0	422	1	
pa19	Global	10	0	1	0	1	0	304	1	
pa19	Global	11	0	1	1	0	0	331	1	
pa19	Global	12	0	0	1	1	0	441	1	
pa19	Global	13	0	1	0	1	0	356	1	
pa19	Global	14	0	1	1	1	1	150	0	
pa19	Global	15	0	0	0	1	1	407	1	
pa19	Global	16	0	0	1	1	1	455	1	
pa19	Global	17	0	1	0	0	0	332	1	
pa19	Global	18	0	0	0	0	1	386	1	
pa19	Global	19	0	0	0	1	0	311	1	
pa19	Global	20	0	0	0	0	0	331	1	
pa19	Global	21	0	1	1	0	1	150	0	
pa19	Global	22	0	1	1	1	0	459	1	
pa19	Global	23	0	1	1	0	1	520	1	
pa19	Global	24	0	0	1	1	0	323	1	
pa19	Global	25	0	0	1	1	0	329	1	
pa19	Global	26	0	0	1	0	1	150	0	
pa19	Global	27	0	1	0	1	0	327	1	
pa19	Global	28	0	1	0	1	1	317	1	
pa19	Global	29	0	1	1	1	1	394	1	
pa19	Global	30	0	0	0	0	0	328	1	
pa19	Global	31	0	1	0	0	1	406	1	
pa19	Global	32	0	0	1	0	1	494	1	
pa19	Local	1	0	0	1	1	0	821	1	
pa19	Local	2	0	0	1	0	0	150	0	
pa19	Local	3	0	1	0	1	1	954	1	
pa19	Local	4	0	0	1	0	1	504	1	
pa19	Local	5	0	1	0	1	0	418	1	
pa19	Local	6	0	1	0	0	0	410	1	
pa19	Local	7	0	1	1	1	0	402	1	
pa19	Local	8	0	0	1	0	0	616	1	
pa19	Local	9	0	1	0	0	1	511	1	
pa19	Local	10	0	0	0	0	0	386	1	
pa19	Local	11	0	0	1	0	1	431	1	
pa19	Local	12	0	1	0	1	1	433	1	
pa19	Local	13	0	1	1	1	1	402	1	
pa19	Local	14	0	0	1	1	1	150	0	
pa19	Local	15	0	0	0	1	1	458	1	
pa19	Local	16	0	1	1	0	0	567	1	
pa19	Local	17	0	0	1	1	0	601	1	
pa19	Local	18	0	0	0	0	0	382	1	
pa19	Local	19	0	1	1	0	1	150	0	
pa19	Local	20	0	0	1	0	0	425	1	
pa19	Local	21	0	0	0	1	1	515	1	
pa19	Local	22	0	0	0	0	0	407	1	
pa19	Local	23	0	0	0	0	0	407	1	
pa19	Local	24	0	0	1	1	1	350	1	
pa19	Local	25	0	0	0	1	0	368	1	
pa19	Local	26	0	0	1	1	0	587	1	
pa19	Local	27	0	0	1	0	0	391	1	
pa19	Local	28	0	1	0	1	1	411	1	
pa19	Local	29	0	0	1	1	1	395	1	
pa19	Local	30	0	0	0	0	1	338	1	
pa19	Local	31	0	1	0	0	0	305	1	
pa19	Local	32	0	1	0	1	1	396	1	
pa19	Global	1	1	0	1	1	1	682	1	
pa19	Global	2	1	1	0	0	1	401	1	
pa19	Global	3	1	1	1	1	0	150	0	
pa19	Global	4	1	0	1	0	0	562	1	
pa19	Global	5	1	0	0	1	1	587	1	
pa19	Global	6	1	0	1	0	0	494	1	
pa19	Global	7	1	0	0	1	0	352	1	
pa19	Global	8	1	1	0	0	0	330	1	
pa19	Global	9	1	0	1	1	0	320	1	
pa19	Global	10	1	1	1	1	0	300	1	
pa19	Global	11	1	0	0	0	0	263	1	
pa19	Global	12	1	1	1	1	1	150	0	
pa19	Global	13	1	0	1	0	0	599	1	
pa19	Global	14	1	1	0	1	0	348	1	
pa19	Global	15	1	1	0	0	1	284	1	
pa19	Global	16	1	0	1	0	1	541	1	
pa19	Global	17	1	0	0	0	1	492	1	
pa19	Global	18	1	0	1	1	1	524	1	
pa19	Global	19	1	1	0	0	1	281	1	
pa19	Global	20	1	0	0	1	1	306	1	
pa19	Global	21	1	1	0	0	0	319	1	
pa19	Global	22	1	1	1	0	1	427	1	
pa19	Global	23	1	1	0	1	0	405	1	
pa19	Global	24	1	1	0	0	1	150	0	
pa19	Global	25	1	0	1	0	0	449	1	
pa19	Global	26	1	0	1	0	1	500	1	
pa19	Global	27	1	1	0	1	0	366	1	
pa19	Global	28	1	1	1	1	0	150	0	
pa19	Global	29	1	0	1	1	0	855	1	
pa19	Global	30	1	1	0	1	1	330	1	
pa19	Global	31	1	1	1	0	0	552	1	
pa19	Global	32	1	1	0	1	1	393	1	
pa19	Local	1	1	1	1	0	1	666	1	
pa19	Local	2	1	1	0	1	0	391	1	
pa19	Local	3	1	1	1	1	1	364	1	
pa19	Local	4	1	0	0	1	1	351	1	
pa19	Local	5	1	1	1	0	0	320	1	
pa19	Local	6	1	1	0	1	0	349	1	
pa19	Local	7	1	1	0	0	0	340	1	
pa19	Local	8	1	0	0	0	1	316	1	
pa19	Local	9	1	0	1	1	1	337	1	
pa19	Local	10	1	0	1	0	0	297	1	
pa19	Local	11	1	0	1	1	1	307	1	
pa19	Local	12	1	0	0	1	0	312	1	
pa19	Local	13	1	0	0	0	0	268	1	
pa19	Local	14	1	1	0	0	1	308	1	
pa19	Local	15	1	1	1	1	1	361	1	
pa19	Local	16	1	1	0	0	1	282	1	
pa19	Local	17	1	1	1	0	0	363	1	
pa19	Local	18	1	1	0	1	1	462	1	
pa19	Local	19	1	0	0	0	0	291	1	
pa19	Local	20	1	0	1	1	0	308	1	
pa19	Local	21	1	1	0	0	1	401	1	
pa19	Local	22	1	1	0	0	0	295	1	
pa19	Local	23	1	1	0	1	0	290	1	
pa19	Local	24	1	1	1	1	1	267	1	
pa19	Local	25	1	1	1	1	0	307	1	
pa19	Local	26	1	1	0	1	0	264	1	
pa19	Local	27	1	1	1	0	1	399	1	
pa19	Local	28	1	1	1	1	1	358	1	
pa19	Local	29	1	0	1	0	0	295	1	
pa19	Local	30	1	1	1	0	1	314	1	
pa19	Local	31	1	1	1	0	0	342	1	
pa19	Local	32	1	1	0	1	1	414	1	
