SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
pk34	Global	1	1	1	1	1	0	1609	1	
pk34	Global	2	1	1	0	1	0	769	1	
pk34	Global	3	1	0	1	0	1	994	1	
pk34	Global	4	1	1	1	1	1	1499	1	
pk34	Global	5	1	0	1	0	0	759	1	
pk34	Global	6	1	1	0	1	1	703	1	
pk34	Global	7	1	1	0	0	1	383	1	
pk34	Global	8	1	0	1	0	1	1548	1	
pk34	Global	9	1	1	1	1	0	757	1	
pk34	Global	10	1	0	0	0	0	461	1	
pk34	Global	11	1	0	0	0	0	666	1	
pk34	Global	12	1	1	1	0	0	919	1	
pk34	Global	13	1	1	0	1	0	432	1	
pk34	Global	14	1	0	0	0	0	370	1	
pk34	Global	15	1	1	1	0	1	685	1	
pk34	Global	16	1	0	1	0	0	940	1	
pk34	Global	17	1	1	1	1	0	633	1	
pk34	Global	18	1	1	0	1	0	609	1	
pk34	Global	19	1	1	1	1	0	664	1	
pk34	Global	20	1	0	0	0	0	628	1	
pk34	Global	21	1	1	0	1	1	709	1	
pk34	Global	22	1	1	0	1	0	487	1	
pk34	Global	23	1	0	1	1	0	679	1	
pk34	Global	24	1	0	0	1	1	932	1	
pk34	Global	25	1	1	1	0	0	495	1	
pk34	Global	26	1	0	1	1	1	657	1	
pk34	Global	27	1	1	0	1	0	645	1	
pk34	Global	28	1	1	0	0	1	1023	1	
pk34	Global	29	1	0	0	0	0	492	1	
pk34	Global	30	1	0	1	0	0	628	1	
pk34	Global	31	1	1	1	1	1	541	1	
pk34	Global	32	1	1	0	0	1	1131	1	
pk34	Local	1	1	1	1	1	1	150	0	
pk34	Local	2	1	1	1	1	0	150	0	
pk34	Local	3	1	1	1	1	0	619	1	
pk34	Local	4	1	0	1	0	1	866	1	
pk34	Local	5	1	0	0	1	1	604	1	
pk34	Local	6	1	1	0	1	0	362	1	
pk34	Local	7	1	1	1	0	1	467	1	
pk34	Local	8	1	0	0	1	1	738	1	
pk34	Local	9	1	0	1	0	0	327	1	
pk34	Local	10	1	0	0	0	0	358	1	
pk34	Local	11	1	0	1	0	0	415	1	
pk34	Local	12	1	1	1	0	0	359	1	
pk34	Local	13	1	0	0	1	1	576	1	
