SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
rh50	Global	1	1	1	1	1	0	1463	1	
rh50	Global	2	1	1	1	1	0	902	1	
rh50	Global	3	1	0	0	1	1	486	1	
rh50	Global	4	1	1	1	0	0	654	1	
rh50	Global	5	1	1	1	1	1	706	1	
rh50	Global	6	1	0	0	0	0	386	1	
rh50	Global	7	1	1	1	1	1	487	1	
rh50	Global	8	1	0	0	1	0	335	1	
rh50	Global	9	1	1	0	0	0	327	1	
rh50	Global	10	1	1	0	1	1	390	1	
rh50	Global	11	1	0	1	0	0	538	1	
rh50	Global	12	1	1	1	0	0	401	1	
rh50	Global	13	1	1	1	1	0	471	1	
rh50	Global	14	1	1	0	0	1	406	1	
rh50	Global	15	1	1	1	1	0	150	0	
rh50	Global	16	1	0	1	1	1	551	1	
rh50	Global	17	1	0	1	0	0	150	0	
rh50	Global	18	1	1	0	0	0	449	1	
rh50	Global	19	1	1	0	0	1	644	1	
rh50	Global	20	1	1	0	0	0	334	1	
rh50	Global	21	1	1	0	1	1	476	1	
rh50	Global	22	1	1	0	0	1	571	1	
rh50	Global	23	1	0	1	0	1	685	1	
rh50	Global	24	1	1	0	0	1	428	1	
rh50	Global	25	1	0	0	1	1	406	1	
rh50	Global	26	1	0	0	1	1	404	1	
rh50	Global	27	1	0	1	0	1	498	1	
rh50	Global	28	1	0	1	1	0	476	1	
rh50	Global	29	1	0	1	0	1	459	1	
rh50	Global	30	1	0	0	1	0	495	1	
rh50	Global	31	1	1	0	1	1	849	1	
rh50	Global	32	1	0	1	0	0	914	1	
rh50	Local	1	1	0	1	0	1	695	1	
rh50	Local	2	1	1	1	0	1	150	0	
rh50	Local	3	1	1	0	0	1	709	1	
rh50	Local	4	1	0	0	1	0	367	1	
rh50	Local	5	1	1	0	1	1	458	1	
rh50	Local	6	1	0	0	0	0	463	1	
rh50	Local	7	1	0	1	1	1	580	1	
rh50	Local	8	1	0	1	1	1	527	1	
rh50	Local	9	1	1	0	0	0	540	1	
rh50	Local	10	1	0	1	0	1	531	1	
rh50	Local	11	1	1	1	1	0	648	1	
rh50	Local	12	1	0	1	1	0	682	1	
