SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
rm132	Global	1	0	1	1	0	0	513	1	
rm132	Global	2	0	0	0	0	1	469	1	
rm132	Global	3	0	1	0	1	1	467	1	
rm132	Global	4	0	1	0	0	0	450	1	
rm132	Global	5	0	0	1	1	1	423	1	
rm132	Global	6	0	1	0	1	0	480	1	
rm132	Global	7	0	0	1	1	0	408	1	
rm132	Global	8	0	1	0	1	1	456	1	
rm132	Global	9	0	1	0	1	0	429	1	
rm132	Global	10	0	0	1	1	1	447	1	
rm132	Global	11	0	0	1	0	0	410	1	
rm132	Global	12	0	1	0	0	0	434	1	
rm132	Global	13	0	1	0	0	0	420	1	
rm132	Global	14	0	1	1	0	1	444	1	
rm132	Global	15	0	1	1	1	0	415	1	
rm132	Global	16	0	0	0	1	0	423	1	
rm132	Global	17	0	1	0	0	0	393	1	
rm132	Global	18	0	0	0	1	1	543	1	
rm132	Global	19	0	0	1	0	1	406	1	
rm132	Global	20	0	1	0	0	0	396	1	
rm132	Global	21	0	1	1	1	1	450	1	
rm132	Global	22	0	0	0	1	0	471	1	
rm132	Global	23	0	0	0	1	0	430	1	
rm132	Global	24	0	1	0	0	1	423	1	
rm132	Global	25	0	1	1	0	0	409	1	
rm132	Global	26	0	0	0	0	0	409	1	
rm132	Global	27	0	1	1	1	0	577	1	
rm132	Global	28	0	1	1	0	1	443	1	
rm132	Global	29	0	1	1	0	1	454	1	
rm132	Global	30	0	0	1	1	0	363	1	
rm132	Global	31	0	0	1	1	1	428	1	
rm132	Global	32	0	1	1	0	0	382	1	
rm132	Local	1	0	0	1	0	0	617	1	
rm132	Local	2	0	0	1	0	1	472	1	
rm132	Local	3	0	1	0	1	0	463	1	
rm132	Local	4	0	1	1	1	0	684	1	
rm132	Local	5	0	0	1	1	1	491	1	
rm132	Local	6	0	0	1	1	0	675	1	
rm132	Local	7	0	1	0	0	0	480	1	
rm132	Local	8	0	1	0	1	1	465	1	
rm132	Local	9	0	0	0	0	1	415	1	
rm132	Local	10	0	1	0	1	1	455	1	
rm132	Local	11	0	1	0	0	0	404	1	
rm132	Local	12	0	0	0	1	0	466	1	
rm132	Local	13	0	0	0	0	1	449	1	
rm132	Local	14	0	1	0	1	0	436	1	
rm132	Local	15	0	1	1	0	0	631	1	
rm132	Local	16	0	0	0	1	0	472	1	
rm132	Local	17	0	1	0	0	1	430	1	
rm132	Local	18	0	1	1	1	1	432	1	
rm132	Local	19	0	1	1	1	0	666	1	
rm132	Local	20	0	0	0	0	1	359	1	
rm132	Local	21	0	0	1	1	0	528	1	
rm132	Local	22	0	0	0	0	1	453	1	
rm132	Local	23	0	0	1	0	0	658	1	
rm132	Local	24	0	0	0	1	1	478	1	
rm132	Local	25	0	0	1	1	1	429	1	
rm132	Local	26	0	1	1	0	0	150	0	
rm132	Local	27	0	1	1	0	1	486	1	
rm132	Local	28	0	0	1	1	0	551	1	
rm132	Local	29	0	0	1	0	1	543	1	
rm132	Local	30	0	0	0	1	1	462	1	
rm132	Local	31	0	0	1	0	1	515	1	
rm132	Local	32	0	1	0	0	1	462	1	
rm132	Global	1	1	0	1	1	1	717	1	
rm132	Global	2	1	1	1	0	0	592	1	
rm132	Global	3	1	0	0	0	1	611	1	
rm132	Global	4	1	0	1	1	0	522	1	
rm132	Global	5	1	0	1	0	0	679	1	
rm132	Global	6	1	1	0	1	1	789	1	
rm132	Global	7	1	1	0	1	1	407	1	
rm132	Global	8	1	0	0	1	0	423	1	
rm132	Global	9	1	1	1	0	0	585	1	
rm132	Global	10	1	0	1	0	0	556	1	
rm132	Global	11	1	1	0	0	1	829	1	
rm132	Global	12	1	1	0	0	1	460	1	
rm132	Global	13	1	1	1	0	1	593	1	
rm132	Global	14	1	1	0	1	0	373	1	
rm132	Global	15	1	1	1	1	0	480	1	
rm132	Global	16	1	1	0	1	1	384	1	
rm132	Global	17	1	1	1	1	1	469	1	
rm132	Global	18	1	0	0	0	1	403	1	
rm132	Global	19	1	1	1	0	1	481	1	
rm132	Global	20	1	1	1	0	1	386	1	
rm132	Global	21	1	0	0	0	1	414	1	
rm132	Global	22	1	1	0	1	0	446	1	
rm132	Global	23	1	1	1	0	1	698	1	
rm132	Global	24	1	1	1	1	0	498	1	
rm132	Global	25	1	0	0	0	0	412	1	
rm132	Global	26	1	0	1	1	0	476	1	
rm132	Global	27	1	1	0	1	0	443	1	
rm132	Global	28	1	0	0	0	0	430	1	
rm132	Global	29	1	0	0	1	1	439	1	
rm132	Global	30	1	0	1	1	1	603	1	
rm132	Global	31	1	1	1	1	0	384	1	
rm132	Global	32	1	0	0	0	0	725	1	
rm132	Local	1	1	1	1	1	0	610	1	
rm132	Local	2	1	1	0	0	1	337	1	
rm132	Local	3	1	0	0	1	0	344	1	
rm132	Local	4	1	0	1	0	1	328	1	
rm132	Local	5	1	0	1	0	0	374	1	
rm132	Local	6	1	0	1	0	0	393	1	
rm132	Local	7	1	0	0	0	1	368	1	
rm132	Local	8	1	0	0	1	1	595	1	
rm132	Local	9	1	1	0	0	1	320	1	
