SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
rp89	Global	1	0	1	1	1	0	900	1	
rp89	Global	2	0	1	0	0	1	644	1	
rp89	Global	3	0	1	1	1	0	942	1	
rp89	Global	4	0	0	0	1	1	651	1	
rp89	Global	5	0	1	1	1	1	910	1	
rp89	Global	6	0	0	1	1	1	544	1	
rp89	Global	7	0	0	0	1	1	534	1	
rp89	Global	8	0	1	0	1	0	572	1	
rp89	Global	9	0	0	1	1	1	574	1	
rp89	Global	10	0	0	0	0	1	496	1	
rp89	Global	11	0	0	1	0	0	641	1	
rp89	Global	12	0	0	1	0	0	515	1	
rp89	Global	13	0	1	0	0	0	447	1	
rp89	Global	14	0	0	0	0	0	546	1	
rp89	Global	15	0	0	1	0	0	569	1	
rp89	Global	16	0	0	1	1	1	667	1	
rp89	Global	17	0	1	0	0	1	560	1	
rp89	Global	18	0	0	1	0	1	609	1	
rp89	Global	19	0	0	0	1	1	528	1	
rp89	Global	20	0	0	1	0	1	549	1	
rp89	Global	21	0	1	1	1	0	691	1	
rp89	Global	22	0	1	1	0	1	634	1	
rp89	Global	23	0	0	0	0	1	555	1	
rp89	Global	24	0	1	1	0	1	611	1	
rp89	Global	25	0	1	0	1	0	642	1	
rp89	Global	26	0	1	0	1	0	444	1	
rp89	Global	27	0	1	1	1	0	472	1	
rp89	Global	28	0	1	0	0	1	670	1	
rp89	Global	29	0	1	1	0	0	1260	1	
rp89	Global	30	0	0	0	1	1	1100	1	
rp89	Global	31	0	0	0	1	0	819	1	
rp89	Global	32	0	1	0	0	0	625	1	
rp89	Local	1	0	0	1	1	0	877	1	
rp89	Local	2	0	0	0	1	0	513	1	
rp89	Local	3	0	0	1	1	1	1101	1	
rp89	Local	4	0	1	0	0	1	563	1	
rp89	Local	5	0	1	0	0	1	940	1	
rp89	Local	6	0	1	1	1	1	728	1	
rp89	Local	7	0	0	0	1	1	612	1	
rp89	Local	8	0	0	1	1	1	683	1	
rp89	Local	9	0	1	0	0	0	826	1	
rp89	Local	10	0	0	0	1	0	826	1	
rp89	Local	11	0	0	1	0	1	1185	1	
rp89	Local	12	0	1	1	0	1	601	1	
rp89	Local	13	0	0	0	1	1	375	1	
rp89	Local	14	0	0	0	0	1	1106	1	
rp89	Local	15	0	1	1	1	0	832	1	
rp89	Local	16	0	1	0	0	0	632	1	
rp89	Local	17	0	1	0	1	0	656	1	
rp89	Local	18	0	1	1	0	1	876	1	
rp89	Local	19	0	0	1	0	1	793	1	
rp89	Local	20	0	0	1	1	1	731	1	
rp89	Local	21	0	1	0	1	1	583	1	
rp89	Local	22	0	1	1	1	1	579	1	
rp89	Local	23	0	0	0	0	0	941	1	
rp89	Local	24	0	0	1	1	0	961	1	
rp89	Local	25	0	0	1	0	0	599	1	
rp89	Local	26	0	0	0	0	0	533	1	
rp89	Local	27	0	1	0	0	0	370	1	
rp89	Local	28	0	0	1	0	0	901	1	
rp89	Local	29	0	1	0	1	1	932	1	
rp89	Local	30	0	1	0	1	0	1103	1	
rp89	Local	31	0	0	1	0	1	934	1	
