SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ah64	Global	1	1	1	1	0	1	1251	1	
ah64	Global	2	1	1	1	0	0	874	1	
ah64	Global	3	1	0	1	1	0	831	1	
ah64	Global	4	1	1	1	1	0	718	1	
ah64	Global	5	1	0	0	0	0	832	1	
ah64	Global	6	1	0	0	1	0	528	1	
ah64	Global	7	1	0	0	0	0	525	1	
ah64	Global	8	1	0	1	1	0	674	1	
ah64	Global	9	1	1	1	0	1	735	1	
ah64	Global	10	1	1	0	1	1	451	1	
ah64	Global	11	1	0	1	0	0	592	1	
ah64	Global	12	1	0	0	1	1	1132	1	
ah64	Global	13	1	0	1	0	1	710	1	
ah64	Global	14	1	0	1	0	1	704	1	
ah64	Global	15	1	0	0	0	1	529	1	
ah64	Global	16	1	0	0	0	0	662	1	
ah64	Global	17	1	0	1	1	0	586	1	
ah64	Global	18	1	1	0	0	1	550	1	
ah64	Global	19	1	0	0	0	1	580	1	
ah64	Global	20	1	1	1	1	0	584	1	
ah64	Global	21	1	1	0	1	0	619	1	
ah64	Global	22	1	0	1	1	0	546	1	
ah64	Global	23	1	0	1	0	1	633	1	
ah64	Global	24	1	1	1	1	0	490	1	
ah64	Global	25	1	1	0	0	0	466	1	
ah64	Global	26	1	1	1	0	1	624	1	
ah64	Global	27	1	1	0	1	1	577	1	
ah64	Global	28	1	0	0	1	1	691	1	
ah64	Global	29	1	0	0	1	0	522	1	
ah64	Global	30	1	0	0	0	1	591	1	
ah64	Global	31	1	1	1	1	0	571	1	
ah64	Global	32	1	1	0	1	0	717	1	
ah64	Local	1	1	0	0	1	1	728	1	
ah64	Local	2	1	0	1	0	1	540	1	
ah64	Local	3	1	0	1	0	1	466	1	
ah64	Local	4	1	0	0	1	1	425	1	
ah64	Local	5	1	1	1	1	1	547	1	
ah64	Local	6	1	1	0	1	1	433	1	
ah64	Local	7	1	1	1	1	0	507	1	
ah64	Local	8	1	1	1	0	1	605	1	
ah64	Local	9	1	0	0	0	1	530	1	
ah64	Local	10	1	0	0	0	1	503	1	
ah64	Local	11	1	0	1	1	0	489	1	
ah64	Local	12	1	1	0	0	1	489	1	
ah64	Local	13	1	1	0	1	0	513	1	
ah64	Local	14	1	0	0	0	0	517	1	
ah64	Local	15	1	1	1	1	1	496	1	
ah64	Local	16	1	1	0	1	1	150	0	
ah64	Local	17	1	0	0	1	0	660	1	
ah64	Local	18	1	0	1	1	0	727	1	
ah64	Local	19	1	0	1	0	0	707	1	
ah64	Local	20	1	1	1	0	1	572	1	
ah64	Local	21	1	0	0	1	1	614	1	
ah64	Local	22	1	1	1	0	0	613	1	
ah64	Local	23	1	1	0	0	1	620	1	
ah64	Local	24	1	0	1	0	0	555	1	
ah64	Local	25	1	0	0	0	1	611	1	
ah64	Local	26	1	1	0	1	1	578	1	
ah64	Local	27	1	0	1	1	0	524	1	
ah64	Local	28	1	0	1	0	0	881	1	
ah64	Local	29	1	1	1	1	0	575	1	
ah64	Local	30	1	0	0	0	1	689	1	
ah64	Local	31	1	0	1	1	0	888	1	
ah64	Local	32	1	0	0	0	1	582	1	
ah64	Global	1	0	0	1	0	1	2107	1	
ah64	Global	2	0	0	1	1	0	564	1	
ah64	Global	3	0	0	0	1	0	788	1	
ah64	Global	4	0	1	1	1	0	599	1	
ah64	Global	5	0	0	0	0	1	580	1	
ah64	Global	6	0	0	0	0	0	576	1	
ah64	Global	7	0	1	1	1	1	1066	1	
ah64	Global	8	0	1	1	0	0	515	1	
ah64	Global	9	0	1	1	1	0	799	1	
ah64	Global	10	0	0	0	0	0	667	1	
ah64	Global	11	0	0	0	1	1	512	1	
ah64	Global	12	0	0	1	1	0	532	1	
ah64	Global	13	0	1	0	1	1	697	1	
ah64	Global	14	0	0	1	0	0	714	1	
ah64	Global	15	0	0	0	0	0	716	1	
ah64	Global	16	0	0	1	1	1	790	1	
ah64	Global	17	0	0	0	0	0	601	1	
ah64	Global	18	0	1	1	1	1	774	1	
ah64	Global	19	0	1	0	0	1	150	0	
ah64	Global	20	0	1	1	0	0	150	0	
ah64	Global	21	0	1	0	1	1	1056	1	
ah64	Global	22	0	0	1	0	0	497	1	
ah64	Global	23	0	1	0	1	1	707	1	
ah64	Global	24	0	0	0	1	1	908	1	
ah64	Global	25	0	1	1	0	1	675	1	
ah64	Global	26	0	0	0	1	0	561	1	
ah64	Global	27	0	0	0	0	1	585	1	
ah64	Global	28	0	1	1	1	0	773	1	
ah64	Global	29	0	0	1	0	0	734	1	
ah64	Global	30	0	1	0	1	1	666	1	
ah64	Global	31	0	0	0	0	0	631	1	
ah64	Global	32	0	0	1	0	0	150	0	
ah64	Local	1	0	0	1	1	1	1357	1	
ah64	Local	2	0	1	1	0	1	969	1	
ah64	Local	3	0	1	0	0	0	793	1	
ah64	Local	4	0	0	1	0	0	988	1	
ah64	Local	5	0	0	0	0	0	893	1	
ah64	Local	6	0	0	0	1	0	627	1	
ah64	Local	7	0	1	0	1	0	620	1	
ah64	Local	8	0	1	0	0	0	611	1	
ah64	Local	9	0	0	1	1	1	150	0	
ah64	Local	10	0	1	1	1	0	1063	1	
ah64	Local	11	0	1	1	1	0	665	1	
ah64	Local	12	0	1	0	1	0	517	1	
ah64	Local	13	0	1	1	0	1	720	1	
ah64	Local	14	0	0	0	1	0	586	1	
ah64	Local	15	0	1	0	0	0	526	1	
ah64	Local	16	0	1	1	0	1	859	1	
ah64	Local	17	0	1	1	1	0	750	1	
ah64	Local	18	0	1	1	1	1	740	1	
ah64	Local	19	0	1	1	1	0	681	1	
ah64	Local	20	0	0	0	1	1	536	1	
ah64	Local	21	0	0	0	0	1	815	1	
ah64	Local	22	0	0	0	1	0	597	1	
ah64	Local	23	0	0	0	0	1	586	1	
ah64	Local	24	0	1	0	0	0	814	1	
ah64	Local	25	0	1	1	0	0	931	1	
ah64	Local	26	0	0	1	0	0	750	1	
ah64	Local	27	0	1	1	1	0	892	1	
ah64	Local	28	0	1	1	0	1	594	1	
ah64	Local	29	0	1	0	1	1	150	0	
ah64	Local	30	0	1	1	0	1	631	1	
ah64	Local	31	0	0	0	1	1	703	1	
ah64	Local	32	0	0	0	0	0	792	1	
