SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
sh172	Global	1	1	0	1	1	1	800	1	
sh172	Global	2	1	1	0	1	1	565	1	
sh172	Global	3	1	0	1	0	0	527	1	
sh172	Global	4	1	0	0	1	1	372	1	
sh172	Global	5	1	0	1	0	1	1383	1	
sh172	Global	6	1	0	1	1	1	452	1	
sh172	Global	7	1	0	0	0	0	441	1	
sh172	Global	8	1	0	1	1	0	701	1	
sh172	Global	9	1	1	1	0	1	150	0	
sh172	Global	10	1	1	1	0	0	591	1	
sh172	Global	11	1	1	1	0	0	666	1	
sh172	Global	12	1	0	0	1	0	528	1	
sh172	Global	13	1	0	0	0	1	150	0	
sh172	Global	14	1	1	1	0	0	629	1	
sh172	Global	15	1	0	0	0	1	637	1	
sh172	Global	16	1	1	1	0	1	583	1	
sh172	Global	17	1	1	0	1	0	411	1	
sh172	Global	18	1	0	1	1	0	1275	1	
sh172	Global	19	1	1	1	1	1	1005	1	
sh172	Global	20	1	0	0	1	1	696	1	
sh172	Global	21	1	0	0	0	0	705	1	
sh172	Global	22	1	0	0	0	0	842	1	
sh172	Global	23	1	0	0	1	0	491	1	
sh172	Global	24	1	1	1	0	0	395	1	
sh172	Global	25	1	1	0	0	1	425	1	
sh172	Global	26	1	0	0	0	1	395	1	
sh172	Global	27	1	0	1	1	0	609	1	
sh172	Global	28	1	1	0	0	0	576	1	
sh172	Global	29	1	1	0	1	0	482	1	
sh172	Global	30	1	1	1	1	1	762	1	
sh172	Global	31	1	1	0	1	0	370	1	
sh172	Global	32	1	0	1	1	0	541	1	
sh172	Local	1	1	1	0	1	0	1328	1	
sh172	Local	2	1	0	1	1	1	800	1	
sh172	Local	3	1	0	1	0	0	772	1	
sh172	Local	4	1	0	0	1	1	477	1	
sh172	Local	5	1	1	1	1	0	548	1	
sh172	Local	6	1	0	0	0	1	475	1	
sh172	Local	7	1	1	0	1	0	537	1	
sh172	Local	8	1	0	1	0	1	472	1	
sh172	Local	9	1	1	1	1	0	630	1	
sh172	Local	10	1	1	0	1	1	351	1	
sh172	Local	11	1	1	0	0	0	616	1	
sh172	Local	12	1	1	0	0	0	567	1	
sh172	Local	13	1	0	0	0	1	417	1	
sh172	Local	14	1	1	1	0	1	593	1	
sh172	Local	15	1	0	0	0	1	462	1	
sh172	Local	16	1	1	0	1	1	395	1	
sh172	Local	17	1	0	1	1	0	386	1	
sh172	Local	18	1	0	0	0	1	422	1	
sh172	Local	19	1	1	1	1	1	392	1	
sh172	Local	20	1	0	1	1	1	421	1	
sh172	Local	21	1	0	0	1	1	685	1	
sh172	Local	22	1	0	1	1	0	516	1	
sh172	Local	23	1	1	1	0	0	471	1	
sh172	Local	24	1	0	1	0	1	670	1	
sh172	Local	25	1	1	1	0	0	699	1	
sh172	Local	26	1	1	1	1	0	676	1	
sh172	Local	27	1	1	0	0	1	545	1	
sh172	Local	28	1	1	0	0	0	504	1	
sh172	Local	29	1	0	1	0	1	562	1	
sh172	Local	30	1	0	1	0	1	594	1	
sh172	Local	31	1	1	0	1	1	519	1	
sh172	Local	32	1	0	0	1	0	611	1	
sh172	Global	1	0	0	1	0	0	403	1	
sh172	Global	2	0	1	1	1	1	865	1	
sh172	Global	3	0	0	0	1	0	540	1	
sh172	Global	4	0	1	0	0	0	522	1	
sh172	Global	5	0	0	0	1	0	440	1	
sh172	Global	6	0	0	1	1	0	507	1	
sh172	Global	7	0	0	0	0	1	645	1	
sh172	Global	8	0	1	0	0	0	527	1	
sh172	Global	9	0	0	0	0	0	372	1	
sh172	Global	10	0	0	0	1	0	415	1	
sh172	Global	11	0	0	1	0	0	367	1	
sh172	Global	12	0	0	1	1	0	362	1	
sh172	Global	13	0	1	0	1	1	379	1	
sh172	Global	14	0	0	0	0	0	472	1	
sh172	Global	15	0	0	1	1	1	527	1	
sh172	Global	16	0	1	1	0	0	412	1	
sh172	Global	17	0	1	1	0	0	444	1	
sh172	Global	18	0	1	1	0	1	607	1	
sh172	Global	19	0	1	0	0	0	428	1	
sh172	Global	20	0	0	0	1	1	478	1	
sh172	Global	21	0	1	0	1	0	460	1	
sh172	Global	22	0	1	0	1	1	505	1	
sh172	Global	23	0	0	1	0	1	499	1	
sh172	Global	24	0	1	1	1	0	150	0	
sh172	Global	25	0	0	1	1	0	578	1	
sh172	Global	26	0	0	1	0	0	468	1	
sh172	Global	27	0	1	0	0	0	458	1	
sh172	Global	28	0	1	1	1	0	471	1	
sh172	Global	29	0	0	0	1	0	470	1	
sh172	Global	30	0	0	1	0	1	652	1	
sh172	Global	31	0	0	1	1	1	560	1	
sh172	Global	32	0	1	0	0	0	528	1	
sh172	Local	1	0	0	1	1	0	727	1	
sh172	Local	2	0	0	0	1	1	771	1	
sh172	Local	3	0	0	1	0	1	812	1	
sh172	Local	4	0	1	1	1	1	698	1	
sh172	Local	5	0	0	1	1	1	723	1	
sh172	Local	6	0	0	1	0	1	695	1	
sh172	Local	7	0	0	1	0	1	616	1	
sh172	Local	8	0	1	1	1	1	630	1	
sh172	Local	9	0	1	0	1	1	615	1	
sh172	Local	10	0	0	1	1	0	662	1	
sh172	Local	11	0	1	0	0	0	514	1	
sh172	Local	12	0	1	0	1	1	629	1	
sh172	Local	13	0	0	0	0	0	462	1	
sh172	Local	14	0	1	0	0	1	771	1	
sh172	Local	15	0	0	0	1	0	643	1	
sh172	Local	16	0	0	1	0	1	478	1	
sh172	Local	17	0	0	1	1	1	580	1	
sh172	Local	18	0	1	0	0	0	400	1	
sh172	Local	19	0	1	1	1	0	750	1	
sh172	Local	20	0	1	1	0	1	660	1	
sh172	Local	21	0	1	0	0	1	736	1	
sh172	Local	22	0	1	0	1	1	548	1	
sh172	Local	23	0	0	0	0	1	858	1	
sh172	Local	24	0	1	1	0	0	1557	1	
sh172	Local	25	0	0	1	0	0	712	1	
sh172	Local	26	0	0	0	1	1	506	1	
sh172	Local	27	0	0	0	0	1	516	1	
sh172	Local	28	0	1	1	1	1	472	1	
sh172	Local	29	0	1	0	1	1	382	1	
sh172	Local	30	0	0	1	0	1	411	1	
sh172	Local	31	0	0	0	1	1	451	1	
sh172	Local	32	0	0	0	0	1	368	1	
