SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
sm53	Global	1	1	1	0	0	1	1294	1	
sm53	Global	2	1	0	0	0	1	754	1	
sm53	Global	3	1	1	1	0	1	1193	1	
sm53	Global	4	1	0	0	1	0	970	1	
sm53	Global	5	1	1	0	0	0	1082	1	
sm53	Global	6	1	1	0	1	0	855	1	
sm53	Global	7	1	1	0	1	1	1225	1	
sm53	Global	8	1	0	1	1	1	1039	1	
sm53	Global	9	1	1	0	1	1	903	1	
sm53	Global	10	1	0	1	1	0	1382	1	
sm53	Global	11	1	1	0	0	1	1116	1	
sm53	Global	12	1	0	1	1	1	948	1	
sm53	Global	13	1	0	1	1	0	1145	1	
sm53	Global	14	1	1	0	0	0	1092	1	
sm53	Global	15	1	0	1	0	0	1705	1	
sm53	Global	16	1	1	1	0	0	996	1	
sm53	Global	17	1	1	1	0	1	1176	1	
sm53	Global	18	1	0	1	0	1	862	1	
sm53	Global	19	1	1	1	0	1	801	1	
sm53	Global	20	1	1	1	0	0	1341	1	
sm53	Global	21	1	0	0	1	0	992	1	
sm53	Global	22	1	1	1	1	1	825	1	
sm53	Global	23	1	0	0	1	0	849	1	
sm53	Global	24	1	1	0	1	0	970	1	
sm53	Global	25	1	1	0	0	1	713	1	
sm53	Global	26	1	1	1	1	0	1412	1	
sm53	Global	27	1	1	1	0	0	942	1	
sm53	Global	28	1	1	1	1	0	763	1	
sm53	Global	29	1	0	1	1	0	746	1	
sm53	Global	30	1	0	0	1	1	968	1	
sm53	Global	31	1	0	0	0	1	752	1	
sm53	Global	32	1	0	0	0	1	631	1	
sm53	Local	1	1	0	0	0	1	1453	1	
sm53	Local	2	1	0	0	1	1	707	1	
sm53	Local	3	1	0	0	1	0	1012	1	
sm53	Local	4	1	1	1	0	1	793	1	
sm53	Local	5	1	1	1	0	0	1203	1	
sm53	Local	6	1	1	1	1	1	741	1	
sm53	Local	7	1	1	0	1	0	899	1	
sm53	Local	8	1	0	0	1	0	1155	1	
sm53	Local	9	1	0	0	0	0	888	1	
sm53	Local	10	1	1	0	0	0	934	1	
sm53	Local	11	1	0	0	1	1	713	1	
sm53	Local	12	1	1	0	0	0	787	1	
sm53	Local	13	1	1	1	1	0	726	1	
sm53	Local	14	1	0	1	0	1	561	1	
sm53	Local	15	1	0	1	1	1	586	1	
sm53	Local	16	1	1	1	1	1	605	1	
sm53	Local	17	1	1	1	1	1	563	1	
sm53	Local	18	1	1	1	1	0	763	1	
sm53	Local	19	1	1	0	0	1	826	1	
sm53	Local	20	1	1	1	0	0	714	1	
sm53	Local	21	1	0	0	1	1	716	1	
sm53	Local	22	1	1	0	0	1	663	1	
sm53	Local	23	1	0	1	0	1	674	1	
sm53	Local	24	1	0	0	1	0	648	1	
sm53	Local	25	1	0	1	1	0	578	1	
sm53	Local	26	1	0	1	0	1	860	1	
sm53	Local	27	1	1	1	0	0	863	1	
sm53	Local	28	1	1	1	0	1	681	1	
sm53	Local	29	1	0	1	1	1	1465	1	
sm53	Local	30	1	0	0	0	0	648	1	
sm53	Local	31	1	1	0	0	0	794	1	
sm53	Local	32	1	0	0	1	0	806	1	
sm53	Global	1	0	1	1	1	1	1250	1	
sm53	Global	2	0	1	0	1	0	928	1	
sm53	Global	3	0	1	1	1	0	884	1	
sm53	Global	4	0	1	1	0	1	722	1	
sm53	Global	5	0	0	0	1	0	780	1	
sm53	Global	6	0	1	0	1	1	653	1	
sm53	Global	7	0	1	1	0	0	753	1	
sm53	Global	8	0	0	0	0	1	624	1	
sm53	Global	9	0	0	0	0	1	616	1	
sm53	Global	10	0	0	0	1	0	639	1	
sm53	Global	11	0	0	1	1	1	761	1	
sm53	Global	12	0	1	0	0	0	649	1	
sm53	Global	13	0	1	0	1	0	691	1	
sm53	Global	14	0	0	1	0	1	746	1	
sm53	Global	15	0	1	0	1	1	608	1	
sm53	Global	16	0	1	1	1	0	822	1	
sm53	Global	17	0	1	1	1	0	732	1	
sm53	Global	18	0	1	1	0	0	1016	1	
sm53	Global	19	0	0	1	1	1	861	1	
sm53	Global	20	0	0	1	0	1	688	1	
sm53	Global	21	0	1	1	0	1	767	1	
sm53	Global	22	0	0	1	0	1	728	1	
sm53	Global	23	0	1	0	1	1	668	1	
sm53	Global	24	0	0	0	1	1	649	1	
sm53	Global	25	0	0	0	0	0	763	1	
sm53	Global	26	0	0	0	0	1	843	1	
sm53	Global	27	0	1	1	0	1	612	1	
sm53	Global	28	0	1	1	1	0	827	1	
sm53	Global	29	0	1	1	1	1	786	1	
sm53	Global	30	0	0	0	0	0	893	1	
sm53	Global	31	0	1	0	0	0	563	1	
sm53	Global	32	0	0	0	0	1	795	1	
sm53	Local	1	0	0	0	0	1	803	1	
sm53	Local	2	0	0	0	0	0	823	1	
sm53	Local	3	0	1	1	0	1	725	1	
sm53	Local	4	0	1	0	1	0	792	1	
sm53	Local	5	0	0	1	0	1	619	1	
sm53	Local	6	0	0	1	1	1	594	1	
sm53	Local	7	0	1	1	1	0	991	1	
sm53	Local	8	0	0	1	1	0	753	1	
sm53	Local	9	0	0	0	0	0	1160	1	
sm53	Local	10	0	1	1	0	0	757	1	
sm53	Local	11	0	1	1	1	1	620	1	
sm53	Local	12	0	0	1	0	1	683	1	
sm53	Local	13	0	1	0	0	1	658	1	
sm53	Local	14	0	1	1	1	1	590	1	
sm53	Local	15	0	1	1	0	0	722	1	
sm53	Local	16	0	1	0	1	1	684	1	
sm53	Local	17	0	0	0	0	0	635	1	
sm53	Local	18	0	1	1	1	0	1164	1	
sm53	Local	19	0	0	1	0	0	697	1	
sm53	Local	20	0	1	0	0	0	602	1	
sm53	Local	21	0	0	0	1	0	631	1	
sm53	Local	22	0	0	1	1	1	735	1	
sm53	Local	23	0	1	1	1	1	771	1	
sm53	Local	24	0	1	0	1	0	700	1	
sm53	Local	25	0	1	1	0	0	645	1	
sm53	Local	26	0	1	0	1	0	503	1	
sm53	Local	27	0	1	0	1	1	617	1	
sm53	Local	28	0	0	0	0	0	632	1	
sm53	Local	29	0	1	0	1	0	465	1	
sm53	Local	30	0	1	1	0	0	575	1	
sm53	Local	31	0	0	0	1	1	569	1	
sm53	Local	32	0	1	0	0	0	515	1	
