SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
sp151	Global	1	0	0	1	1	0	574	1	
sp151	Global	2	0	0	0	1	1	472	1	
sp151	Global	3	0	0	1	0	1	511	1	
sp151	Global	4	0	1	0	0	0	426	1	
sp151	Global	5	0	0	1	0	1	484	1	
sp151	Global	6	0	0	0	1	1	508	1	
sp151	Global	7	0	0	1	0	0	487	1	
sp151	Global	8	0	0	0	1	0	408	1	
sp151	Global	9	0	1	1	1	1	456	1	
sp151	Global	10	0	1	1	1	1	620	1	
sp151	Global	11	0	0	0	0	1	451	1	
sp151	Global	12	0	1	0	1	1	504	1	
sp151	Global	13	0	0	0	0	0	578	1	
sp151	Global	14	0	0	1	1	1	484	1	
sp151	Global	15	0	0	0	0	1	452	1	
sp151	Global	16	0	0	1	0	1	449	1	
sp151	Global	17	0	1	1	0	1	340	1	
sp151	Global	18	0	1	0	1	0	420	1	
sp151	Global	19	0	1	0	0	1	404	1	
sp151	Global	20	0	0	1	1	1	402	1	
sp151	Global	21	0	0	0	1	1	465	1	
sp151	Global	22	0	0	0	0	0	423	1	
sp151	Global	23	0	0	1	0	1	769	1	
sp151	Global	24	0	1	0	1	1	410	1	
sp151	Global	25	0	0	1	0	1	554	1	
sp151	Global	26	0	1	0	1	0	450	1	
sp151	Global	27	0	1	1	1	0	383	1	
sp151	Global	28	0	0	0	0	0	476	1	
sp151	Global	29	0	1	0	0	1	466	1	
sp151	Global	30	0	1	1	1	1	521	1	
sp151	Global	31	0	0	1	0	0	404	1	
sp151	Global	32	0	1	1	1	0	363	1	
sp151	Local	1	0	1	0	0	0	150	0	
sp151	Local	2	0	1	0	1	0	500	1	
sp151	Local	3	0	0	1	1	1	606	1	
sp151	Local	4	0	0	1	0	0	723	1	
sp151	Local	5	0	1	1	1	1	150	0	
sp151	Local	6	0	1	1	1	1	892	1	
sp151	Local	7	0	1	0	0	1	874	1	
sp151	Local	8	0	1	1	1	0	702	1	
sp151	Local	9	0	1	0	1	0	623	1	
sp151	Local	10	0	0	0	0	1	623	1	
sp151	Local	11	0	1	1	0	0	616	1	
sp151	Local	12	0	0	0	1	1	519	1	
sp151	Local	13	0	0	0	0	1	150	0	
sp151	Local	14	0	1	0	1	0	558	1	
sp151	Local	15	0	1	1	1	1	599	1	
sp151	Local	16	0	1	0	0	0	796	1	
sp151	Local	17	0	1	0	1	1	150	0	
sp151	Local	18	0	0	1	0	0	754	1	
sp151	Local	19	0	1	0	1	0	497	1	
sp151	Local	20	0	0	1	0	0	619	1	
sp151	Local	21	0	1	0	0	1	554	1	
sp151	Local	22	0	0	0	1	0	1234	1	
sp151	Local	23	0	1	0	0	0	815	1	
sp151	Local	24	0	1	0	1	1	453	1	
sp151	Local	25	0	1	1	1	0	458	1	
sp151	Local	26	0	1	1	1	1	687	1	
sp151	Local	27	0	1	1	0	0	1158	1	
sp151	Local	28	0	0	0	0	1	715	1	
sp151	Local	29	0	0	1	1	0	637	1	
sp151	Local	30	0	1	1	0	1	1128	1	
sp151	Local	31	0	0	1	0	0	705	1	
sp151	Local	32	0	1	1	0	0	538	1	
sp151	Global	1	1	0	1	1	1	1122	1	
sp151	Global	2	1	0	1	1	0	698	1	
sp151	Global	3	1	1	1	0	0	539	1	
sp151	Global	4	1	0	1	0	1	150	0	
sp151	Global	5	1	0	1	0	1	150	0	
sp151	Global	6	1	1	0	1	0	807	1	
sp151	Global	7	1	0	0	1	1	443	1	
sp151	Global	8	1	1	0	0	1	534	1	
sp151	Global	9	1	1	1	1	0	635	1	
sp151	Global	10	1	1	1	1	0	1124	1	
sp151	Global	11	1	0	1	0	1	644	1	
sp151	Global	12	1	0	1	0	1	558	1	
sp151	Global	13	1	0	1	1	0	743	1	
sp151	Global	14	1	0	0	0	0	556	1	
sp151	Global	15	1	1	0	1	0	581	1	
sp151	Global	16	1	1	0	1	0	536	1	
sp151	Global	17	1	0	0	1	1	927	1	
sp151	Global	18	1	0	0	1	1	642	1	
sp151	Global	19	1	1	0	0	0	484	1	
sp151	Global	20	1	0	0	0	0	580	1	
sp151	Global	21	1	1	1	0	1	584	1	
sp151	Global	22	1	0	0	1	1	515	1	
sp151	Global	23	1	1	1	1	0	455	1	
sp151	Global	24	1	0	0	0	1	588	1	
sp151	Global	25	1	0	1	1	0	479	1	
sp151	Global	26	1	1	0	0	0	496	1	
sp151	Global	27	1	1	1	0	1	150	0	
sp151	Global	28	1	0	1	1	0	397	1	
sp151	Global	29	1	0	0	1	0	427	1	
sp151	Global	30	1	1	0	0	1	397	1	
sp151	Global	31	1	1	1	0	1	747	1	
sp151	Global	32	1	0	0	0	1	513	1	
sp151	Local	1	1	0	0	1	1	486	1	
sp151	Local	2	1	1	1	0	1	486	1	
sp151	Local	3	1	0	1	1	0	750	1	
sp151	Local	4	1	1	0	0	0	564	1	
sp151	Local	5	1	0	0	1	1	556	1	
sp151	Local	6	1	0	1	1	0	613	1	
sp151	Local	7	1	0	0	1	0	756	1	
sp151	Local	8	1	1	1	0	1	459	1	
sp151	Local	9	1	1	0	0	1	504	1	
sp151	Local	10	1	1	1	0	1	506	1	
sp151	Local	11	1	1	1	1	0	819	1	
sp151	Local	12	1	1	0	1	1	593	1	
sp151	Local	13	1	0	1	1	1	613	1	
sp151	Local	14	1	0	1	1	0	676	1	
sp151	Local	15	1	1	0	0	0	505	1	
sp151	Local	16	1	0	1	0	0	150	0	
sp151	Local	17	1	1	1	0	0	471	1	
sp151	Local	18	1	1	1	1	0	557	1	
sp151	Local	19	1	1	0	0	0	462	1	
sp151	Local	20	1	0	0	1	1	514	1	
sp151	Local	21	1	1	0	0	1	502	1	
sp151	Local	22	1	0	0	0	1	640	1	
sp151	Local	23	1	0	0	0	0	418	1	
sp151	Local	24	1	1	0	1	0	426	1	
sp151	Local	25	1	0	1	0	0	555	1	
sp151	Local	26	1	0	0	1	0	468	1	
sp151	Local	27	1	1	0	1	0	394	1	
sp151	Local	28	1	0	1	1	1	745	1	
sp151	Local	29	1	1	1	1	0	742	1	
sp151	Local	30	1	1	0	0	1	492	1	
sp151	Local	31	1	0	1	0	0	588	1	
sp151	Local	32	1	0	1	0	1	600	1	
