SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ss148	Global	1	0	1	1	1	0	659	1	
ss148	Global	2	0	0	1	0	1	407	1	
ss148	Global	3	0	1	0	1	0	391	1	
ss148	Global	4	0	0	0	0	0	436	1	
ss148	Global	5	0	1	0	0	0	383	1	
ss148	Global	6	0	1	1	1	0	372	1	
ss148	Global	7	0	1	0	0	1	359	1	
ss148	Global	8	0	1	0	1	1	150	0	
ss148	Global	9	0	1	1	0	1	631	1	
ss148	Global	10	0	1	0	1	0	383	1	
ss148	Global	11	0	0	0	0	0	500	1	
ss148	Global	12	0	0	1	0	1	550	1	
ss148	Global	13	0	0	1	1	0	509	1	
ss148	Global	14	0	1	0	1	1	608	1	
ss148	Global	15	0	0	1	0	1	551	1	
ss148	Global	16	0	1	1	1	0	439	1	
ss148	Global	17	0	0	1	0	1	419	1	
ss148	Global	18	0	1	1	0	1	150	0	
ss148	Global	19	0	1	0	1	0	601	1	
ss148	Global	20	0	0	0	1	0	534	1	
ss148	Global	21	0	1	1	0	0	476	1	
ss148	Global	22	0	1	1	1	0	506	1	
ss148	Global	23	0	0	0	0	0	452	1	
ss148	Global	24	0	1	1	0	1	481	1	
ss148	Global	25	0	1	1	1	0	481	1	
ss148	Global	26	0	1	0	0	0	417	1	
ss148	Global	27	0	1	0	0	0	385	1	
ss148	Global	28	0	1	0	0	0	382	1	
ss148	Global	29	0	0	0	1	1	570	1	
ss148	Global	30	0	1	1	1	1	540	1	
ss148	Global	31	0	1	0	1	0	435	1	
ss148	Global	32	0	1	1	1	0	445	1	
ss148	Local	1	0	1	1	1	1	1066	1	
ss148	Local	2	0	1	0	0	0	444	1	
ss148	Local	3	0	0	1	0	1	567	1	
ss148	Local	4	0	1	0	1	1	521	1	
ss148	Local	5	0	1	1	0	1	589	1	
ss148	Local	6	0	1	1	1	1	632	1	
ss148	Local	7	0	0	0	1	0	441	1	
ss148	Local	8	0	1	1	0	1	508	1	
ss148	Local	9	0	0	1	1	0	504	1	
ss148	Local	10	0	1	0	0	1	513	1	
ss148	Local	11	0	0	0	0	0	597	1	
ss148	Local	12	0	0	1	1	1	578	1	
ss148	Local	13	0	0	0	1	0	644	1	
ss148	Local	14	0	1	1	0	1	518	1	
ss148	Local	15	0	0	1	0	1	490	1	
ss148	Local	16	0	1	0	0	1	490	1	
ss148	Local	17	0	0	0	0	0	450	1	
ss148	Local	18	0	0	1	1	0	663	1	
ss148	Local	19	0	1	0	1	1	515	1	
ss148	Local	20	0	0	0	1	1	422	1	
ss148	Local	21	0	0	1	1	1	504	1	
ss148	Local	22	0	0	0	0	0	450	1	
ss148	Local	23	0	0	1	1	1	446	1	
ss148	Local	24	0	0	1	0	1	490	1	
ss148	Local	25	0	0	1	1	0	490	1	
ss148	Local	26	0	0	0	1	0	458	1	
ss148	Local	27	0	1	1	0	1	407	1	
ss148	Local	28	0	1	0	0	1	511	1	
ss148	Local	29	0	1	1	0	0	450	1	
ss148	Local	30	0	0	0	1	0	719	1	
ss148	Local	31	0	1	0	0	1	458	1	
ss148	Local	32	0	1	0	1	1	454	1	
ss148	Global	1	1	1	1	1	0	828	1	
ss148	Global	2	1	0	0	0	1	459	1	
ss148	Global	3	1	1	1	0	1	744	1	
ss148	Global	4	1	1	1	1	0	390	1	
ss148	Global	5	1	0	0	0	1	379	1	
ss148	Global	6	1	0	1	0	1	455	1	
ss148	Global	7	1	1	1	1	0	348	1	
ss148	Global	8	1	0	0	1	0	150	0	
ss148	Global	9	1	1	1	1	1	1113	1	
ss148	Global	10	1	0	0	1	1	473	1	
ss148	Global	11	1	1	1	0	0	416	1	
ss148	Global	12	1	0	1	0	0	584	1	
ss148	Global	13	1	0	1	1	1	475	1	
ss148	Global	14	1	0	0	0	0	498	1	
ss148	Global	15	1	0	1	1	1	484	1	
