SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
svg62	Global	1	0	0	1	0	1	1200	1	
svg62	Global	2	0	1	1	0	0	922	1	
svg62	Global	3	0	0	0	0	0	644	1	
svg62	Global	4	0	1	1	1	0	734	1	
svg62	Global	5	0	0	1	1	0	562	1	
svg62	Global	6	0	0	0	1	1	618	1	
svg62	Global	7	0	0	0	0	1	721	1	
svg62	Global	8	0	1	1	1	0	747	1	
svg62	Global	9	0	1	1	0	1	729	1	
svg62	Global	10	0	0	1	0	0	589	1	
svg62	Global	11	0	1	1	0	0	577	1	
svg62	Global	12	0	0	1	1	0	611	1	
svg62	Global	13	0	1	0	0	0	530	1	
svg62	Global	14	0	0	0	1	0	591	1	
svg62	Global	15	0	1	1	1	1	690	1	
svg62	Global	16	0	1	1	1	1	665	1	
svg62	Global	17	0	0	1	1	1	150	0	
svg62	Global	18	0	0	0	0	0	690	1	
svg62	Global	19	0	0	0	1	1	561	1	
svg62	Global	20	0	0	1	0	0	625	1	
svg62	Global	21	0	0	0	0	0	666	1	
svg62	Global	22	0	0	0	0	0	591	1	
svg62	Global	23	0	0	0	1	1	571	1	
svg62	Global	24	0	1	0	0	0	677	1	
svg62	Global	25	0	0	0	1	0	538	1	
svg62	Global	26	0	0	0	1	0	489	1	
svg62	Global	27	0	0	0	0	0	441	1	
svg62	Global	28	0	1	0	1	0	517	1	
svg62	Global	29	0	1	0	1	0	448	1	
svg62	Global	30	0	1	1	1	1	651	1	
svg62	Global	31	0	1	1	0	0	150	0	
svg62	Global	32	0	0	1	0	0	803	1	
svg62	Local	1	0	1	0	1	1	1650	1	
svg62	Local	2	0	0	0	0	1	591	1	
svg62	Local	3	0	0	0	1	1	514	1	
svg62	Local	4	0	0	1	1	1	630	1	
svg62	Local	5	0	1	0	0	0	598	1	
svg62	Local	6	0	0	0	0	1	764	1	
svg62	Local	7	0	0	1	1	0	1755	1	
svg62	Local	8	0	1	0	0	1	827	1	
svg62	Local	9	0	1	0	0	0	547	1	
svg62	Local	10	0	1	1	0	1	1081	1	
svg62	Local	11	0	1	0	0	0	765	1	
svg62	Local	12	0	0	1	1	0	684	1	
svg62	Local	13	0	1	1	0	0	747	1	
svg62	Local	14	0	1	1	0	0	601	1	
svg62	Local	15	0	1	0	1	0	462	1	
svg62	Local	16	0	0	1	1	1	475	1	
svg62	Local	17	0	0	1	0	1	481	1	
