Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	1.00	0.94	0.97	0.94	1.00	0.97	0.97
Grand Total	1.00	0.97	0.98	0.97	1.00	0.98	0.98
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	0.94	1.00	0.94	1.00	1.00
546.90	583.90	514.60	555.60	596.60	559.30	440.30	471.90
							
							
							
rt	SDev	CCor	UCor				
546.90	69.01	16	16	0	0	0	
583.90	87.54	15	16	0	0	1	
514.60	159.2	16	16	0	1	0	
555.60	83.68	15	15	0	1	1	
596.60	132.1	16	16	1	0	0	
559.30	71.76	15	15	1	0	1	
440.30	49.4	15	16	1	1	0	
471.90	64.15	16	16	1	1	1	
