SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
td118	Global	1	0	1	1	1	1	855	1	
td118	Global	2	0	1	1	1	0	890	1	
td118	Global	3	0	1	1	1	0	584	1	
td118	Global	4	0	1	1	0	0	588	1	
td118	Global	5	0	1	1	0	1	791	1	
td118	Global	6	0	1	1	0	0	778	1	
td118	Global	7	0	1	1	1	0	675	1	
td118	Global	8	0	1	1	0	1	736	1	
td118	Global	9	0	1	1	1	0	852	1	
td118	Global	10	0	0	0	0	1	735	1	
td118	Global	11	0	0	0	0	1	803	1	
td118	Global	12	0	1	1	0	1	783	1	
td118	Global	13	0	1	1	0	0	586	1	
td118	Global	14	0	1	0	0	1	549	1	
td118	Global	15	0	0	0	1	0	380	1	
td118	Global	16	0	0	1	0	1	729	1	
td118	Global	17	0	0	0	0	0	533	1	
td118	Global	18	0	0	1	1	0	594	1	
td118	Global	19	0	0	1	0	0	463	1	
td118	Global	20	0	1	0	0	0	964	1	
td118	Global	21	0	0	0	0	0	426	1	
td118	Global	22	0	0	1	1	1	612	1	
td118	Global	23	0	0	0	1	1	675	1	
td118	Global	24	0	1	0	1	0	464	1	
td118	Global	25	0	1	1	1	1	695	1	
td118	Global	26	0	0	0	1	1	591	1	
td118	Global	27	0	0	0	1	0	403	1	
td118	Global	28	0	1	0	1	1	441	1	
td118	Global	29	0	0	0	0	0	589	1	
td118	Global	30	0	1	0	0	0	464	1	
td118	Global	31	0	0	0	1	0	471	1	
td118	Global	32	0	1	0	1	0	501	1	
td118	Local	1	0	0	0	1	1	609	1	
td118	Local	2	0	1	0	0	1	616	1	
td118	Local	3	0	0	1	0	0	479	1	
td118	Local	4	0	1	0	0	1	751	1	
td118	Local	5	0	0	0	0	1	719	1	
td118	Local	6	0	1	0	0	0	513	1	
td118	Local	7	0	0	1	0	1	820	1	
td118	Local	8	0	0	1	1	1	610	1	
td118	Local	9	0	0	0	0	1	457	1	
td118	Local	10	0	1	1	1	0	622	1	
td118	Local	11	0	0	1	1	0	710	1	
td118	Local	12	0	0	0	1	0	473	1	
td118	Local	13	0	1	1	1	1	1503	1	
td118	Local	14	0	1	1	1	0	812	1	
td118	Local	15	0	0	0	0	1	546	1	
td118	Local	16	0	0	1	1	0	616	1	
td118	Local	17	0	1	0	1	1	583	1	
td118	Local	18	0	1	1	0	0	651	1	
td118	Local	19	0	1	0	0	0	551	1	
td118	Local	20	0	0	1	0	0	487	1	
td118	Local	21	0	0	1	1	0	407	1	
td118	Local	22	0	0	0	0	1	543	1	
td118	Local	23	0	0	1	0	1	614	1	
td118	Local	24	0	0	0	1	1	573	1	
td118	Local	25	0	1	0	1	1	551	1	
td118	Local	26	0	1	0	1	1	559	1	
td118	Local	27	0	1	1	0	1	559	1	
td118	Local	28	0	1	1	0	0	472	1	
td118	Local	29	0	0	1	0	0	390	1	
td118	Local	30	0	0	0	1	0	467	1	
td118	Local	31	0	0	0	1	0	498	1	
td118	Local	32	0	0	1	1	1	555	1	
td118	Global	1	1	1	0	0	1	1331	1	
td118	Global	2	1	1	0	1	1	588	1	
td118	Global	3	1	0	0	0	1	7375	1	
td118	Global	4	1	1	1	1	0	1961	1	
td118	Global	5	1	0	0	0	0	762	1	
td118	Global	6	1	0	1	1	1	705	1	
td118	Global	7	1	0	1	0	1	690	1	
td118	Global	8	1	0	0	1	1	489	1	
td118	Global	9	1	1	1	0	1	529	1	
td118	Global	10	1	0	0	0	1	391	1	
td118	Global	11	1	1	0	0	0	523	1	
td118	Global	12	1	1	1	0	1	1064	1	
td118	Global	13	1	1	0	0	0	506	1	
td118	Global	14	1	1	1	0	0	828	1	
td118	Global	15	1	0	0	1	0	707	1	
td118	Global	16	1	1	1	1	0	900	1	
td118	Global	17	1	0	1	1	0	780	1	
td118	Global	18	1	0	0	1	1	876	1	
td118	Global	19	1	0	1	1	1	985	1	
td118	Global	20	1	0	1	1	1	810	1	
td118	Global	21	1	0	1	0	1	752	1	
td118	Global	22	1	0	1	0	0	759	1	
td118	Global	23	1	0	0	0	1	703	1	
td118	Global	24	1	0	1	0	1	647	1	
td118	Global	25	1	0	0	0	1	418	1	
td118	Global	26	1	1	1	1	1	506	1	
td118	Global	27	1	0	0	1	1	451	1	
td118	Global	28	1	1	1	1	1	384	1	
td118	Global	29	1	1	0	1	1	373	1	
td118	Global	30	1	1	0	1	1	408	1	
td118	Global	31	1	1	0	1	1	384	1	
td118	Global	32	1	0	1	0	1	493	1	
td118	Local	1	1	0	0	0	1	580	1	
td118	Local	2	1	1	0	1	1	447	1	
td118	Local	3	1	1	0	1	0	547	1	
td118	Local	4	1	0	1	0	0	865	1	
td118	Local	5	1	1	0	0	0	516	1	
td118	Local	6	1	0	1	1	1	472	1	
td118	Local	7	1	0	1	1	1	406	1	
td118	Local	8	1	0	1	0	0	556	1	
td118	Local	9	1	0	1	1	1	565	1	
td118	Local	10	1	1	1	0	0	583	1	
td118	Local	11	1	1	0	1	1	610	1	
td118	Local	12	1	0	1	1	1	489	1	
td118	Local	13	1	1	1	1	0	569	1	
td118	Local	14	1	0	0	1	1	563	1	
td118	Local	15	1	0	0	0	1	412	1	
td118	Local	16	1	1	1	0	1	388	1	
td118	Local	17	1	0	0	1	0	640	1	
td118	Local	18	1	1	1	0	0	379	1	
td118	Local	19	1	0	0	0	0	311	1	
td118	Local	20	1	0	0	1	0	260	1	
td118	Local	21	1	0	0	1	1	442	1	
td118	Local	22	1	0	1	1	1	421	1	
td118	Local	23	1	1	0	0	1	431	1	
td118	Local	24	1	0	1	1	1	384	1	
td118	Local	25	1	1	0	1	1	389	1	
td118	Local	26	1	0	1	1	1	402	1	
td118	Local	27	1	1	0	0	0	536	1	
td118	Local	28	1	1	0	0	1	551	1	
td118	Local	29	1	0	1	0	0	535	1	
td118	Local	30	1	1	1	0	0	622	1	
td118	Local	31	1	1	1	0	1	573	1	
td118	Local	32	1	1	0	0	0	503	1	
