Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	0.94	1.00	0.97	1.00	1.00	1.00	0.98
Grand Total	0.97	1.00	0.98	1.00	1.00	1.00	0.99
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	0.94	1.00	1.00	1.00	1.00	1.00	1.00
493.8	588.5	591.9	680.9	635.8	630.1	517.7	600.7
							
							
rt	SDev	CCor	UCor				
493.8	70.15	16	16	0	0	0	
588.5	121.4	15	15	0	0	1	
591.9	200.7	16	16	0	1	0	
680.9	149.2	16	16	0	1	1	
635.8	160.6	16	16	1	0	0	
630.1	80.35	15	16	1	0	1	
517.7	96.68	16	16	1	1	0	
600.7	88.39	15	16	1	1	1	
