SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
tf214	Global	1	0	1	1	1	0	150	0	
tf214	Global	2	0	0	0	0	1	490	1	
tf214	Global	3	0	0	1	0	1	419	1	
tf214	Global	4	0	1	1	0	0	419	1	
tf214	Global	5	0	0	1	1	0	379	1	
tf214	Global	6	0	0	1	1	1	447	1	
tf214	Global	7	0	1	1	0	0	355	1	
tf214	Global	8	0	0	0	1	1	380	1	
tf214	Global	9	0	0	0	1	1	425	1	
tf214	Global	10	0	0	0	0	0	410	1	
tf214	Global	11	0	1	0	0	1	346	1	
tf214	Global	12	0	0	1	1	1	386	1	
tf214	Global	13	0	1	1	0	0	359	1	
tf214	Global	14	0	1	0	0	0	304	1	
tf214	Global	15	0	0	1	0	0	387	1	
tf214	Global	16	0	0	1	1	0	448	1	
tf214	Global	17	0	0	1	0	0	363	1	
tf214	Global	18	0	0	1	1	1	396	1	
tf214	Global	19	0	1	1	1	1	347	1	
tf214	Global	20	0	0	0	1	1	370	1	
tf214	Global	21	0	1	0	0	1	382	1	
tf214	Global	22	0	0	0	1	0	482	1	
tf214	Global	23	0	0	1	1	0	274	1	
tf214	Global	24	0	1	1	0	0	378	1	
tf214	Global	25	0	0	0	1	1	327	1	
tf214	Global	26	0	0	0	1	1	269	1	
tf214	Global	27	0	1	0	1	0	348	1	
tf214	Global	28	0	0	0	0	1	348	1	
tf214	Global	29	0	0	0	0	1	492	1	
tf214	Global	30	0	1	0	1	1	452	1	
tf214	Global	31	0	1	0	0	1	369	1	
tf214	Global	32	0	1	1	0	0	404	1	
tf214	Local	1	0	0	0	0	0	591	1	
tf214	Local	2	0	1	1	0	0	555	1	
tf214	Local	3	0	0	0	1	1	547	1	
tf214	Local	4	0	0	0	0	1	434	1	
tf214	Local	5	0	1	0	1	0	596	1	
tf214	Local	6	0	1	0	0	0	433	1	
tf214	Local	7	0	0	0	0	0	427	1	
tf214	Local	8	0	0	0	1	0	404	1	
tf214	Local	9	0	0	1	0	1	466	1	
tf214	Local	10	0	1	0	0	1	513	1	
tf214	Local	11	0	0	1	0	1	436	1	
tf214	Local	12	0	0	0	0	1	368	1	
tf214	Local	13	0	0	0	0	1	459	1	
tf214	Local	14	0	0	0	1	1	400	1	
tf214	Local	15	0	0	1	1	1	542	1	
tf214	Local	16	0	0	1	1	0	509	1	
tf214	Local	17	0	1	1	1	1	568	1	
tf214	Local	18	0	1	1	1	1	498	1	
tf214	Local	19	0	1	0	1	0	150	0	
tf214	Local	20	0	0	1	1	1	820	1	
tf214	Local	21	0	0	1	0	0	538	1	
tf214	Local	22	0	0	1	0	0	521	1	
tf214	Local	23	0	1	1	0	0	516	1	
tf214	Local	24	0	1	0	1	1	496	1	
tf214	Local	25	0	0	1	1	1	497	1	
tf214	Local	26	0	1	1	0	1	499	1	
tf214	Local	27	0	1	0	1	0	413	1	
tf214	Local	28	0	1	0	1	0	485	1	
tf214	Local	29	0	0	1	0	1	477	1	
tf214	Local	30	0	0	0	0	0	444	1	
tf214	Local	31	0	1	1	1	0	447	1	
tf214	Local	32	0	1	1	1	0	450	1	
tf214	Global	1	1	0	1	1	1	698	1	
tf214	Global	2	1	1	0	1	0	451	1	
tf214	Global	3	1	0	1	0	0	150	0	
tf214	Global	4	1	1	0	1	1	457	1	
tf214	Global	5	1	0	1	0	1	742	1	
tf214	Global	6	1	0	1	1	1	532	1	
tf214	Global	7	1	1	1	0	1	713	1	
tf214	Global	8	1	0	1	0	0	499	1	
tf214	Global	9	1	1	1	1	0	629	1	
tf214	Global	10	1	1	0	1	0	437	1	
tf214	Global	11	1	1	1	0	1	473	1	
tf214	Global	12	1	0	1	1	0	623	1	
tf214	Global	13	1	0	0	1	0	408	1	
tf214	Global	14	1	0	0	1	0	344	1	
tf214	Global	15	1	1	0	0	1	392	1	
tf214	Global	16	1	0	1	0	1	396	1	
tf214	Global	17	1	0	0	0	0	395	1	
tf214	Global	18	1	0	0	1	1	393	1	
tf214	Global	19	1	0	0	1	1	295	1	
tf214	Global	20	1	1	0	0	0	338	1	
tf214	Global	21	1	0	0	1	0	394	1	
tf214	Global	22	1	1	0	0	1	288	1	
tf214	Global	23	1	0	1	1	1	298	1	
tf214	Global	24	1	1	1	1	1	452	1	
tf214	Global	25	1	0	0	0	1	401	1	
tf214	Global	26	1	1	1	0	1	440	1	
tf214	Global	27	1	1	0	0	0	475	1	
tf214	Global	28	1	1	0	0	1	409	1	
tf214	Global	29	1	0	0	0	0	377	1	
tf214	Global	30	1	1	1	1	0	150	0	
tf214	Global	31	1	1	1	1	1	547	1	
tf214	Global	32	1	1	1	0	1	586	1	
tf214	Local	1	1	1	0	1	1	554	1	
tf214	Local	2	1	0	0	0	0	459	1	
tf214	Local	3	1	1	0	1	0	607	1	
tf214	Local	4	1	0	0	0	1	485	1	
tf214	Local	5	1	1	1	0	0	629	1	
tf214	Local	6	1	1	1	1	0	437	1	
tf214	Local	7	1	1	1	1	0	537	1	
tf214	Local	8	1	1	0	0	0	447	1	
tf214	Local	9	1	1	1	1	1	451	1	
tf214	Local	10	1	1	1	1	0	527	1	
tf214	Local	11	1	1	0	0	0	437	1	
tf214	Local	12	1	0	0	1	1	368	1	
tf214	Local	13	1	1	0	1	0	371	1	
tf214	Local	14	1	1	1	1	0	478	1	
tf214	Local	15	1	1	1	0	0	540	1	
tf214	Local	16	1	1	1	0	1	387	1	
tf214	Local	17	1	0	1	0	0	384	1	
tf214	Local	18	1	0	1	1	1	381	1	
tf214	Local	19	1	1	1	0	1	337	1	
tf214	Local	20	1	0	0	1	1	377	1	
tf214	Local	21	1	1	0	1	0	420	1	
tf214	Local	22	1	1	1	1	1	452	1	
tf214	Local	23	1	0	0	1	0	353	1	
tf214	Local	24	1	0	0	0	0	362	1	
tf214	Local	25	1	0	1	0	1	380	1	
tf214	Local	26	1	1	0	0	1	150	0	
tf214	Local	27	1	0	0	1	1	618	1	
tf214	Local	28	1	1	0	0	0	433	1	
tf214	Local	29	1	0	1	0	1	419	1	
tf214	Local	30	1	0	1	0	1	470	1	
tf214	Local	31	1	0	0	0	0	356	1	
tf214	Local	32	1	0	1	1	1	446	1	
