SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
tl109	Global	1	1	1	1	0	0	2105	1	
tl109	Global	2	1	0	0	0	1	5690	1	
tl109	Global	3	1	1	0	0	1	1267	1	
tl109	Global	4	1	1	0	0	0	3100	1	
tl109	Global	5	1	0	0	0	1	1366	1	
tl109	Global	6	1	1	0	1	0	1994	1	
tl109	Global	7	1	1	1	0	1	150	0	
tl109	Global	8	1	0	1	0	1	150	0	
tl109	Global	9	1	0	0	1	1	528	1	
tl109	Global	10	1	1	1	1	1	150	0	
tl109	Global	11	1	1	0	1	0	952	1	
tl109	Global	12	1	0	1	1	1	150	0	
tl109	Global	13	1	0	1	1	1	150	0	
tl109	Global	14	1	1	0	0	0	809	1	
tl109	Global	15	1	1	1	0	0	150	0	
tl109	Global	16	1	0	1	1	1	150	0	
tl109	Global	17	1	0	1	1	1	1449	1	
tl109	Global	18	1	0	1	0	1	150	0	
tl109	Global	19	1	0	0	1	0	506	1	
tl109	Global	20	1	1	0	1	1	420	1	
tl109	Global	21	1	0	1	1	1	150	0	
tl109	Global	22	1	0	1	1	1	150	0	
tl109	Global	23	1	0	0	0	0	1413	1	
tl109	Global	24	1	1	1	0	1	1287	1	
tl109	Global	25	1	1	0	0	1	1363	1	
tl109	Global	26	1	0	0	1	0	535	1	
tl109	Global	27	1	0	1	1	0	150	0	
tl109	Global	28	1	1	1	0	0	1142	1	
tl109	Global	29	1	0	0	1	0	609	1	
tl109	Global	30	1	0	0	0	0	150	0	
tl109	Global	31	1	1	0	1	1	150	0	
tl109	Global	32	1	1	1	0	0	1233	1	
tl109	Local	1	1	0	1	1	1	1299	1	
tl109	Local	2	1	0	0	0	1	808	1	
tl109	Local	3	1	0	0	1	0	485	1	
tl109	Local	4	1	0	1	1	1	381	1	
tl109	Local	5	1	0	0	0	0	386	1	
tl109	Local	6	1	1	0	0	1	350	1	
tl109	Local	7	1	0	0	1	1	456	1	
tl109	Local	8	1	1	1	1	1	429	1	
tl109	Local	9	1	0	1	0	0	414	1	
tl109	Local	10	1	1	1	1	0	430	1	
tl109	Local	11	1	1	0	1	1	150	0	
tl109	Local	12	1	0	0	1	1	451	1	
tl109	Local	13	1	1	1	1	0	760	1	
tl109	Local	14	1	1	0	0	0	847	1	
tl109	Local	15	1	0	0	1	0	592	1	
tl109	Local	16	1	1	1	0	1	436	1	
tl109	Local	17	1	1	1	0	0	847	1	
tl109	Local	18	1	1	0	0	0	784	1	
tl109	Local	19	1	1	1	1	0	419	1	
tl109	Local	20	1	1	1	0	0	411	1	
tl109	Local	21	1	1	1	1	1	715	1	
tl109	Local	22	1	1	1	1	1	845	1	
tl109	Local	23	1	0	0	0	0	686	1	
tl109	Local	24	1	0	0	0	0	981	1	
tl109	Local	25	1	0	0	0	1	935	1	
tl109	Local	26	1	0	1	0	1	770	1	
tl109	Local	27	1	1	1	0	0	826	1	
tl109	Local	28	1	0	0	1	1	834	1	
tl109	Local	29	1	1	1	0	1	753	1	
tl109	Local	30	1	0	1	0	1	649	1	
tl109	Local	31	1	0	0	1	0	571	1	
tl109	Local	32	1	1	0	1	1	685	1	
tl109	Global	1	0	1	0	0	1	1813	1	
tl109	Global	2	0	1	0	1	1	508	1	
tl109	Global	3	0	0	0	0	1	399	1	
tl109	Global	4	0	0	0	0	1	422	1	
tl109	Global	5	0	0	1	1	0	575	1	
tl109	Global	6	0	1	1	1	0	577	1	
tl109	Global	7	0	1	1	1	1	150	0	
tl109	Global	8	0	1	1	0	1	499	1	
tl109	Global	9	0	0	0	0	0	509	1	
