SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
tp32	Global	1	0	0	0	0	1	657	1	
tp32	Global	2	0	0	0	0	1	421	1	
tp32	Global	3	0	1	1	1	0	669	1	
tp32	Global	4	0	0	0	1	0	514	1	
tp32	Global	5	0	0	0	1	0	406	1	
tp32	Global	6	0	0	0	0	0	396	1	
tp32	Global	7	0	0	1	0	1	418	1	
tp32	Global	8	0	1	1	1	1	514	1	
tp32	Global	9	0	0	0	0	1	782	1	
tp32	Global	10	0	0	1	1	1	456	1	
tp32	Global	11	0	0	0	1	0	365	1	
tp32	Global	12	0	0	1	1	0	400	1	
tp32	Global	13	0	1	0	0	1	871	1	
tp32	Global	14	0	0	1	0	1	595	1	
tp32	Global	15	0	1	1	0	1	512	1	
tp32	Global	16	0	0	1	0	1	548	1	
tp32	Global	17	0	1	1	1	0	442	1	
tp32	Global	18	0	0	0	1	0	438	1	
tp32	Global	19	0	1	0	0	1	449	1	
tp32	Global	20	0	1	1	0	0	500	1	
tp32	Global	21	0	0	1	0	1	518	1	
tp32	Global	22	0	0	1	1	1	521	1	
tp32	Global	23	0	1	1	1	0	390	1	
tp32	Global	24	0	1	1	0	1	451	1	
tp32	Global	25	0	0	0	0	1	472	1	
tp32	Global	26	0	1	0	1	0	415	1	
tp32	Global	27	0	0	0	0	1	391	1	
tp32	Global	28	0	0	1	0	1	435	1	
tp32	Global	29	0	0	0	1	1	390	1	
tp32	Global	30	0	0	1	1	1	451	1	
tp32	Global	31	0	1	0	1	1	368	1	
tp32	Global	32	0	0	0	1	1	419	1	
tp32	Local	1	0	0	1	1	1	546	1	
tp32	Local	2	0	0	0	1	1	497	1	
tp32	Local	3	0	1	0	1	1	515	1	
tp32	Local	4	0	1	1	1	0	638	1	
tp32	Local	5	0	0	0	0	1	432	1	
tp32	Local	6	0	0	1	1	0	498	1	
tp32	Local	7	0	1	1	0	0	556	1	
tp32	Local	8	0	1	0	0	0	412	1	
tp32	Local	9	0	0	1	0	0	572	1	
tp32	Local	10	0	1	0	1	0	486	1	
tp32	Local	11	0	1	1	1	1	510	1	
tp32	Local	12	0	0	0	0	1	458	1	
tp32	Local	13	0	1	0	1	0	471	1	
tp32	Local	14	0	1	0	0	0	437	1	
tp32	Local	15	0	0	1	0	1	489	1	
tp32	Local	16	0	0	1	0	1	457	1	
tp32	Local	17	0	0	0	1	0	421	1	
tp32	Local	18	0	1	1	1	1	423	1	
tp32	Local	19	0	0	0	0	0	569	1	
tp32	Local	20	0	1	0	0	0	411	1	
tp32	Local	21	0	1	1	0	1	427	1	
tp32	Local	22	0	1	0	0	1	420	1	
tp32	Local	23	0	0	1	0	1	452	1	
tp32	Local	24	0	1	0	1	0	401	1	
tp32	Local	25	0	0	0	1	0	448	1	
tp32	Local	26	0	0	1	1	1	435	1	
tp32	Local	27	0	0	1	1	1	716	1	
tp32	Local	28	0	1	1	0	1	495	1	
tp32	Local	29	0	1	1	1	1	449	1	
tp32	Local	30	0	1	0	0	1	420	1	
tp32	Local	31	0	0	1	0	1	380	1	
tp32	Local	32	0	1	0	1	1	416	1	
tp32	Global	1	1	0	1	0	0	659	1	
tp32	Global	2	1	1	1	1	1	150	0	
tp32	Global	3	1	0	1	0	0	618	1	
tp32	Global	4	1	1	1	1	1	456	1	
tp32	Global	5	1	1	0	0	0	405	1	
tp32	Global	6	1	0	0	1	1	420	1	
tp32	Global	7	1	0	0	1	1	396	1	
tp32	Global	8	1	1	0	1	1	362	1	
tp32	Global	9	1	0	1	1	1	491	1	
tp32	Global	10	1	0	1	0	1	492	1	
tp32	Global	11	1	0	1	1	0	150	0	
tp32	Global	12	1	1	0	0	0	463	1	
tp32	Global	13	1	0	1	0	0	492	1	
tp32	Global	14	1	1	0	1	1	476	1	
tp32	Global	15	1	1	0	0	0	442	1	
tp32	Global	16	1	0	1	1	0	558	1	
tp32	Global	17	1	0	0	1	0	398	1	
tp32	Global	18	1	1	1	0	0	500	1	
tp32	Global	19	1	0	0	1	1	446	1	
tp32	Global	20	1	1	0	0	0	393	1	
tp32	Global	21	1	0	0	0	1	432	1	
tp32	Global	22	1	0	0	0	0	409	1	
tp32	Global	23	1	1	1	0	1	625	1	
tp32	Global	24	1	0	1	1	1	514	1	
tp32	Global	25	1	0	1	1	1	445	1	
tp32	Global	26	1	1	0	1	1	417	1	
tp32	Global	27	1	1	1	1	1	521	1	
tp32	Global	28	1	0	0	1	1	396	1	
tp32	Global	29	1	0	1	0	0	498	1	
tp32	Global	30	1	0	0	0	0	420	1	
tp32	Global	31	1	1	1	0	0	516	1	
tp32	Global	32	1	1	0	0	1	480	1	
tp32	Local	1	1	1	0	0	1	709	1	
tp32	Local	2	1	0	1	1	0	695	1	
tp32	Local	3	1	0	1	0	0	344	1	
tp32	Local	4	1	1	1	1	0	480	1	
tp32	Local	5	1	0	1	0	1	432	1	
tp32	Local	6	1	0	0	0	1	962	1	
tp32	Local	7	1	1	0	0	0	376	1	
tp32	Local	8	1	1	0	1	0	395	1	
tp32	Local	9	1	0	0	0	0	425	1	
tp32	Local	10	1	0	0	1	1	491	1	
tp32	Local	11	1	1	1	0	0	475	1	
tp32	Local	12	1	0	0	0	0	394	1	
tp32	Local	13	1	1	1	0	1	448	1	
tp32	Local	14	1	1	1	0	1	443	1	
tp32	Local	15	1	0	1	0	0	638	1	
tp32	Local	16	1	0	0	0	1	496	1	
tp32	Local	17	1	0	0	0	0	570	1	
tp32	Local	18	1	0	1	1	1	476	1	
tp32	Local	19	1	1	0	1	0	499	1	
tp32	Local	20	1	0	1	1	0	605	1	
tp32	Local	21	1	0	1	1	1	674	1	
tp32	Local	22	1	0	0	1	0	487	1	
tp32	Local	23	1	1	1	0	1	480	1	
tp32	Local	24	1	0	1	0	0	512	1	
tp32	Local	25	1	0	0	1	0	443	1	
tp32	Local	26	1	1	0	1	0	414	1	
tp32	Local	27	1	0	0	0	1	486	1	
tp32	Local	28	1	1	1	1	1	415	1	
tp32	Local	29	1	0	0	1	1	438	1	
tp32	Local	30	1	1	1	1	0	514	1	
tp32	Local	31	1	1	0	1	1	501	1	
tp32	Local	32	1	0	1	1	1	599	1	
