SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
vk71	Global	1	0	1	1	0	0	2385	1	
vk71	Global	2	0	1	0	0	0	897	1	
vk71	Global	3	0	1	1	0	0	513	1	
vk71	Global	4	0	0	1	0	1	580	1	
vk71	Global	5	0	0	1	0	0	632	1	
vk71	Global	6	0	1	0	1	1	480	1	
vk71	Global	7	0	0	1	1	1	712	1	
vk71	Global	8	0	1	1	1	0	643	1	
vk71	Global	9	0	0	1	1	0	541	1	
vk71	Global	10	0	1	0	1	1	580	1	
vk71	Global	11	0	1	1	1	0	575	1	
vk71	Global	12	0	0	0	0	1	545	1	
vk71	Global	13	0	1	0	0	0	448	1	
vk71	Global	14	0	1	1	1	1	523	1	
vk71	Global	15	0	0	0	1	1	552	1	
vk71	Global	16	0	0	1	0	1	585	1	
vk71	Global	17	0	1	1	1	0	476	1	
vk71	Global	18	0	0	0	0	1	150	0	
vk71	Global	19	0	0	1	1	1	658	1	
vk71	Global	20	0	0	0	0	0	486	1	
vk71	Global	21	0	1	0	1	0	446	1	
vk71	Global	22	0	0	1	0	1	553	1	
vk71	Global	23	0	0	0	0	0	442	1	
vk71	Global	24	0	0	1	1	0	461	1	
vk71	Global	25	0	1	0	1	0	450	1	
vk71	Global	26	0	1	1	0	1	479	1	
vk71	Global	27	0	1	0	0	0	335	1	
vk71	Global	28	0	0	0	1	0	687	1	
vk71	Global	29	0	1	1	0	0	422	1	
vk71	Global	30	0	0	0	1	1	511	1	
vk71	Global	31	0	1	0	1	0	363	1	
vk71	Global	32	0	0	0	0	0	460	1	
vk71	Local	1	0	1	0	1	0	1908	1	
vk71	Local	2	0	0	0	1	1	639	1	
vk71	Local	3	0	1	1	1	0	793	1	
vk71	Local	4	0	0	0	0	1	819	1	
vk71	Local	5	0	0	1	1	0	793	1	
vk71	Local	6	0	0	0	0	0	596	1	
vk71	Local	7	0	1	1	1	1	150	0	
vk71	Local	8	0	1	0	0	0	793	1	
vk71	Local	9	0	1	0	0	0	548	1	
vk71	Local	10	0	0	0	1	1	539	1	
vk71	Local	11	0	0	1	0	0	705	1	
vk71	Local	12	0	0	1	0	0	578	1	
vk71	Local	13	0	0	1	0	1	556	1	
vk71	Local	14	0	0	1	0	1	796	1	
vk71	Local	15	0	0	1	0	1	705	1	
vk71	Local	16	0	1	0	0	1	473	1	
vk71	Local	17	0	1	1	1	1	592	1	
vk71	Local	18	0	1	0	1	1	435	1	
vk71	Local	19	0	0	0	1	1	511	1	
vk71	Local	20	0	1	0	0	1	482	1	
vk71	Local	21	0	1	0	0	1	450	1	
vk71	Local	22	0	1	1	1	0	527	1	
vk71	Local	23	0	1	1	0	0	508	1	
vk71	Local	24	0	1	1	0	0	544	1	
vk71	Local	25	0	0	1	0	0	446	1	
vk71	Local	26	0	1	0	0	1	498	1	
vk71	Local	27	0	1	0	1	1	150	0	
vk71	Local	28	0	0	1	1	1	585	1	
vk71	Local	29	0	0	1	1	1	565	1	
vk71	Local	30	0	1	0	1	0	455	1	
vk71	Local	31	0	1	0	1	1	492	1	
vk71	Local	32	0	1	1	1	1	540	1	
vk71	Global	1	1	0	0	1	1	1518	1	
vk71	Global	2	1	0	0	0	1	508	1	
vk71	Global	3	1	1	1	0	1	792	1	
vk71	Global	4	1	1	0	0	0	698	1	
vk71	Global	5	1	1	1	0	1	150	0	
vk71	Global	6	1	0	1	1	1	680	1	
vk71	Global	7	1	1	1	1	1	592	1	
vk71	Global	8	1	0	0	1	0	507	1	
vk71	Global	9	1	1	1	0	1	663	1	
vk71	Global	10	1	1	0	0	1	498	1	
vk71	Global	11	1	1	0	1	0	556	1	
vk71	Global	12	1	1	0	1	1	565	1	
vk71	Global	13	1	0	1	0	1	631	1	
vk71	Global	14	1	0	1	0	1	471	1	
vk71	Global	15	1	0	0	1	0	1038	1	
vk71	Global	16	1	1	0	0	1	476	1	
vk71	Global	17	1	0	0	1	0	150	0	
vk71	Global	18	1	0	1	1	0	672	1	
vk71	Global	19	1	0	0	0	1	589	1	
vk71	Global	20	1	1	1	0	0	913	1	
vk71	Global	21	1	0	0	0	0	498	1	
vk71	Global	22	1	0	1	0	0	676	1	
vk71	Global	23	1	1	0	1	0	417	1	
vk71	Global	24	1	1	1	1	0	473	1	
vk71	Global	25	1	1	1	1	1	512	1	
vk71	Global	26	1	0	1	1	1	555	1	
vk71	Global	27	1	1	1	1	1	587	1	
vk71	Global	28	1	0	1	1	0	495	1	
vk71	Global	29	1	1	0	0	0	489	1	
vk71	Global	30	1	1	0	1	0	473	1	
vk71	Global	31	1	0	0	0	1	512	1	
vk71	Global	32	1	1	1	0	1	691	1	
vk71	Local	1	1	0	1	1	0	1018	1	
vk71	Local	2	1	0	0	0	0	502	1	
vk71	Local	3	1	0	1	0	0	392	1	
vk71	Local	4	1	0	1	0	1	606	1	
vk71	Local	5	1	1	1	1	1	676	1	
vk71	Local	6	1	1	0	0	1	473	1	
vk71	Local	7	1	0	0	1	1	376	1	
vk71	Local	8	1	0	1	0	1	451	1	
vk71	Local	9	1	0	0	0	0	552	1	
vk71	Local	10	1	0	0	0	1	504	1	
vk71	Local	11	1	0	0	1	0	434	1	
vk71	Local	12	1	1	1	1	1	635	1	
vk71	Local	13	1	1	1	1	1	556	1	
vk71	Local	14	1	1	1	0	1	516	1	
vk71	Local	15	1	1	0	1	0	504	1	
vk71	Local	16	1	0	1	1	0	434	1	
vk71	Local	17	1	0	1	0	0	539	1	
vk71	Local	18	1	0	1	1	1	498	1	
vk71	Local	19	1	1	1	1	0	436	1	
vk71	Local	20	1	1	0	0	0	511	1	
vk71	Local	21	1	1	0	1	1	634	1	
vk71	Local	22	1	0	1	0	1	619	1	
vk71	Local	23	1	1	0	1	0	1066	1	
vk71	Local	24	1	0	0	0	0	555	1	
vk71	Local	25	1	1	0	1	0	364	1	
vk71	Local	26	1	0	0	1	1	519	1	
vk71	Local	27	1	1	1	0	1	482	1	
vk71	Local	28	1	0	1	0	1	690	1	
vk71	Local	29	1	1	1	1	1	546	1	
vk71	Local	30	1	1	0	0	1	512	1	
vk71	Local	31	1	1	0	1	1	332	1	
vk71	Local	32	1	1	0	0	0	506	1	
