ID,Practice,RT,ACC,Congruency,Coherence
15,0,831.5,1,0,0.6
15,0,1075.40000000596,1,1,0.3
15,0,857.5,1,0,0.9
15,0,706.600000008941,1,0,0.6
15,0,642.90000000596,1,1,0.9
15,0,541.70000000298,1,1,0.6
15,0,1137.19999998808,1,0,0.2
15,0,763.09999999404,1,1,0.3
15,0,813.09999999404,1,1,0.3
15,0,714.70000000298,1,1,0.9
15,0,628.70000000298,1,1,0.9
15,0,548.800000011921,1,1,0.9
15,0,673,1,1,0.2
15,0,611.70000000298,1,0,0.2
15,0,611.59999999404,1,0,0.6
15,0,678,1,0,0.2
15,0,660.29999999702,1,0,0.2
15,0,594.40000000596,1,1,0.2
15,0,558.399999991059,1,1,0.6
15,0,640.800000011921,1,0,0.3
15,0,701.20000000298,1,1,0.3
15,0,690.59999999404,1,0,0.9
15,0,557,1,0,0.6
15,0,554.70000000298,1,1,0.3
15,0,553.79999999702,1,1,0.6
15,0,660.600000008941,1,1,0.6
15,0,642.90000000596,1,1,0.3
15,0,482.899999991059,1,0,0.9
15,0,556.899999991059,1,0,0.9
15,0,500,1,1,0.9
15,0,522.70000000298,1,1,0.3
15,0,525.600000008941,1,0,0.9
15,0,1275.40000000596,1,0,0.2
15,0,645.40000000596,1,0,0.6
15,0,710.40000000596,1,0,0.3
15,0,539.90000000596,1,1,0.6
15,0,860.40000000596,0,0,0.2
15,0,540.29999999702,1,1,0.6
15,0,1062.20000000298,0,1,0.2
15,0,727.40000000596,1,1,0.2
15,0,852,1,0,0.3
15,0,554.70000000298,1,0,0.2
15,0,505.800000011921,1,0,0.6
15,0,469.699999988079,1,0,0.9
15,0,588.5,1,0,0.9
15,0,524,1,0,0.2
15,0,495.600000008941,1,1,0.2
15,0,519.20000000298,1,1,0.6
15,0,456.79999999702,1,0,0.6
15,0,473.90000000596,1,1,0.9
15,0,1141.19999998808,1,1,0.2
15,0,1226.79999999702,1,1,0.2
15,0,611.5,1,1,0.6
15,0,504,1,0,0.6
15,0,941.5,1,1,0.2
15,0,1290.59999999404,1,0,0.3
15,0,709.90000000596,1,0,0.3
15,0,570.399999991059,1,0,0.3
15,0,692.399999991059,1,1,0.9
15,0,627.20000000298,1,0,0.9
15,0,1181.20000000298,0,0,0.3
15,0,1515.10000000894,1,1,0.3
15,0,619,1,1,0.9
15,0,851.300000011921,1,0,0.3
15,0,696.29999999702,1,1,0.6
15,0,590.59999999404,1,1,0.9
15,0,509.59999999404,1,0,0.9
15,0,682.399999991059,1,0,0.3
15,0,550,1,0,0.3
15,0,816.800000011921,1,1,0.3
15,0,540.40000000596,1,0,0.6
15,0,522.70000000298,1,1,0.9
15,0,720.5,1,0,0.6
15,0,641,1,1,0.3
15,0,1724.59999999404,1,0,0.2
15,0,609.5,1,1,0.9
15,0,544.70000000298,1,0,0.3
15,0,513.20000000298,1,0,0.9
15,0,592.59999999404,0,1,0.2
15,0,593.59999999404,1,0,0.6
15,0,504.40000000596,1,0,0.3
15,0,517.79999999702,1,1,0.6
15,0,523.90000000596,1,0,0.6
15,0,629,1,0,0.2
15,0,601.899999991059,1,1,0.2
15,0,623.5,1,0,0.9
15,0,668.29999999702,1,1,0.3
15,0,703.600000008941,1,0,0.2
15,0,732.5,1,0,0.3
15,0,652.20000000298,1,0,0.2
15,0,614.59999999404,1,0,0.9
15,0,429.79999999702,1,1,0.3
15,0,542.899999991059,1,1,0.2
15,0,372.20000000298,1,1,0.6
15,0,490.59999999404,1,1,0.6
15,0,424.40000000596,1,1,0.6
15,0,1011.60000000894,1,1,0.3
15,0,582.29999999702,1,1,0.3
15,0,517.09999999404,1,0,0.6
15,0,1579.60000000894,1,0,0.2
15,0,779.40000000596,1,1,0.3
15,0,610.600000008941,1,0,0.9
15,0,1900.20000000298,0,1,0.2
15,0,1071.30000001192,1,1,0.6
15,0,1299.20000000298,1,1,0.2
15,0,581.100000008941,1,0,0.6
15,0,539.59999999404,1,0,0.3
15,0,623.90000000596,1,0,0.6
15,0,576,1,0,0.9
15,0,963.79999999702,1,1,0.2
15,0,588.29999999702,1,0,0.9
15,0,494.79999999702,1,1,0.6
15,0,760.300000011921,1,1,0.2
15,0,709.5,1,1,0.3
15,0,593.600000008941,1,1,0.9
15,0,784.70000000298,1,0,0.2
15,0,1392.5,1,0,0.2
15,0,566.09999999404,1,0,0.6
15,0,531,1,1,0.9
15,0,530.20000000298,1,0,0.9
15,0,799.29999999702,1,0,0.3
15,0,604.20000000298,1,0,0.3
15,0,854.20000000298,1,1,0.2
15,0,561.20000000298,1,1,0.9
15,0,531.59999999404,1,1,0.6
15,0,541.79999999702,1,1,0.9
15,0,517.90000000596,1,1,0.9
15,0,1771.70000000298,1,0,0.2
15,0,578.5,1,1,0.3
15,0,884.5,1,1,0.3
15,0,590.79999999702,1,0,0.6
15,0,485.90000000596,1,1,0.6
15,0,501.09999999404,1,1,0.6
15,0,578.20000000298,1,0,0.3
15,0,498.199999988079,1,0,0.9
15,0,1722.40000000596,0,1,0.2
15,0,1054.29999999702,0,1,0.3
15,0,894.20000000298,1,0,0.3
15,0,2033.20000000298,1,0,0.2
15,0,611.40000000596,1,1,0.9
15,0,566.600000008941,1,0,0.9
15,0,438.899999991059,1,1,0.9
15,0,683.79999999702,1,0,0.6
15,0,706.600000008941,1,0,0.2
15,0,587.90000000596,1,1,0.9
15,0,909.79999999702,1,0,0.3
15,0,736.29999999702,1,0,0.3
15,0,678.899999991059,1,1,0.6
15,0,561.20000000298,1,1,0.6
15,0,522.699999988079,1,1,0.6
15,0,433.29999999702,1,0,0.9
15,0,431.40000000596,1,1,0.9
15,0,509.800000011921,1,0,0.6
15,0,477.699999988079,1,0,0.9
15,0,489.100000008941,1,0,0.3
15,0,422.100000008941,1,0,0.6
15,0,528.899999991059,0,1,0.9
15,0,929,1,1,0.2
15,0,568.5,1,0,0.6
15,0,577.399999991059,1,0,0.9
15,0,705.399999991059,1,1,0.9
15,0,475.29999999702,1,0,0.9
15,0,627.5,1,0,0.6
15,0,700.20000000298,1,1,0.2
15,0,1216,1,0,0.3
15,0,846.600000008941,1,1,0.2
15,0,624.5,1,0,0.6
15,0,754.100000008941,1,1,0.3
15,0,660.20000000298,1,0,0.2
15,0,543.199999988079,1,1,0.6
15,0,1228.09999999404,1,0,0.2
15,0,601.199999988079,1,0,0.2
15,0,594.5,1,1,0.3
15,0,534.29999999702,1,1,0.6
15,0,801.29999999702,1,1,0.2
15,0,794.40000000596,1,1,0.2
15,0,810.70000000298,1,0,0.3
15,0,542.800000011921,1,1,0.2
15,0,574.199999988079,1,1,0.3
15,0,816.40000000596,0,1,0.3
15,0,854.20000000298,1,1,0.3
15,0,576.100000008941,1,0,0.2
15,0,820.90000000596,1,0,0.2
15,0,609.29999999702,1,0,0.2
15,0,533.40000000596,1,1,0.9
15,0,510.300000011921,1,1,0.9
15,0,507.40000000596,1,0,0.9
15,0,579.800000011921,1,1,0.6
15,0,527.300000011921,1,0,0.9
15,0,513.59999999404,1,0,0.6
15,0,879.79999999702,1,1,0.2
15,0,813.899999991059,1,0,0.3
15,0,703.09999999404,1,1,0.3
15,0,549.09999999404,1,0,0.2
15,0,537.600000008941,1,0,0.3
15,0,759.800000011921,1,1,0.3
15,0,528.300000011921,1,0,0.9
15,0,720.5,1,1,0.2
15,0,619.70000000298,1,0,0.2
15,0,494.800000011921,1,0,0.6
15,0,489.70000000298,1,0,0.9
15,0,520.40000000596,1,0,0.3
15,0,507.29999999702,1,1,0.3
15,0,463.20000000298,1,1,0.9
15,0,514,1,1,0.3
15,0,674.800000011921,1,0,0.2
15,0,672.29999999702,1,1,0.2
15,0,616.399999991059,1,0,0.3
15,0,539.699999988079,1,0,0.9
15,0,604.100000008941,1,0,0.3
15,0,531,1,1,0.9
15,0,542.399999991059,1,1,0.9
15,0,526.59999999404,1,1,0.2
15,0,504.70000000298,1,0,0.9
15,0,496.90000000596,1,1,0.9
15,0,514.90000000596,1,0,0.6
15,0,411.70000000298,1,0,0.6
15,0,470.09999999404,1,1,0.2
15,0,494.899999991059,1,1,0.6
15,0,927.29999999702,0,0,0.2
15,0,988.40000000596,1,0,0.3
15,0,544.90000000596,1,1,0.9
15,0,460,1,1,0.6
15,0,544.100000008941,1,0,0.6
15,0,1008.09999999404,1,1,0.6
15,0,479.79999999702,1,1,0.6
15,0,551.79999999702,1,0,0.2
15,0,504.79999999702,1,0,0.3
15,0,502.600000008941,1,0,0.6
15,0,512.40000000596,1,1,0.6
15,0,450.79999999702,1,0,0.9
15,0,613.90000000596,1,0,0.2
15,0,493.600000008941,1,1,0.2
15,0,470.70000000298,1,0,0.3
15,0,396.09999999404,1,0,0.9
15,0,424.79999999702,1,1,0.6
15,0,937.5,1,1,0.2
15,0,515.20000000298,1,0,0.9
15,0,453.5,1,1,0.6
15,0,496.79999999702,1,0,0.6
15,0,506.600000008941,1,1,0.3
15,0,463.90000000596,1,0,0.9
15,0,436.09999999404,1,1,0.9
15,0,524,1,1,0.2
15,0,457.79999999702,1,0,0.6
15,0,549.29999999702,1,1,0.3
15,0,510.79999999702,1,0,0.6
15,0,456,1,1,0.9
15,0,591.29999999702,1,1,0.3
15,0,719.40000000596,1,0,0.2
15,0,643.90000000596,1,1,0.2
15,0,526.09999999404,1,1,0.9
15,0,597.40000000596,1,0,0.2
15,0,492.29999999702,1,1,0.6
15,0,499.600000008941,1,1,0.3
15,0,446,1,0,0.3
15,0,572.5,1,0,0.6
15,0,811.40000000596,1,1,0.2
15,0,512.600000023842,1,0,0.3
15,0,446.90000000596,1,1,0.6
15,0,519.699999988079,1,0,0.9
15,0,473.5,1,0,0.9
15,0,428.699999988079,1,0,0.9
15,0,648.600000023842,1,1,0.2
15,0,558.90000000596,1,0,0.6
15,0,505.299999982119,1,0,0.3
15,0,505.40000000596,1,1,0.3
15,0,501.199999988079,1,0,0.2
15,0,2227.40000000596,1,0,0.3
15,0,921.200000017881,1,1,0.9
15,0,503.59999999404,1,1,0.3
15,0,483.5,1,1,0.9
15,0,637.700000017881,1,0,0.3
15,0,648.199999988079,1,1,0.2
15,0,473.600000023842,1,0,0.9
15,0,700.199999988079,1,0,0.2
15,0,890.5,1,0,0.3
15,0,454.799999982119,1,1,0.9
15,0,574.699999988079,1,0,0.3
15,0,516.5,1,1,0.6
15,0,507.90000000596,1,0,0.3
15,0,590.299999982119,1,1,0.3
15,0,438.40000000596,1,1,0.6
15,0,514.100000023842,1,1,0.9
15,0,500,1,1,0.9
15,0,721,1,1,0.2
15,0,553.09999999404,1,0,0.6
15,0,538.300000011921,1,0,0.6
15,0,782.200000017881,1,1,0.3
15,0,443.700000017881,1,0,0.9
15,0,597.59999999404,1,0,0.2
15,0,413.800000011921,1,1,0.6
15,0,462.399999976158,1,0,0.6
15,0,475.5,1,1,0.3
15,0,661.800000011921,0,1,0.2
15,0,460.59999999404,1,1,0.6
15,0,529.5,1,0,0.2
15,0,530,1,0,0.6
15,0,467.800000011921,1,0,0.6
15,0,442.699999988079,1,1,0.9
15,0,440.699999988079,1,0,0.9
15,0,503,1,0,0.2
15,0,494.199999988079,1,1,0.3
15,0,461.90000000596,1,1,0.2
15,0,490.299999982119,1,1,0.3
15,0,434.700000017881,1,1,0.9
15,0,468.59999999404,1,0,0.9
15,0,440.800000011921,1,0,0.9
15,0,439.300000011921,1,1,0.6
15,0,552.700000017881,1,1,0.2
15,0,478.200000017881,1,0,0.2
