ID,Practice,RT,ACC,Congruency,Coherence
8,0,567,1,0,0.9
8,0,758,1,1,0.6
8,0,470,1,1,0.3
8,0,434,1,1,0.2
8,0,521,1,0,0.3
8,0,439,1,0,0.9
8,0,424,1,0,0.2
8,0,594,1,0,0.9
8,0,468,0,1,0.2
8,0,535,1,1,0.6
8,0,462,1,1,0.3
8,0,761,1,0,0.6
8,0,1011,1,1,0.2
8,0,598,1,0,0.6
8,0,602,1,0,0.3
8,0,567,1,1,0.6
8,0,647,1,0,0.3
8,0,571,1,0,0.2
8,0,649,1,0,0.9
8,0,560,0,0,0.3
8,0,827,1,1,0.3
8,0,435,1,1,0.6
8,0,479,1,1,0.6
8,0,423,1,1,0.9
8,0,954,0,1,0.3
8,0,754,1,0,0.6
8,0,644,1,1,0.3
8,0,963,1,1,0.2
8,0,701,1,1,0.6
8,0,813,1,1,0.2
8,0,601,1,0,0.6
8,0,2226,1,0,0.2
8,0,634,1,1,0.9
8,0,359,1,0,0.6
8,0,441,1,1,0.3
8,0,907,1,0,0.2
8,0,415,1,1,0.6
8,0,476,1,0,0.9
8,0,568,1,1,0.3
8,0,436,1,0,0.3
8,0,484,1,1,0.9
8,0,442,1,0,0.2
8,0,399,1,0,0.9
8,0,395,1,1,0.9
8,0,489,1,1,0.2
8,0,885,1,1,0.2
8,0,407,1,0,0.2
8,0,444,1,1,0.9
8,0,591,1,1,0.6
8,0,371,1,0,0.6
8,0,441,1,0,0.2
8,0,349,1,1,0.9
8,0,364,0,1,0.3
8,0,698,0,0,0.3
8,0,442,1,1,0.9
8,0,751,1,1,0.9
8,0,426,1,0,0.6
8,0,1084,1,0,0.2
8,0,407,1,0,0.9
8,0,345,1,0,0.9
8,0,781,0,1,0.2
8,0,512,1,0,0.3
8,0,449,1,0,0.3
8,0,462,1,0,0.6
8,0,494,1,1,0.6
8,0,1256,1,0,0.3
8,0,419,1,1,0.9
8,0,603,1,1,0.2
8,0,408,1,0,0.9
8,0,619,1,1,0.6
8,0,411,0,0,0.6
8,0,3291,1,0,0.2
8,0,525,1,1,0.9
8,0,739,1,1,0.3
8,0,558,1,1,0.3
8,0,947,1,1,0.3
8,0,1834,0,0,0.3
8,0,635,1,0,0.6
8,0,1493,1,0,0.2
8,0,669,1,0,0.6
8,0,570,1,1,0.9
8,0,866,1,0,0.3
8,0,577,1,0,0.9
8,0,603,1,0,0.6
8,0,850,1,0,0.6
8,0,468,1,1,0.9
8,0,1382,1,0,0.2
8,0,506,1,0,0.6
8,0,484,1,1,0.6
8,0,919,1,1,0.2
8,0,687,1,0,0.2
8,0,520,1,1,0.3
8,0,1052,1,1,0.2
8,0,561,1,1,0.2
8,0,545,1,1,0.6
8,0,505,1,1,0.6
8,0,1091,1,0,0.3
8,0,439,1,1,0.3
8,0,361,1,0,0.9
8,0,344,1,1,0.6
8,0,387,1,1,0.2
8,0,373,1,0,0.3
8,0,356,0,0,0.2
8,0,382,0,1,0.2
8,0,287,0,1,0.2
8,0,724,1,0,0.9
8,0,429,1,1,0.3
8,0,405,1,1,0.6
8,0,453,1,0,0.3
8,0,647,1,1,0.9
8,0,451,1,0,0.9
8,0,420,1,1,0.3
8,0,487,1,0,0.3
8,0,683,1,0,0.9
8,0,411,1,0,0.6
8,0,523,1,1,0.9
8,0,472,0,0,0.3
8,0,566,1,1,0.3
8,0,463,1,1,0.6
8,0,431,1,0,0.6
8,0,438,1,0,0.9
8,0,423,1,1,0.9
8,0,1088,1,0,0.2
8,0,393,1,0,0.9
8,0,557,1,1,0.9
8,0,524,1,1,0.2
8,0,925,1,0,0.2
8,0,2636,1,0,0.2
8,0,427,1,1,0.3
8,0,884,1,0,0.3
8,0,382,1,1,0.6
8,0,494,1,0,0.6
8,0,471,1,1,0.2
8,0,737,0,1,0.2
8,0,560,1,1,0.3
8,0,744,1,0,0.3
8,0,427,1,0,0.9
8,0,542,1,0,0.6
8,0,387,1,1,0.6
8,0,415,1,1,0.6
8,0,469,1,0,0.6
8,0,464,0,0,0.2
8,0,652,1,1,0.2
8,0,430,1,0,0.9
8,0,371,1,1,0.2
8,0,500,1,0,0.3
8,0,395,1,1,0.9
8,0,439,1,1,0.6
8,0,405,0,0,0.3
8,0,534,1,1,0.2
8,0,1258,1,0,0.2
8,0,427,1,0,0.9
8,0,430,1,1,0.3
8,0,411,1,1,0.9
