SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ab93	Global	1	0	0	1	1	1	845	1	
ab93	Global	2	0	0	0	0	0	646	1	
ab93	Global	3	0	0	0	1	0	640	1	
ab93	Global	4	0	0	0	1	1	546	1	
ab93	Global	5	0	1	1	0	0	697	1	
ab93	Global	6	0	0	1	0	0	698	1	
ab93	Global	7	0	0	0	0	1	530	1	
ab93	Global	8	0	0	0	0	0	576	1	
ab93	Global	9	0	0	1	0	0	626	1	
ab93	Global	10	0	0	0	1	0	618	1	
ab93	Global	11	0	1	1	0	0	473	1	
ab93	Global	12	0	0	1	1	1	631	1	
ab93	Global	13	0	1	0	0	1	712	1	
ab93	Global	14	0	0	0	0	1	466	1	
ab93	Global	15	0	0	1	0	1	649	1	
ab93	Global	16	0	0	0	1	0	499	1	
ab93	Global	17	0	0	1	1	0	589	1	
ab93	Global	18	0	0	1	0	1	481	1	
ab93	Global	19	0	1	0	1	1	513	1	
ab93	Global	20	0	0	0	0	1	524	1	
ab93	Global	21	0	0	0	0	0	553	1	
ab93	Global	22	0	1	1	1	0	642	1	
ab93	Global	23	0	1	0	1	0	548	1	
ab93	Global	24	0	0	1	1	1	714	1	
ab93	Global	25	0	0	0	0	1	389	1	
ab93	Global	26	0	0	1	1	0	458	1	
ab93	Global	27	0	1	1	1	0	486	1	
ab93	Global	28	0	0	1	0	0	487	1	
ab93	Global	29	0	0	1	0	0	447	1	
ab93	Global	30	0	0	0	1	0	386	1	
ab93	Global	31	0	0	1	1	0	527	1	
ab93	Global	32	0	1	0	1	1	428	1	
ab93	Local	1	0	1	0	1	1	657	1	
ab93	Local	2	0	1	1	0	1	541	1	
ab93	Local	3	0	0	0	1	1	564	1	
ab93	Local	4	0	1	1	0	1	500	1	
ab93	Local	5	0	0	0	0	0	470	1	
ab93	Local	6	0	1	0	0	0	597	1	
ab93	Local	7	0	1	0	1	1	578	1	
ab93	Local	8	0	1	0	1	0	500	1	
ab93	Local	9	0	0	0	1	1	486	1	
ab93	Local	10	0	0	1	1	1	758	1	
ab93	Local	11	0	0	0	1	0	477	1	
ab93	Local	12	0	0	1	0	1	596	1	
ab93	Local	13	0	1	0	1	0	609	1	
ab93	Local	14	0	0	1	1	0	624	1	
ab93	Local	15	0	1	0	1	0	472	1	
ab93	Local	16	0	1	1	1	1	511	1	
ab93	Local	17	0	1	1	1	1	514	1	
ab93	Local	18	0	0	0	0	1	654	1	
ab93	Local	19	0	0	1	0	1	466	1	
ab93	Local	20	0	1	0	0	0	512	1	
ab93	Local	21	0	1	0	0	0	396	1	
ab93	Local	22	0	1	1	1	1	426	1	
ab93	Local	23	0	0	1	0	1	652	1	
ab93	Local	24	0	0	1	0	1	543	1	
ab93	Local	25	0	0	0	0	0	566	1	
ab93	Local	26	0	1	1	0	0	768	1	
ab93	Local	27	0	1	1	1	0	657	1	
ab93	Local	28	0	1	1	1	0	509	1	
ab93	Local	29	0	0	1	0	0	504	1	
ab93	Local	30	0	1	0	0	0	410	1	
ab93	Local	31	0	0	1	1	1	874	1	
ab93	Local	32	0	0	0	0	0	518	1	
ab93	Global	1	1	0	1	1	0	1051	1	
ab93	Global	2	1	1	1	0	1	827	1	
ab93	Global	3	1	1	1	1	0	150	0	
ab93	Global	4	1	1	0	1	1	572	1	
ab93	Global	5	1	0	1	1	0	742	1	
ab93	Global	6	1	1	0	1	1	675	1	
ab93	Global	7	1	1	1	0	1	913	1	
ab93	Global	8	1	1	0	1	1	418	1	
ab93	Global	9	1	0	0	0	1	506	1	
ab93	Global	10	1	0	0	0	1	356	1	
ab93	Global	11	1	0	0	0	1	429	1	
ab93	Global	12	1	0	0	0	1	359	1	
ab93	Global	13	1	0	0	1	1	400	1	
ab93	Global	14	1	1	1	0	0	791	1	
ab93	Global	15	1	1	1	0	1	473	1	
ab93	Global	16	1	1	0	1	0	552	1	
ab93	Global	17	1	0	1	1	0	688	1	
ab93	Global	18	1	0	1	0	1	463	1	
ab93	Global	19	1	1	0	0	1	748	1	
ab93	Global	20	1	1	1	1	0	570	1	
ab93	Global	21	1	0	1	0	1	692	1	
ab93	Global	22	1	0	0	1	0	507	1	
ab93	Global	23	1	0	1	0	0	725	1	
ab93	Global	24	1	1	1	1	1	569	1	
ab93	Global	25	1	1	0	0	1	403	1	
ab93	Global	26	1	1	1	1	0	529	1	
ab93	Global	27	1	1	0	0	1	366	1	
ab93	Global	28	1	0	1	0	1	489	1	
ab93	Global	29	1	0	0	1	1	337	1	
ab93	Global	30	1	0	1	1	0	150	0	
ab93	Global	31	1	1	0	1	1	393	1	
ab93	Global	32	1	0	0	0	1	504	1	
ab93	Local	1	1	0	0	1	1	639	1	
ab93	Local	2	1	0	1	0	0	633	1	
ab93	Local	3	1	0	0	1	0	610	1	
ab93	Local	4	1	0	1	0	1	376	1	
ab93	Local	5	1	0	1	1	0	556	1	
ab93	Local	6	1	0	1	1	1	444	1	
ab93	Local	7	1	0	0	0	0	391	1	
ab93	Local	8	1	0	0	0	0	420	1	
ab93	Local	9	1	0	0	0	1	356	1	
ab93	Local	10	1	1	1	1	1	485	1	
ab93	Local	11	1	0	0	0	0	581	1	
ab93	Local	12	1	0	0	1	1	633	1	
ab93	Local	13	1	1	1	0	1	530	1	
ab93	Local	14	1	1	0	1	1	455	1	
ab93	Local	15	1	1	1	1	1	436	1	
ab93	Local	16	1	1	1	1	1	511	1	
ab93	Local	17	1	0	0	0	0	538	1	
ab93	Local	18	1	1	0	0	0	473	1	
ab93	Local	19	1	0	1	1	0	591	1	
ab93	Local	20	1	0	1	0	0	387	1	
ab93	Local	21	1	0	1	0	1	416	1	
ab93	Local	22	1	0	0	1	0	544	1	
ab93	Local	23	1	1	0	1	0	495	1	
ab93	Local	24	1	1	1	1	0	624	1	
ab93	Local	25	1	1	0	1	1	593	1	
ab93	Local	26	1	0	0	0	1	644	1	
ab93	Local	27	1	1	1	0	1	447	1	
ab93	Local	28	1	1	1	0	1	490	1	
ab93	Local	29	1	1	0	0	0	362	1	
ab93	Local	30	1	0	1	1	1	643	1	
ab93	Local	31	1	1	1	0	0	606	1	
ab93	Local	32	1	1	0	1	0	515	1	
