SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ac190	Global	1	0	0	1	0	1	508	1	
ac190	Global	2	0	1	1	0	0	599	1	
ac190	Global	3	0	0	1	1	1	501	1	
ac190	Global	4	0	0	1	0	0	511	1	
ac190	Global	5	0	0	0	0	1	394	1	
ac190	Global	6	0	1	0	0	0	384	1	
ac190	Global	7	0	1	0	1	0	485	1	
ac190	Global	8	0	0	0	1	1	461	1	
ac190	Global	9	0	0	0	0	1	482	1	
ac190	Global	10	0	1	1	0	0	442	1	
ac190	Global	11	0	1	1	0	1	685	1	
ac190	Global	12	0	1	1	0	0	533	1	
ac190	Global	13	0	1	0	1	1	498	1	
ac190	Global	14	0	0	0	0	0	515	1	
ac190	Global	15	0	1	0	0	0	567	1	
ac190	Global	16	0	1	1	1	1	150	0	
ac190	Global	17	0	0	0	0	0	595	1	
ac190	Global	18	0	1	0	0	1	344	1	
ac190	Global	19	0	0	0	1	1	150	0	
ac190	Global	20	0	0	1	1	0	541	1	
ac190	Global	21	0	1	1	1	1	483	1	
ac190	Global	22	0	0	1	1	1	412	1	
ac190	Global	23	0	0	0	1	0	396	1	
ac190	Global	24	0	1	1	1	0	578	1	
ac190	Global	25	0	1	0	1	1	540	1	
ac190	Global	26	0	1	1	0	1	571	1	
ac190	Global	27	0	0	1	1	0	597	1	
ac190	Global	28	0	0	0	0	0	898	1	
ac190	Global	29	0	0	0	1	0	730	1	
ac190	Global	30	0	1	1	0	1	150	0	
ac190	Global	31	0	1	0	1	0	488	1	
ac190	Global	32	0	0	1	1	0	544	1	
ac190	Local	1	0	1	0	1	0	849	1	
ac190	Local	2	0	1	0	1	1	386	1	
ac190	Local	3	0	0	1	0	0	671	1	
ac190	Local	4	0	1	1	0	1	724	1	
ac190	Local	5	0	0	0	1	1	480	1	
ac190	Local	6	0	0	0	0	0	608	1	
ac190	Local	7	0	1	1	0	1	479	1	
ac190	Local	8	0	0	1	0	0	567	1	
ac190	Local	9	0	1	1	1	0	705	1	
ac190	Local	10	0	1	0	0	0	578	1	
ac190	Local	11	0	0	1	1	1	604	1	
ac190	Local	12	0	0	0	1	0	449	1	
ac190	Local	13	0	1	0	0	1	597	1	
ac190	Local	14	0	0	0	1	1	150	0	
ac190	Local	15	0	1	1	0	1	586	1	
ac190	Local	16	0	0	0	0	1	526	1	
ac190	Local	17	0	0	0	0	1	427	1	
ac190	Local	18	0	0	0	1	1	412	1	
ac190	Local	19	0	0	0	1	1	564	1	
ac190	Local	20	0	1	1	0	1	389	1	
ac190	Local	21	0	1	1	1	0	617	1	
ac190	Local	22	0	1	1	1	1	544	1	
ac190	Local	23	0	0	0	0	1	623	1	
ac190	Local	24	0	0	1	0	0	384	1	
ac190	Local	25	0	0	0	0	0	396	1	
ac190	Local	26	0	1	1	0	0	387	1	
ac190	Local	27	0	1	0	0	0	407	1	
ac190	Local	28	0	1	0	1	0	391	1	
ac190	Local	29	0	1	1	1	0	412	1	
ac190	Local	30	0	1	1	1	1	588	1	
ac190	Local	31	0	0	1	1	0	568	1	
ac190	Local	32	0	1	1	1	0	522	1	
ac190	Global	1	1	0	0	0	0	528	1	
ac190	Global	2	1	0	0	0	1	381	1	
ac190	Global	3	1	0	1	0	1	150	0	
ac190	Global	4	1	0	1	1	0	399	1	
ac190	Global	5	1	0	1	0	0	150	0	
ac190	Global	6	1	1	1	1	1	150	0	
ac190	Global	7	1	0	0	0	1	150	0	
ac190	Global	8	1	0	0	0	0	488	1	
ac190	Global	9	1	0	1	0	1	150	0	
ac190	Global	10	1	1	0	1	1	150	0	
ac190	Global	11	1	1	1	1	0	577	1	
ac190	Global	12	1	1	0	1	1	395	1	
ac190	Global	13	1	1	1	0	1	913	1	
ac190	Global	14	1	1	1	1	0	418	1	
ac190	Global	15	1	0	1	0	1	1106	1	
ac190	Global	16	1	0	0	1	0	457	1	
ac190	Global	17	1	1	1	0	1	886	1	
ac190	Global	18	1	1	0	0	1	532	1	
ac190	Global	19	1	0	0	1	0	433	1	
ac190	Global	20	1	0	1	1	1	690	1	
ac190	Global	21	1	1	0	1	1	150	0	
ac190	Global	22	1	0	1	0	0	491	1	
ac190	Global	23	1	1	0	0	0	150	0	
ac190	Global	24	1	0	1	1	0	690	1	
ac190	Global	25	1	1	0	1	1	721	1	
ac190	Global	26	1	0	1	0	1	915	1	
