SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ad106	Global	1	1	1	0	0	0	1351	1	
ad106	Global	2	1	1	1	1	1	1026	1	
ad106	Global	3	1	0	0	1	1	728	1	
ad106	Global	4	1	1	1	0	1	628	1	
ad106	Global	5	1	1	0	0	1	436	1	
ad106	Global	6	1	0	1	0	1	584	1	
ad106	Global	7	1	1	0	0	1	451	1	
ad106	Global	8	1	0	1	0	0	784	1	
ad106	Global	9	1	1	1	1	0	699	1	
ad106	Global	10	1	0	1	0	1	667	1	
ad106	Global	11	1	0	0	0	0	769	1	
ad106	Global	12	1	0	1	0	0	890	1	
ad106	Global	13	1	1	0	1	0	608	1	
ad106	Global	14	1	0	1	1	0	150	0	
ad106	Global	15	1	1	0	0	1	1036	1	
ad106	Global	16	1	0	1	0	0	714	1	
ad106	Global	17	1	1	0	1	1	796	1	
ad106	Global	18	1	0	0	0	1	689	1	
ad106	Global	19	1	0	1	1	1	944	1	
ad106	Global	20	1	1	0	1	0	740	1	
ad106	Global	21	1	1	1	1	0	786	1	
ad106	Global	22	1	0	0	0	1	532	1	
ad106	Global	23	1	0	0	0	1	433	1	
ad106	Global	24	1	0	1	0	1	491	1	
ad106	Global	25	1	0	0	1	0	835	1	
ad106	Global	26	1	1	0	1	1	659	1	
ad106	Global	27	1	1	1	1	1	598	1	
ad106	Global	28	1	1	1	1	1	628	1	
ad106	Global	29	1	0	1	1	0	796	1	
ad106	Global	30	1	1	0	1	1	512	1	
ad106	Global	31	1	0	1	0	0	748	1	
ad106	Global	32	1	0	0	1	1	506	1	
ad106	Local	1	1	0	0	0	1	1131	1	
ad106	Local	2	1	1	0	0	1	748	1	
ad106	Local	3	1	0	1	0	1	482	1	
ad106	Local	4	1	0	0	1	1	338	1	
ad106	Local	5	1	0	0	1	0	426	1	
ad106	Local	6	1	0	0	0	1	444	1	
ad106	Local	7	1	1	1	0	1	607	1	
ad106	Local	8	1	1	1	0	0	740	1	
ad106	Local	9	1	0	0	0	1	618	1	
ad106	Local	10	1	1	1	1	1	529	1	
ad106	Local	11	1	1	0	1	1	446	1	
ad106	Local	12	1	0	1	1	0	729	1	
ad106	Local	13	1	0	1	1	1	357	1	
ad106	Local	14	1	1	1	0	1	550	1	
ad106	Local	15	1	0	1	0	0	543	1	
ad106	Local	16	1	1	0	1	0	509	1	
ad106	Local	17	1	1	1	1	1	489	1	
ad106	Local	18	1	1	0	0	1	681	1	
ad106	Local	19	1	1	0	0	1	464	1	
ad106	Local	20	1	0	0	1	0	695	1	
ad106	Local	21	1	0	1	0	0	855	1	
ad106	Local	22	1	1	0	1	0	562	1	
ad106	Local	23	1	1	1	1	1	458	1	
ad106	Local	24	1	0	1	1	1	535	1	
ad106	Local	25	1	1	0	1	1	580	1	
ad106	Local	26	1	0	1	0	0	704	1	
ad106	Local	27	1	1	0	1	0	753	1	
ad106	Local	28	1	1	1	1	1	432	1	
ad106	Local	29	1	0	1	0	0	690	1	
ad106	Local	30	1	1	1	1	1	353	1	
ad106	Local	31	1	1	0	0	0	482	1	
ad106	Local	32	1	0	0	0	1	386	1	
ad106	Global	1	0	0	0	0	0	1782	1	
ad106	Global	2	0	0	1	0	1	642	1	
ad106	Global	3	0	0	0	1	1	524	1	
ad106	Global	4	0	1	0	1	0	489	1	
ad106	Global	5	0	0	0	1	1	417	1	
ad106	Global	6	0	0	1	0	0	737	1	
ad106	Global	7	0	0	0	0	0	150	0	
ad106	Global	8	0	1	0	1	0	491	1	
ad106	Global	9	0	1	1	1	1	150	0	
ad106	Global	10	0	1	1	0	0	150	0	
ad106	Global	11	0	1	1	0	1	490	1	
ad106	Global	12	0	0	0	1	0	490	1	
ad106	Global	13	0	1	1	1	0	150	0	
ad106	Global	14	0	0	1	0	1	747	1	
ad106	Global	15	0	1	1	1	0	1072	1	
ad106	Global	16	0	0	0	0	0	644	1	
ad106	Global	17	0	0	1	0	0	678	1	
ad106	Global	18	0	0	0	1	1	555	1	
ad106	Global	19	0	0	0	0	1	572	1	
ad106	Global	20	0	0	1	1	1	574	1	
ad106	Global	21	0	1	0	0	0	560	1	
ad106	Global	22	0	1	1	1	0	624	1	
ad106	Global	23	0	1	0	1	0	457	1	
ad106	Global	24	0	0	1	0	1	453	1	
ad106	Global	25	0	1	0	0	0	482	1	
ad106	Global	26	0	1	1	0	1	571	1	
ad106	Global	27	0	1	0	1	1	565	1	
ad106	Global	28	0	1	1	1	0	655	1	
ad106	Global	29	0	0	1	1	0	150	0	
ad106	Global	30	0	1	0	0	0	492	1	
ad106	Global	31	0	0	1	1	0	836	1	
ad106	Global	32	0	1	0	0	1	931	1	
ad106	Local	1	0	0	0	1	0	839	1	
ad106	Local	2	0	0	1	1	0	150	0	
ad106	Local	3	0	0	0	0	1	688	1	
ad106	Local	4	0	1	0	0	1	447	1	
ad106	Local	5	0	0	1	0	1	634	1	
ad106	Local	6	0	0	1	0	1	498	1	
ad106	Local	7	0	1	1	1	0	772	1	
ad106	Local	8	0	1	1	1	0	613	1	
ad106	Local	9	0	1	1	0	1	732	1	
ad106	Local	10	0	0	0	0	1	552	1	
ad106	Local	11	0	0	1	1	1	592	1	
ad106	Local	12	0	1	1	0	0	604	1	
ad106	Local	13	0	0	0	0	1	465	1	
ad106	Local	14	0	0	1	1	0	584	1	
ad106	Local	15	0	1	0	0	0	867	1	
ad106	Local	16	0	0	0	1	0	664	1	
ad106	Local	17	0	1	0	1	0	604	1	
ad106	Local	18	0	0	0	1	0	513	1	
ad106	Local	19	0	0	0	1	0	548	1	
ad106	Local	20	0	0	0	0	1	507	1	
ad106	Local	21	0	0	1	0	0	702	1	
ad106	Local	22	0	1	1	0	0	759	1	
ad106	Local	23	0	1	0	1	1	702	1	
ad106	Local	24	0	1	1	0	0	150	0	
ad106	Local	25	0	1	0	0	0	150	0	
ad106	Local	26	0	1	1	1	1	819	1	
ad106	Local	27	0	0	1	1	1	705	1	
ad106	Local	28	0	0	1	1	0	674	1	
ad106	Local	29	0	0	0	0	1	919	1	
ad106	Local	30	0	0	0	1	1	762	1	
ad106	Local	31	0	0	0	1	0	833	1	
ad106	Local	32	0	1	1	0	1	150	0	
