SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ah57	Global	1	1	1	0	1	1	762	1	
ah57	Global	2	1	0	1	0	0	150	0	
ah57	Global	3	1	1	1	0	0	713	1	
ah57	Global	4	1	0	0	1	0	388	1	
ah57	Global	5	1	1	0	0	1	496	1	
ah57	Global	6	1	0	0	0	0	410	1	
ah57	Global	7	1	1	1	1	1	570	1	
ah57	Global	8	1	1	1	1	1	150	0	
ah57	Global	9	1	0	0	0	1	473	1	
ah57	Global	10	1	0	1	0	1	527	1	
ah57	Global	11	1	1	1	1	0	150	0	
ah57	Global	12	1	0	1	1	1	916	1	
ah57	Global	13	1	1	1	0	1	518	1	
ah57	Global	14	1	0	0	1	0	465	1	
ah57	Global	15	1	0	0	0	1	480	1	
ah57	Global	16	1	0	0	0	1	440	1	
ah57	Global	17	1	0	1	1	1	427	1	
ah57	Global	18	1	0	1	1	0	517	1	
ah57	Global	19	1	0	1	1	1	736	1	
ah57	Global	20	1	0	0	1	0	500	1	
ah57	Global	21	1	1	0	0	1	542	1	
ah57	Global	22	1	0	0	1	0	549	1	
ah57	Global	23	1	1	1	1	1	419	1	
ah57	Global	24	1	1	1	0	1	443	1	
ah57	Global	25	1	0	1	0	0	526	1	
ah57	Global	26	1	1	0	1	0	572	1	
ah57	Global	27	1	1	1	0	1	478	1	
ah57	Global	28	1	1	0	1	1	524	1	
ah57	Global	29	1	1	0	1	1	401	1	
ah57	Global	30	1	0	0	0	1	423	1	
ah57	Global	31	1	1	0	0	1	369	1	
ah57	Global	32	1	0	1	0	1	484	1	
ah57	Local	1	1	0	0	0	1	550	1	
ah57	Local	2	1	1	0	0	1	381	1	
ah57	Local	3	1	0	0	1	0	457	1	
ah57	Local	4	1	0	1	0	0	566	1	
ah57	Local	5	1	1	1	0	0	384	1	
ah57	Local	6	1	0	0	1	0	477	1	
ah57	Local	7	1	1	1	1	1	1027	1	
ah57	Local	8	1	1	0	1	1	426	1	
ah57	Local	9	1	0	0	0	1	531	1	
ah57	Local	10	1	1	0	1	0	568	1	
ah57	Local	11	1	0	0	0	0	890	1	
ah57	Local	12	1	0	1	1	0	552	1	
ah57	Local	13	1	0	0	0	0	497	1	
ah57	Local	14	1	0	0	0	1	451	1	
ah57	Local	15	1	1	0	1	0	1080	1	
ah57	Local	16	1	0	1	1	1	635	1	
ah57	Local	17	1	1	1	1	0	611	1	
ah57	Local	18	1	1	0	0	0	426	1	
ah57	Local	19	1	1	1	0	1	436	1	
ah57	Local	20	1	1	1	1	1	527	1	
ah57	Local	21	1	0	0	0	0	404	1	
ah57	Local	22	1	1	1	0	0	547	1	
ah57	Local	23	1	0	1	1	1	433	1	
ah57	Local	24	1	0	0	1	0	411	1	
ah57	Local	25	1	0	1	1	1	451	1	
ah57	Local	26	1	1	1	0	0	392	1	
ah57	Local	27	1	1	0	1	0	444	1	
ah57	Local	28	1	1	1	0	0	408	1	
ah57	Local	29	1	0	1	0	1	400	1	
ah57	Local	30	1	1	1	0	0	406	1	
