SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ak158	Global	1	1	0	0	0	0	352	1	
ak158	Global	2	1	1	0	1	0	305	1	
ak158	Global	3	1	0	1	0	1	150	0	
ak158	Global	4	1	1	0	0	1	150	0	
ak158	Global	5	1	1	1	1	1	743	1	
ak158	Global	6	1	1	1	0	1	548	1	
ak158	Global	7	1	1	0	1	1	291	1	
ak158	Global	8	1	0	1	0	0	508	1	
ak158	Global	9	1	0	0	1	1	368	1	
ak158	Global	10	1	1	1	1	0	150	0	
ak158	Global	11	1	0	0	0	0	319	1	
ak158	Global	12	1	1	1	1	1	150	0	
ak158	Global	13	1	0	0	0	1	304	1	
ak158	Global	14	1	0	1	0	0	419	1	
ak158	Global	15	1	1	0	1	1	251	1	
ak158	Global	16	1	0	0	0	1	249	1	
ak158	Global	17	1	1	1	1	0	287	1	
ak158	Global	18	1	0	1	0	1	150	0	
ak158	Global	19	1	0	1	1	1	359	1	
ak158	Global	20	1	0	1	1	1	264	1	
ak158	Global	21	1	1	1	0	1	504	1	
ak158	Global	22	1	0	0	0	0	449	1	
ak158	Global	23	1	0	0	1	1	261	1	
ak158	Global	24	1	1	1	0	1	150	0	
ak158	Global	25	1	1	1	0	0	150	0	
ak158	Global	26	1	1	0	0	1	355	1	
ak158	Global	27	1	0	0	1	1	469	1	
ak158	Global	28	1	0	0	0	1	395	1	
ak158	Global	29	1	0	0	1	0	242	1	
ak158	Global	30	1	1	0	1	0	438	1	
ak158	Global	31	1	1	1	1	1	465	1	
ak158	Global	32	1	1	1	1	0	150	0	
ak158	Local	1	1	1	1	0	0	753	1	
ak158	Local	2	1	0	0	0	1	296	1	
ak158	Local	3	1	1	0	1	0	411	1	
ak158	Local	4	1	0	0	1	1	299	1	
ak158	Local	5	1	0	1	1	0	302	1	
ak158	Local	6	1	1	1	1	0	385	1	
ak158	Local	7	1	0	1	1	0	333	1	
ak158	Local	8	1	1	0	1	1	315	1	
ak158	Local	9	1	0	1	0	1	304	1	
ak158	Local	10	1	0	1	0	1	411	1	
ak158	Local	11	1	0	0	1	1	363	1	
ak158	Local	12	1	1	1	1	0	356	1	
ak158	Local	13	1	0	1	0	1	278	1	
ak158	Local	14	1	0	0	0	0	327	1	
ak158	Local	15	1	0	1	0	1	253	1	
ak158	Local	16	1	1	1	0	0	355	1	
ak158	Local	17	1	0	1	1	0	308	1	
ak158	Local	18	1	1	1	1	1	150	0	
ak158	Local	19	1	1	0	0	0	346	1	
ak158	Local	20	1	0	0	1	0	314	1	
ak158	Local	21	1	0	1	1	0	335	1	
ak158	Local	22	1	0	0	0	0	317	1	
ak158	Local	23	1	0	0	0	1	337	1	
ak158	Local	24	1	0	1	0	0	345	1	
ak158	Local	25	1	1	0	1	1	305	1	
ak158	Local	26	1	1	1	1	1	364	1	
ak158	Local	27	1	0	0	1	1	303	1	
ak158	Local	28	1	1	0	0	1	250	1	
ak158	Local	29	1	0	0	0	1	368	1	
ak158	Local	30	1	0	1	0	1	299	1	
ak158	Local	31	1	0	0	0	1	262	1	
ak158	Local	32	1	1	0	1	1	150	0	
ak158	Global	1	0	1	1	1	1	528	1	
ak158	Global	2	0	0	1	0	0	325	1	
ak158	Global	3	0	0	1	1	1	507	1	
ak158	Global	4	0	1	0	0	0	310	1	
ak158	Global	5	0	1	0	1	1	307	1	
ak158	Global	6	0	1	0	1	0	367	1	
ak158	Global	7	0	0	1	1	1	331	1	
ak158	Global	8	0	1	1	1	0	337	1	
ak158	Global	9	0	0	1	0	0	344	1	
ak158	Global	10	0	0	1	0	0	328	1	
ak158	Global	11	0	0	0	1	1	286	1	
ak158	Global	12	0	0	1	0	0	352	1	
ak158	Global	13	0	0	1	1	0	329	1	
ak158	Global	14	0	0	0	1	0	335	1	
ak158	Global	15	0	1	0	1	1	150	0	
ak158	Global	16	0	0	1	0	1	150	0	
ak158	Global	17	0	0	0	0	0	559	1	
ak158	Global	18	0	1	1	0	0	375	1	
ak158	Global	19	0	1	1	0	1	330	1	
ak158	Global	20	0	0	1	1	0	480	1	
ak158	Global	21	0	1	0	1	0	321	1	
ak158	Global	22	0	1	1	1	0	463	1	
ak158	Global	23	0	0	0	1	0	150	0	
ak158	Global	24	0	1	0	0	0	354	1	
ak158	Global	25	0	0	0	1	1	259	1	
ak158	Global	26	0	1	0	0	0	329	1	
ak158	Global	27	0	1	1	0	0	327	1	
ak158	Global	28	0	0	0	0	0	349	1	
ak158	Global	29	0	1	1	1	0	351	1	
ak158	Global	30	0	0	0	0	0	352	1	
ak158	Global	31	0	0	0	0	1	370	1	
ak158	Global	32	0	0	0	0	1	405	1	
ak158	Local	1	0	1	1	0	1	630	1	
ak158	Local	2	0	1	1	0	1	383	1	
ak158	Local	3	0	0	0	0	0	323	1	
ak158	Local	4	0	1	0	0	0	393	1	
ak158	Local	5	0	1	1	0	1	368	1	
ak158	Local	6	0	0	0	1	0	459	1	
