SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
an198	Global	1	1	0	1	1	0	942	1	
an198	Global	2	1	0	1	1	1	642	1	
an198	Global	3	1	0	0	0	0	428	1	
an198	Global	4	1	1	1	0	1	974	1	
an198	Global	5	1	1	1	1	0	550	1	
an198	Global	6	1	1	0	0	1	588	1	
an198	Global	7	1	0	1	0	0	536	1	
an198	Global	8	1	1	0	1	0	511	1	
an198	Global	9	1	0	1	0	1	546	1	
an198	Global	10	1	0	1	1	0	521	1	
an198	Global	11	1	1	0	0	1	476	1	
an198	Global	12	1	1	0	1	0	451	1	
an198	Global	13	1	1	0	0	1	440	1	
an198	Global	14	1	0	1	1	1	515	1	
an198	Global	15	1	1	0	0	1	510	1	
an198	Global	16	1	0	1	0	1	150	0	
an198	Global	17	1	0	0	0	0	463	1	
an198	Global	18	1	1	0	1	1	500	1	
an198	Global	19	1	0	0	0	0	453	1	
an198	Global	20	1	0	1	1	0	506	1	
an198	Global	21	1	1	1	0	1	596	1	
an198	Global	22	1	0	0	0	0	401	1	
an198	Global	23	1	1	0	1	1	536	1	
an198	Global	24	1	1	1	1	1	1062	1	
an198	Global	25	1	0	0	1	0	504	1	
an198	Global	26	1	1	0	1	0	554	1	
an198	Global	27	1	1	1	0	0	522	1	
an198	Global	28	1	0	1	0	1	575	1	
an198	Global	29	1	1	0	1	0	441	1	
an198	Global	30	1	1	0	1	0	437	1	
an198	Global	31	1	1	1	1	0	504	1	
an198	Global	32	1	1	1	0	1	482	1	
an198	Local	1	1	0	0	1	1	649	1	
an198	Local	2	1	1	0	0	0	483	1	
an198	Local	3	1	0	1	0	1	150	0	
an198	Local	4	1	1	1	1	1	587	1	
an198	Local	5	1	1	0	0	0	542	1	
an198	Local	6	1	1	1	1	0	797	1	
an198	Local	7	1	1	1	0	0	681	1	
an198	Local	8	1	0	0	1	1	552	1	
an198	Local	9	1	1	1	0	0	753	1	
an198	Local	10	1	1	1	1	0	544	1	
an198	Local	11	1	0	0	1	0	471	1	
an198	Local	12	1	1	1	1	0	733	1	
an198	Local	13	1	0	0	1	0	425	1	
an198	Local	14	1	1	0	1	1	603	1	
an198	Local	15	1	0	0	0	1	472	1	
an198	Local	16	1	1	0	0	0	463	1	
an198	Local	17	1	1	0	0	1	403	1	
an198	Local	18	1	1	0	0	0	386	1	
an198	Local	19	1	1	0	0	1	455	1	
an198	Local	20	1	0	1	1	1	150	0	
an198	Local	21	1	1	1	0	0	719	1	
an198	Local	22	1	1	1	1	1	425	1	
an198	Local	23	1	1	0	0	0	555	1	
an198	Local	24	1	0	1	0	1	627	1	
an198	Local	25	1	1	1	1	0	556	1	
an198	Local	26	1	1	1	0	1	476	1	
an198	Local	27	1	0	0	1	0	363	1	
an198	Local	28	1	1	1	0	1	516	1	
an198	Local	29	1	1	1	1	1	480	1	
an198	Local	30	1	1	0	1	0	344	1	
an198	Local	31	1	0	0	1	1	520	1	
an198	Local	32	1	0	1	0	1	587	1	
an198	Global	1	0	0	1	0	1	923	1	
an198	Global	2	0	1	0	0	1	564	1	
an198	Global	3	0	0	0	0	0	525	1	
an198	Global	4	0	0	0	0	0	514	1	
an198	Global	5	0	1	0	1	0	477	1	
an198	Global	6	0	0	0	0	1	150	0	
an198	Global	7	0	0	0	0	1	594	1	
an198	Global	8	0	1	0	1	0	575	1	
an198	Global	9	0	1	1	1	0	529	1	
an198	Global	10	0	1	0	0	0	454	1	
an198	Global	11	0	0	0	1	1	523	1	
an198	Global	12	0	1	0	1	0	488	1	
an198	Global	13	0	0	1	0	1	601	1	
an198	Global	14	0	1	1	1	1	622	1	
an198	Global	15	0	0	1	1	1	445	1	
an198	Global	16	0	0	0	0	0	536	1	
an198	Global	17	0	1	0	0	0	463	1	
an198	Global	18	0	0	1	0	1	892	1	
an198	Global	19	0	0	1	1	0	434	1	
an198	Global	20	0	1	0	1	0	547	1	
an198	Global	21	0	1	1	0	1	530	1	
an198	Global	22	0	0	1	0	1	607	1	
an198	Global	23	0	0	1	1	1	524	1	
an198	Global	24	0	0	1	1	0	681	1	
an198	Global	25	0	0	0	1	0	512	1	
an198	Global	26	0	0	0	1	1	452	1	
an198	Global	27	0	1	1	1	1	537	1	
an198	Global	28	0	1	1	0	0	463	1	
an198	Global	29	0	0	1	1	0	556	1	
an198	Global	30	0	1	0	1	1	517	1	
an198	Global	31	0	1	1	0	0	408	1	
an198	Global	32	0	1	1	0	1	472	1	
an198	Local	1	0	0	1	0	0	656	1	
an198	Local	2	0	0	1	0	0	548	1	
an198	Local	3	0	1	1	1	0	651	1	
an198	Local	4	0	1	0	0	0	607	1	
an198	Local	5	0	1	1	1	0	612	1	
an198	Local	6	0	0	1	1	0	579	1	
an198	Local	7	0	0	1	1	0	591	1	
an198	Local	8	0	1	1	1	1	682	1	
an198	Local	9	0	0	1	0	1	681	1	
an198	Local	10	0	0	1	0	1	616	1	
an198	Local	11	0	1	1	1	0	543	1	
an198	Local	12	0	1	0	0	0	510	1	
an198	Local	13	0	1	0	1	1	657	1	
an198	Local	14	0	0	0	1	1	509	1	
an198	Local	15	0	0	0	1	0	489	1	
an198	Local	16	0	0	0	0	0	441	1	
an198	Local	17	0	0	0	1	0	436	1	
an198	Local	18	0	0	1	1	1	583	1	
an198	Local	19	0	1	0	0	1	491	1	
an198	Local	20	0	0	1	0	1	507	1	
an198	Local	21	0	0	0	0	0	455	1	
an198	Local	22	0	1	0	0	1	500	1	
an198	Local	23	0	0	0	1	0	429	1	
an198	Local	24	0	0	1	1	0	447	1	
an198	Local	25	0	1	0	1	1	490	1	
an198	Local	26	0	1	0	0	0	474	1	
an198	Local	27	0	1	0	1	1	537	1	
an198	Local	28	0	0	1	0	0	536	1	
an198	Local	29	0	0	1	0	1	453	1	
an198	Local	30	0	0	0	1	1	522	1	
an198	Local	31	0	0	1	0	1	647	1	
an198	Local	32	0	1	0	0	0	513	1	
