SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ap181	Global	1	0	1	1	0	0	637	1	
ap181	Global	2	0	0	0	0	0	511	1	
ap181	Global	3	0	0	0	1	1	474	1	
ap181	Global	4	0	1	0	1	1	465	1	
ap181	Global	5	0	1	0	1	1	399	1	
ap181	Global	6	0	0	1	0	0	398	1	
ap181	Global	7	0	0	0	0	1	500	1	
ap181	Global	8	0	0	0	0	1	486	1	
ap181	Global	9	0	0	1	0	0	438	1	
ap181	Global	10	0	1	1	1	0	433	1	
ap181	Global	11	0	1	1	0	0	443	1	
ap181	Global	12	0	1	1	1	0	422	1	
ap181	Global	13	0	1	1	1	0	408	1	
ap181	Global	14	0	1	0	1	1	448	1	
ap181	Global	15	0	1	1	1	0	395	1	
ap181	Global	16	0	0	0	1	0	150	0	
ap181	Global	17	0	1	1	0	1	540	1	
ap181	Global	18	0	1	0	1	1	643	1	
ap181	Global	19	0	0	0	1	0	429	1	
ap181	Global	20	0	0	0	0	0	431	1	
ap181	Global	21	0	0	1	1	0	569	1	
ap181	Global	22	0	1	0	0	1	547	1	
ap181	Global	23	0	1	1	0	0	441	1	
ap181	Global	24	0	1	1	1	0	444	1	
ap181	Global	25	0	0	1	0	1	640	1	
ap181	Global	26	0	1	0	0	0	618	1	
ap181	Global	27	0	1	1	1	1	513	1	
ap181	Global	28	0	0	0	0	1	620	1	
ap181	Global	29	0	0	1	1	0	403	1	
ap181	Global	30	0	1	0	1	0	377	1	
ap181	Global	31	0	1	1	0	0	413	1	
ap181	Global	32	0	1	0	0	1	461	1	
ap181	Local	1	0	1	1	0	1	612	1	
ap181	Local	2	0	0	0	1	1	618	1	
ap181	Local	3	0	0	1	0	0	529	1	
ap181	Local	4	0	0	0	1	0	558	1	
ap181	Local	5	0	1	0	0	1	503	1	
ap181	Local	6	0	1	1	0	0	649	1	
ap181	Local	7	0	0	1	1	0	491	1	
ap181	Local	8	0	1	0	1	1	515	1	
ap181	Local	9	0	1	0	1	0	486	1	
ap181	Local	10	0	1	0	0	0	430	1	
ap181	Local	11	0	0	1	1	0	608	1	
ap181	Local	12	0	0	1	0	1	543	1	
ap181	Local	13	0	0	1	0	0	622	1	
ap181	Local	14	0	0	0	0	1	469	1	
ap181	Local	15	0	1	0	0	0	411	1	
ap181	Local	16	0	0	0	1	0	427	1	
ap181	Local	17	0	0	1	0	1	453	1	
ap181	Local	18	0	0	1	1	1	482	1	
ap181	Local	19	0	0	1	1	0	554	1	
ap181	Local	20	0	1	1	1	1	530	1	
ap181	Local	21	0	0	1	1	1	567	1	
