SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ar177	Global	1	0	0	1	1	0	503	1	
ar177	Global	2	0	1	0	0	0	433	1	
ar177	Global	3	0	0	1	0	1	506	1	
ar177	Global	4	0	1	1	1	0	548	1	
ar177	Global	5	0	1	0	1	0	427	1	
ar177	Global	6	0	0	1	0	1	660	1	
ar177	Global	7	0	0	1	0	1	456	1	
ar177	Global	8	0	1	0	0	1	509	1	
ar177	Global	9	0	0	0	1	1	440	1	
ar177	Global	10	0	1	1	1	1	516	1	
ar177	Global	11	0	1	0	1	1	439	1	
ar177	Global	12	0	1	1	1	0	442	1	
ar177	Global	13	0	1	0	0	1	422	1	
ar177	Global	14	0	0	0	1	1	423	1	
ar177	Global	15	0	1	0	0	1	377	1	
ar177	Global	16	0	1	1	1	1	484	1	
ar177	Global	17	0	0	1	1	0	524	1	
ar177	Global	18	0	1	1	1	1	473	1	
ar177	Global	19	0	0	0	1	1	464	1	
ar177	Global	20	0	1	1	1	1	501	1	
ar177	Global	21	0	0	0	0	1	366	1	
ar177	Global	22	0	0	1	0	0	433	1	
ar177	Global	23	0	0	0	1	1	371	1	
ar177	Global	24	0	0	0	0	0	430	1	
ar177	Global	25	0	0	0	1	0	496	1	
ar177	Global	26	0	0	0	1	1	434	1	
ar177	Global	27	0	0	1	0	1	411	1	
ar177	Global	28	0	1	1	0	0	387	1	
ar177	Global	29	0	0	0	0	0	440	1	
ar177	Global	30	0	1	1	0	1	443	1	
ar177	Global	31	0	1	0	0	0	390	1	
ar177	Global	32	0	1	1	0	1	419	1	
ar177	Local	1	0	0	1	1	0	712	1	
ar177	Local	2	0	0	1	1	0	603	1	
ar177	Local	3	0	1	0	1	1	608	1	
ar177	Local	4	0	0	0	0	0	623	1	
ar177	Local	5	0	1	0	1	1	703	1	
ar177	Local	6	0	0	1	1	0	496	1	
ar177	Local	7	0	1	0	1	1	354	1	
ar177	Local	8	0	0	0	0	1	427	1	
ar177	Local	9	0	1	0	1	1	357	1	
ar177	Local	10	0	0	1	1	1	678	1	
ar177	Local	11	0	1	1	1	0	150	0	
ar177	Local	12	0	1	1	0	1	490	1	
ar177	Local	13	0	0	0	0	1	346	1	
ar177	Local	14	0	1	1	0	1	706	1	
ar177	Local	15	0	0	0	0	0	523	1	
ar177	Local	16	0	1	0	1	0	400	1	
ar177	Local	17	0	0	0	0	1	414	1	
ar177	Local	18	0	0	0	1	0	486	1	
ar177	Local	19	0	1	1	1	0	614	1	
ar177	Local	20	0	0	1	0	0	605	1	
ar177	Local	21	0	0	0	1	0	370	1	
ar177	Local	22	0	0	1	0	0	573	1	
ar177	Local	23	0	0	1	1	0	567	1	
