SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
at35	Global	1	0	0	1	1	1	1494	1	
at35	Global	2	0	0	1	0	1	801	1	
at35	Global	3	0	1	1	0	1	1005	1	
at35	Global	4	0	1	0	1	0	1368	1	
at35	Global	5	0	1	0	1	1	716	1	
at35	Global	6	0	0	0	0	0	902	1	
at35	Global	7	0	0	1	0	0	1302	1	
at35	Global	8	0	1	0	1	0	796	1	
at35	Global	9	0	1	0	0	1	736	1	
at35	Global	10	0	0	1	1	0	1156	1	
at35	Global	11	0	0	1	1	0	929	1	
at35	Global	12	0	0	1	0	1	852	1	
at35	Global	13	0	1	0	1	0	791	1	
at35	Global	14	0	0	1	1	1	705	1	
at35	Global	15	0	0	1	1	0	922	1	
at35	Global	16	0	1	1	0	1	803	1	
at35	Global	17	0	1	0	1	1	719	1	
at35	Global	18	0	0	0	0	1	762	1	
at35	Global	19	0	0	0	0	1	649	1	
at35	Global	20	0	1	0	0	1	651	1	
at35	Global	21	0	1	0	0	0	743	1	
at35	Global	22	0	0	1	0	0	765	1	
at35	Global	23	0	1	1	1	1	876	1	
at35	Global	24	0	0	0	1	1	712	1	
at35	Global	25	0	1	1	1	0	811	1	
at35	Global	26	0	1	0	0	1	800	1	
at35	Global	27	0	0	1	0	0	813	1	
at35	Global	28	0	0	1	0	0	738	1	
at35	Global	29	0	1	0	0	0	736	1	
at35	Global	30	0	1	0	1	0	700	1	
at35	Global	31	0	1	1	1	1	845	1	
at35	Global	32	0	1	0	1	0	710	1	
at35	Local	1	0	0	1	1	0	954	1	
at35	Local	2	0	0	0	1	0	928	1	
at35	Local	3	0	0	1	0	1	755	1	
at35	Local	4	0	1	0	0	0	762	1	
at35	Local	5	0	0	0	0	0	794	1	
at35	Local	6	0	1	0	1	0	756	1	
at35	Local	7	0	1	1	0	0	819	1	
at35	Local	8	0	1	1	0	0	753	1	
at35	Local	9	0	1	0	1	1	1113	1	
at35	Local	10	0	0	1	1	0	745	1	
at35	Local	11	0	0	1	0	0	854	1	
at35	Local	12	0	0	0	1	1	841	1	
at35	Local	13	0	0	0	0	0	618	1	
at35	Local	14	0	1	0	0	0	713	1	
at35	Local	15	0	1	1	1	0	716	1	
at35	Local	16	0	1	0	0	1	774	1	
at35	Local	17	0	1	1	1	1	751	1	
at35	Local	18	0	0	0	0	0	796	1	
at35	Local	19	0	1	0	1	1	1057	1	
at35	Local	20	0	0	0	0	1	874	1	
at35	Local	21	0	1	1	1	0	647	1	
at35	Local	22	0	0	1	0	0	721	1	
at35	Local	23	0	1	0	0	0	779	1	
at35	Local	24	0	1	1	1	0	668	1	
at35	Local	25	0	1	0	1	1	706	1	
at35	Local	26	0	1	1	1	0	810	1	
at35	Local	27	0	1	1	0	0	768	1	
at35	Local	28	0	0	0	1	1	777	1	
at35	Local	29	0	1	1	0	1	786	1	
at35	Local	30	0	0	1	0	0	996	1	
at35	Local	31	0	1	0	1	0	944	1	
at35	Local	32	0	0	1	1	0	836	1	
at35	Global	1	1	0	0	0	1	2007	1	
at35	Global	2	1	1	1	1	0	1141	1	
at35	Global	3	1	0	0	1	1	696	1	
at35	Global	4	1	0	1	1	0	1001	1	
at35	Global	5	1	1	0	1	1	684	1	
at35	Global	6	1	0	0	0	0	835	1	
at35	Global	7	1	0	0	1	0	811	1	
at35	Global	8	1	1	1	1	0	880	1	
at35	Global	9	1	0	1	1	0	845	1	
at35	Global	10	1	1	0	0	1	662	1	
at35	Global	11	1	0	1	0	0	746	1	
at35	Global	12	1	0	1	0	0	639	1	
at35	Global	13	1	0	0	1	1	649	1	
at35	Global	14	1	0	1	0	1	1084	1	
at35	Global	15	1	1	0	1	1	513	1	
at35	Global	16	1	0	1	1	1	812	1	
at35	Global	17	1	1	0	1	0	770	1	
at35	Global	18	1	0	0	0	1	507	1	
at35	Global	19	1	0	1	1	0	150	0	
at35	Global	20	1	1	1	0	1	1033	1	
at35	Global	21	1	1	1	0	0	799	1	
at35	Global	22	1	1	0	0	1	883	1	
at35	Global	23	1	1	0	1	1	745	1	
at35	Global	24	1	0	0	0	0	1023	1	
at35	Global	25	1	1	0	0	0	1003	1	
at35	Global	26	1	0	1	0	1	903	1	
at35	Global	27	1	1	1	0	0	942	1	
at35	Global	28	1	0	0	0	1	811	1	
at35	Global	29	1	0	0	1	1	737	1	
at35	Global	30	1	1	1	1	0	949	1	
at35	Global	31	1	0	1	1	1	737	1	
at35	Global	32	1	1	1	0	1	1007	1	
at35	Local	1	1	1	1	1	0	950	1	
at35	Local	2	1	1	0	1	0	659	1	
at35	Local	3	1	1	0	1	1	150	0	
at35	Local	4	1	0	1	1	0	782	1	
at35	Local	5	1	0	0	1	0	801	1	
at35	Local	6	1	1	0	0	0	605	1	
at35	Local	7	1	0	1	0	0	594	1	
at35	Local	8	1	0	1	0	1	976	1	
at35	Local	9	1	0	0	0	0	575	1	
at35	Local	10	1	1	0	1	1	873	1	
at35	Local	11	1	1	0	0	0	630	1	
at35	Local	12	1	0	1	0	1	854	1	
at35	Local	13	1	1	1	0	1	817	1	
at35	Local	14	1	1	1	1	0	791	1	
at35	Local	15	1	1	0	1	0	617	1	
at35	Local	16	1	0	0	0	1	664	1	
at35	Local	17	1	0	0	1	1	660	1	
at35	Local	18	1	1	1	0	0	800	1	
at35	Local	19	1	0	1	1	0	884	1	
at35	Local	20	1	1	0	0	1	714	1	
at35	Local	21	1	1	1	0	1	461	1	
at35	Local	22	1	0	0	1	1	529	1	
at35	Local	23	1	0	0	1	1	623	1	
at35	Local	24	1	1	1	1	0	1895	1	
at35	Local	25	1	1	0	0	0	1472	1	
at35	Local	26	1	1	0	0	0	1121	1	
at35	Local	27	1	0	0	0	0	865	1	
at35	Local	28	1	0	1	1	0	684	1	
at35	Local	29	1	1	1	0	0	731	1	
at35	Local	30	1	0	1	1	0	999	1	
at35	Local	31	1	0	1	1	0	2226	1	
at35	Local	32	1	1	1	0	0	896	1	
