SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
bh28	Global	1	1	1	0	1	0	1533	1	
bh28	Global	2	1	0	0	0	0	981	1	
bh28	Global	3	1	0	1	1	0	684	1	
bh28	Global	4	1	1	0	1	1	1444	1	
bh28	Global	5	1	1	0	0	1	641	1	
bh28	Global	6	1	0	1	0	0	924	1	
bh28	Global	7	1	1	1	1	1	1062	1	
bh28	Global	8	1	1	1	1	1	904	1	
bh28	Global	9	1	0	1	1	1	824	1	
bh28	Global	10	1	0	1	0	1	751	1	
bh28	Global	11	1	1	0	0	0	1007	1	
bh28	Global	12	1	0	0	1	1	706	1	
bh28	Global	13	1	1	1	1	1	1330	1	
bh28	Global	14	1	1	1	1	0	739	1	
bh28	Global	15	1	1	0	0	0	150	0	
bh28	Global	16	1	0	0	1	1	800	1	
bh28	Global	17	1	0	0	1	0	150	0	
bh28	Global	18	1	0	1	1	0	699	1	
bh28	Global	19	1	0	1	0	0	515	1	
bh28	Global	20	1	1	1	0	0	615	1	
bh28	Global	21	1	1	1	0	1	934	1	
bh28	Global	22	1	0	0	0	0	593	1	
bh28	Global	23	1	1	1	0	0	2076	1	
bh28	Global	24	1	1	0	0	0	842	1	
bh28	Global	25	1	1	0	0	1	619	1	
bh28	Global	26	1	1	0	1	1	150	0	
bh28	Global	27	1	0	0	1	1	903	1	
bh28	Global	28	1	0	0	1	1	1023	1	
bh28	Global	29	1	1	1	0	1	150	0	
bh28	Global	30	1	1	0	0	0	1203	1	
bh28	Global	31	1	1	1	1	1	1253	1	
bh28	Global	32	1	1	1	0	1	1836	1	
bh28	Local	1	1	0	1	1	0	1968	1	
bh28	Local	2	1	1	0	1	0	833	1	
bh28	Local	3	1	0	0	0	0	585	1	
bh28	Local	4	1	0	1	1	1	1164	1	
bh28	Local	5	1	0	1	1	1	1057	1	
bh28	Local	6	1	1	1	1	1	1011	1	
bh28	Local	7	1	1	0	0	1	696	1	
bh28	Local	8	1	0	1	0	0	872	1	
bh28	Local	9	1	1	1	0	0	150	0	
bh28	Local	10	1	0	0	1	0	766	1	
bh28	Local	11	1	1	1	1	0	1398	1	
bh28	Local	12	1	0	1	1	0	551	1	
bh28	Local	13	1	1	0	0	0	1600	1	
bh28	Local	14	1	0	1	1	0	624	1	
bh28	Local	15	1	1	1	0	0	600	1	
bh28	Local	16	1	1	0	1	1	861	1	
bh28	Local	17	1	1	1	0	0	928	1	
bh28	Local	18	1	0	0	0	1	603	1	
bh28	Local	19	1	0	0	1	0	632	1	
bh28	Local	20	1	0	0	1	0	761	1	
bh28	Local	21	1	1	1	1	1	832	1	
bh28	Local	22	1	1	0	1	1	150	0	
bh28	Local	23	1	1	0	0	0	1125	1	
bh28	Local	24	1	0	0	1	0	679	1	
bh28	Local	25	1	0	0	0	1	860	1	
bh28	Local	26	1	0	0	1	1	607	1	
bh28	Local	27	1	0	1	0	0	668	1	
bh28	Local	28	1	0	0	0	0	610	1	
bh28	Local	29	1	1	1	0	1	1377	1	
bh28	Local	30	1	1	1	0	0	518	1	
bh28	Local	31	1	0	0	0	1	1258	1	
bh28	Local	32	1	1	1	0	0	634	1	
bh28	Global	1	0	1	0	1	0	1139	1	
bh28	Global	2	0	1	1	1	0	1102	1	
bh28	Global	3	0	0	1	0	0	701	1	
bh28	Global	4	0	1	0	0	1	742	1	
bh28	Global	5	0	1	0	0	1	603	1	
bh28	Global	6	0	0	1	1	0	150	0	
bh28	Global	7	0	0	0	0	1	1041	1	
bh28	Global	8	0	0	1	0	0	593	1	
bh28	Global	9	0	0	1	1	1	1165	1	
bh28	Global	10	0	1	1	1	1	674	1	
bh28	Global	11	0	0	0	1	0	631	1	
bh28	Global	12	0	1	1	0	0	576	1	
bh28	Global	13	0	0	0	1	1	1042	1	
