SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
bn1252	Global	1	0	1	0	0	1	904	1	
bn1252	Global	2	0	0	0	1	1	488	1	
bn1252	Global	3	0	0	0	0	0	544	1	
bn1252	Global	4	0	1	1	1	1	615	1	
bn1252	Global	5	0	1	0	0	1	606	1	
bn1252	Global	6	0	1	0	1	0	531	1	
bn1252	Global	7	0	1	1	1	1	552	1	
bn1252	Global	8	0	0	1	0	0	664	1	
bn1252	Global	9	0	1	0	0	1	604	1	
bn1252	Global	10	0	0	1	0	1	1081	1	
bn1252	Global	11	0	0	0	0	1	525	1	
bn1252	Global	12	0	0	1	0	0	642	1	
bn1252	Global	13	0	0	0	1	0	868	1	
bn1252	Global	14	0	1	1	1	0	720	1	
bn1252	Global	15	0	1	0	1	1	595	1	
bn1252	Global	16	0	1	1	1	0	632	1	
bn1252	Global	17	0	0	0	1	1	528	1	
bn1252	Global	18	0	1	1	0	1	821	1	
bn1252	Global	19	0	1	1	0	1	675	1	
bn1252	Global	20	0	1	0	0	0	593	1	
bn1252	Global	21	0	0	1	1	0	532	1	
bn1252	Global	22	0	0	0	1	0	449	1	
bn1252	Global	23	0	0	1	1	0	573	1	
bn1252	Global	24	0	0	0	0	0	511	1	
bn1252	Global	25	0	1	0	1	0	538	1	
bn1252	Global	26	0	0	1	0	0	545	1	
bn1252	Global	27	0	1	1	0	1	615	1	
bn1252	Global	28	0	0	1	1	0	686	1	
bn1252	Global	29	0	0	0	0	1	557	1	
bn1252	Global	30	0	1	0	1	0	622	1	
bn1252	Global	31	0	0	1	0	1	661	1	
bn1252	Global	32	0	1	1	1	0	592	1	
bn1252	Local	1	0	0	1	1	0	733	1	
bn1252	Local	2	0	0	1	1	0	761	1	
bn1252	Local	3	0	1	1	0	0	625	1	
bn1252	Local	4	0	1	0	1	0	593	1	
bn1252	Local	5	0	1	0	0	1	597	1	
bn1252	Local	6	0	1	0	0	1	562	1	
bn1252	Local	7	0	1	0	1	0	554	1	
bn1252	Local	8	0	1	1	0	0	731	1	
bn1252	Local	9	0	1	1	1	0	503	1	
bn1252	Local	10	0	0	1	1	0	520	1	
bn1252	Local	11	0	0	1	0	1	540	1	
bn1252	Local	12	0	0	0	1	0	675	1	
bn1252	Local	13	0	1	0	0	1	576	1	
bn1252	Local	14	0	0	0	1	1	1042	1	
bn1252	Local	15	0	1	0	0	1	586	1	
bn1252	Local	16	0	1	0	0	1	462	1	
bn1252	Local	17	0	0	0	1	1	523	1	
bn1252	Local	18	0	0	1	1	0	568	1	
bn1252	Local	19	0	0	1	1	0	482	1	
bn1252	Local	20	0	1	0	1	0	474	1	
bn1252	Local	21	0	0	0	0	1	528	1	
bn1252	Local	22	0	0	0	0	1	597	1	
bn1252	Local	23	0	0	1	0	1	555	1	
bn1252	Local	24	0	0	0	0	0	523	1	
bn1252	Local	25	0	0	1	0	0	800	1	
bn1252	Local	26	0	1	1	0	1	540	1	
bn1252	Local	27	0	0	1	1	1	675	1	
bn1252	Local	28	0	1	1	0	1	520	1	
bn1252	Local	29	0	1	0	1	0	460	1	
bn1252	Local	30	0	0	1	1	1	457	1	
bn1252	Local	31	0	1	0	1	0	518	1	
bn1252	Local	32	0	0	1	0	1	497	1	
bn1252	Global	1	1	1	0	1	0	1018	1	
bn1252	Global	2	1	1	0	0	1	511	1	
bn1252	Global	3	1	0	1	0	0	826	1	
bn1252	Global	4	1	0	0	1	0	866	1	
bn1252	Global	5	1	0	1	1	0	764	1	
bn1252	Global	6	1	1	0	0	1	852	1	
bn1252	Global	7	1	0	0	0	1	502	1	
bn1252	Global	8	1	0	1	0	0	616	1	
bn1252	Global	9	1	1	0	0	1	455	1	
bn1252	Global	10	1	0	1	0	1	644	1	
bn1252	Global	11	1	1	1	1	0	550	1	
bn1252	Global	12	1	0	1	0	0	878	1	
bn1252	Global	13	1	1	1	1	0	635	1	
bn1252	Global	14	1	1	1	1	1	531	1	
bn1252	Global	15	1	1	1	1	0	696	1	
bn1252	Global	16	1	1	1	0	1	1049	1	
bn1252	Global	17	1	1	1	0	0	593	1	
bn1252	Global	18	1	1	0	0	1	797	1	
bn1252	Global	19	1	1	1	1	0	497	1	
bn1252	Global	20	1	1	1	0	0	571	1	
bn1252	Global	21	1	1	0	0	1	525	1	
bn1252	Global	22	1	1	0	1	0	586	1	
bn1252	Global	23	1	0	1	1	1	453	1	
bn1252	Global	24	1	1	0	1	0	418	1	
bn1252	Global	25	1	0	0	1	0	642	1	
bn1252	Global	26	1	1	1	0	1	684	1	
bn1252	Global	27	1	0	0	0	0	459	1	
bn1252	Global	28	1	0	0	1	1	536	1	
bn1252	Global	29	1	0	0	1	1	639	1	
bn1252	Global	30	1	0	0	1	1	449	1	
bn1252	Global	31	1	0	0	0	1	421	1	
bn1252	Global	32	1	1	1	1	0	540	1	
bn1252	Local	1	1	0	1	1	1	715	1	
bn1252	Local	2	1	1	0	0	0	637	1	
bn1252	Local	3	1	0	0	1	0	655	1	
bn1252	Local	4	1	0	1	0	1	627	1	
bn1252	Local	5	1	1	0	0	1	524	1	
bn1252	Local	6	1	0	0	0	1	505	1	
bn1252	Local	7	1	1	1	0	1	434	1	
bn1252	Local	8	1	1	1	1	1	420	1	
bn1252	Local	9	1	1	0	1	0	596	1	
bn1252	Local	10	1	0	1	1	0	697	1	
bn1252	Local	11	1	0	1	1	0	594	1	
bn1252	Local	12	1	1	0	0	1	559	1	
