SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
cd51	Global	1	1	1	0	1	0	2141	1	
cd51	Global	2	1	1	1	1	0	1137	1	
cd51	Global	3	1	0	0	0	1	1291	1	
cd51	Global	4	1	0	1	1	1	1031	1	
cd51	Global	5	1	0	1	0	0	981	1	
cd51	Global	6	1	0	0	0	1	1383	1	
cd51	Global	7	1	0	0	0	1	628	1	
cd51	Global	8	1	0	1	0	1	1029	1	
cd51	Global	9	1	0	1	1	0	931	1	
cd51	Global	10	1	1	1	1	1	942	1	
cd51	Global	11	1	0	0	1	1	603	1	
cd51	Global	12	1	0	0	0	0	840	1	
cd51	Global	13	1	0	0	1	1	849	1	
cd51	Global	14	1	1	1	0	0	914	1	
cd51	Global	15	1	1	0	1	0	1235	1	
cd51	Global	16	1	1	0	0	1	617	1	
cd51	Global	17	1	0	0	0	0	832	1	
cd51	Global	18	1	1	1	0	0	1103	1	
cd51	Global	19	1	1	1	0	1	838	1	
cd51	Global	20	1	1	0	1	0	943	1	
cd51	Global	21	1	1	0	1	1	1011	1	
cd51	Global	22	1	1	1	1	0	1200	1	
cd51	Global	23	1	1	0	0	0	746	1	
cd51	Global	24	1	1	0	1	1	1056	1	
cd51	Global	25	1	1	0	0	1	777	1	
cd51	Global	26	1	0	1	1	0	802	1	
cd51	Global	27	1	1	1	0	0	1047	1	
cd51	Global	28	1	1	1	0	0	839	1	
cd51	Global	29	1	1	1	1	0	768	1	
cd51	Global	30	1	1	1	0	1	953	1	
cd51	Global	31	1	0	0	1	1	1047	1	
cd51	Global	32	1	1	1	1	0	855	1	
cd51	Local	1	1	1	0	0	0	1142	1	
cd51	Local	2	1	0	0	1	0	705	1	
cd51	Local	3	1	1	1	0	0	770	1	
cd51	Local	4	1	0	1	1	0	803	1	
cd51	Local	5	1	1	0	1	0	743	1	
cd51	Local	6	1	1	0	0	1	1021	1	
cd51	Local	7	1	0	0	1	1	706	1	
cd51	Local	8	1	1	0	0	0	658	1	
cd51	Local	9	1	0	1	0	1	1062	1	
cd51	Local	10	1	1	0	1	0	624	1	
cd51	Local	11	1	1	1	1	1	736	1	
cd51	Local	12	1	0	0	0	0	724	1	
cd51	Local	13	1	1	1	1	0	760	1	
cd51	Local	14	1	0	0	1	1	648	1	
cd51	Local	15	1	0	1	1	1	538	1	
cd51	Local	16	1	0	1	1	1	480	1	
cd51	Local	17	1	0	1	1	1	545	1	
cd51	Local	18	1	1	0	0	0	935	1	
cd51	Local	19	1	1	1	1	1	826	1	
cd51	Local	20	1	1	0	1	1	858	1	
cd51	Local	21	1	1	0	1	0	780	1	
cd51	Local	22	1	1	1	0	0	871	1	
cd51	Local	23	1	0	0	0	1	963	1	
cd51	Local	24	1	0	1	0	0	802	1	
cd51	Local	25	1	0	1	1	1	758	1	
cd51	Local	26	1	1	0	0	1	805	1	
cd51	Local	27	1	0	1	0	1	817	1	
cd51	Local	28	1	0	0	1	0	751	1	
cd51	Local	29	1	1	1	0	0	813	1	
cd51	Local	30	1	1	1	0	1	938	1	
cd51	Local	31	1	0	0	0	0	855	1	
cd51	Local	32	1	1	1	0	0	874	1	
cd51	Global	1	0	0	0	1	0	1445	1	
cd51	Global	2	0	0	1	0	1	795	1	
cd51	Global	3	0	0	1	1	0	1903	1	
cd51	Global	4	0	0	0	0	1	1154	1	
cd51	Global	5	0	1	0	0	1	671	1	
cd51	Global	6	0	0	0	0	1	580	1	
cd51	Global	7	0	1	1	0	1	680	1	
cd51	Global	8	0	0	0	0	0	751	1	
cd51	Global	9	0	0	1	0	1	701	1	
cd51	Global	10	0	1	1	0	1	733	1	
cd51	Global	11	0	1	0	0	0	969	1	
cd51	Global	12	0	1	1	1	1	761	1	
cd51	Global	13	0	1	0	0	1	864	1	
cd51	Global	14	0	0	0	1	0	1019	1	
cd51	Global	15	0	1	1	1	0	840	1	
cd51	Global	16	0	0	1	0	1	609	1	
cd51	Global	17	0	0	0	1	0	848	1	
cd51	Global	18	0	1	1	0	0	1001	1	
cd51	Global	19	0	0	1	1	1	596	1	
cd51	Global	20	0	1	0	0	1	721	1	
cd51	Global	21	0	1	0	1	1	676	1	
cd51	Global	22	0	0	0	1	0	1017	1	
cd51	Global	23	0	1	0	1	0	1118	1	
cd51	Global	24	0	0	1	0	1	1198	1	
cd51	Global	25	0	0	0	0	0	704	1	
cd51	Global	26	0	1	1	1	0	937	1	
cd51	Global	27	0	1	1	1	0	700	1	
cd51	Global	28	0	1	0	1	0	629	1	
cd51	Global	29	0	0	1	1	1	1165	1	
cd51	Global	30	0	0	0	1	1	642	1	
cd51	Global	31	0	1	1	1	1	1036	1	
cd51	Global	32	0	0	1	0	1	707	1	
cd51	Local	1	0	0	0	1	0	1394	1	
cd51	Local	2	0	1	0	0	1	150	0	
cd51	Local	3	0	1	0	1	1	1264	1	
cd51	Local	4	0	0	1	0	0	1273	1	
cd51	Local	5	0	1	0	0	0	931	1	
cd51	Local	6	0	0	1	1	1	950	1	
cd51	Local	7	0	1	0	1	1	691	1	
cd51	Local	8	0	0	0	0	1	746	1	
cd51	Local	9	0	0	1	1	0	775	1	
cd51	Local	10	0	0	1	0	0	760	1	
cd51	Local	11	0	0	1	1	0	712	1	
cd51	Local	12	0	0	0	0	0	682	1	
cd51	Local	13	0	1	0	1	1	713	1	
cd51	Local	14	0	0	0	0	1	635	1	
cd51	Local	15	0	1	0	1	1	708	1	
cd51	Local	16	0	1	1	0	0	1006	1	
cd51	Local	17	0	1	0	0	1	961	1	
cd51	Local	18	0	1	1	0	1	824	1	
cd51	Local	19	0	0	0	1	0	1319	1	
cd51	Local	20	0	0	1	1	0	854	1	
cd51	Local	21	0	1	1	0	0	1345	1	
cd51	Local	22	0	1	1	0	1	819	1	
cd51	Local	23	0	1	0	1	1	657	1	
cd51	Local	24	0	0	1	1	1	150	0	
cd51	Local	25	0	0	0	0	0	1059	1	
cd51	Local	26	0	1	1	0	0	989	1	
cd51	Local	27	0	1	1	0	1	727	1	
cd51	Local	28	0	0	1	1	0	683	1	
cd51	Local	29	0	1	1	1	1	586	1	
cd51	Local	30	0	1	1	1	0	925	1	
cd51	Local	31	0	1	0	1	0	752	1	
cd51	Local	32	0	0	0	0	0	775	1	
