SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
cm186	Global	1	1	1	0	1	1	433	1	
cm186	Global	2	1	1	1	1	1	690	1	
cm186	Global	3	1	0	1	1	1	150	0	
cm186	Global	4	1	1	1	0	1	515	1	
cm186	Global	5	1	1	0	1	1	446	1	
cm186	Global	6	1	0	1	1	1	506	1	
cm186	Global	7	1	0	1	1	1	499	1	
cm186	Global	8	1	1	1	0	0	405	1	
cm186	Global	9	1	1	0	0	1	452	1	
cm186	Global	10	1	0	1	1	0	416	1	
cm186	Global	11	1	0	1	1	1	840	1	
cm186	Global	12	1	1	0	0	0	370	1	
cm186	Global	13	1	1	0	0	1	325	1	
cm186	Global	14	1	0	0	1	1	331	1	
cm186	Global	15	1	1	1	1	0	353	1	
cm186	Global	16	1	1	0	0	1	354	1	
cm186	Global	17	1	1	0	0	1	524	1	
cm186	Global	18	1	1	1	0	1	433	1	
cm186	Global	19	1	0	0	0	1	362	1	
cm186	Global	20	1	1	1	1	0	500	1	
cm186	Global	21	1	0	1	0	0	662	1	
cm186	Global	22	1	0	1	0	1	449	1	
cm186	Global	23	1	0	1	0	0	541	1	
cm186	Global	24	1	0	0	1	0	419	1	
cm186	Global	25	1	1	0	0	0	427	1	
cm186	Global	26	1	1	1	0	0	405	1	
cm186	Global	27	1	0	0	1	0	419	1	
cm186	Global	28	1	1	0	1	1	379	1	
cm186	Global	29	1	1	0	1	0	592	1	
cm186	Global	30	1	0	1	0	0	476	1	
cm186	Global	31	1	0	0	1	0	346	1	
cm186	Global	32	1	1	0	0	1	386	1	
cm186	Local	1	1	1	1	1	1	519	1	
cm186	Local	2	1	1	0	0	0	354	1	
cm186	Local	3	1	0	1	0	1	532	1	
cm186	Local	4	1	1	1	1	1	393	1	
cm186	Local	5	1	0	0	1	1	383	1	
cm186	Local	6	1	0	0	1	1	348	1	
cm186	Local	7	1	0	0	1	0	428	1	
cm186	Local	8	1	0	0	0	0	277	1	
cm186	Local	9	1	1	1	1	0	350	1	
cm186	Local	10	1	0	1	0	0	336	1	
cm186	Local	11	1	0	0	0	0	312	1	
cm186	Local	12	1	0	1	0	1	412	1	
cm186	Local	13	1	0	1	0	0	364	1	
