SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
cr157	Global	1	1	0	0	0	1	1454	1	
cr157	Global	2	1	0	1	1	1	843	1	
cr157	Global	3	1	1	1	0	0	677	1	
cr157	Global	4	1	0	1	1	1	914	1	
cr157	Global	5	1	0	1	0	1	835	1	
cr157	Global	6	1	0	0	1	1	475	1	
cr157	Global	7	1	1	0	1	1	457	1	
cr157	Global	8	1	1	1	1	0	654	1	
cr157	Global	9	1	1	0	1	0	730	1	
cr157	Global	10	1	1	1	1	0	486	1	
cr157	Global	11	1	1	1	1	1	694	1	
cr157	Global	12	1	1	0	0	1	447	1	
cr157	Global	13	1	1	0	1	0	658	1	
cr157	Global	14	1	1	1	0	1	646	1	
cr157	Global	15	1	1	0	1	0	520	1	
cr157	Global	16	1	1	0	0	1	572	1	
cr157	Global	17	1	0	0	0	1	470	1	
cr157	Global	18	1	1	1	0	0	676	1	
cr157	Global	19	1	0	0	0	1	785	1	
cr157	Global	20	1	1	1	0	1	772	1	
cr157	Global	21	1	1	0	0	0	765	1	
cr157	Global	22	1	0	0	1	1	540	1	
cr157	Global	23	1	0	0	1	0	491	1	
cr157	Global	24	1	1	0	0	1	483	1	
cr157	Global	25	1	1	0	1	0	483	1	
cr157	Global	26	1	0	1	0	1	715	1	
cr157	Global	27	1	1	1	1	0	550	1	
cr157	Global	28	1	1	1	1	0	500	1	
cr157	Global	29	1	0	1	0	0	526	1	
cr157	Global	30	1	0	0	0	0	483	1	
cr157	Global	31	1	0	1	1	1	150	0	
cr157	Global	32	1	1	1	0	1	1619	1	
cr157	Local	1	1	1	0	1	1	784	1	
cr157	Local	2	1	0	1	1	1	714	1	
cr157	Local	3	1	1	1	1	0	925	1	
cr157	Local	4	1	0	1	1	1	559	1	
cr157	Local	5	1	0	0	0	1	648	1	
cr157	Local	6	1	0	1	0	0	482	1	
cr157	Local	7	1	1	0	1	0	554	1	
cr157	Local	8	1	0	1	0	0	594	1	
cr157	Local	9	1	1	1	1	1	640	1	
cr157	Local	10	1	0	0	1	1	602	1	
cr157	Local	11	1	1	0	0	0	511	1	
cr157	Local	12	1	0	1	0	0	547	1	
cr157	Local	13	1	1	1	0	1	641	1	
cr157	Local	14	1	0	0	1	1	443	1	
cr157	Local	15	1	0	0	1	0	495	1	
cr157	Local	16	1	1	1	1	0	473	1	
cr157	Local	17	1	0	0	1	0	535	1	
cr157	Local	18	1	0	1	0	0	596	1	
cr157	Local	19	1	1	1	0	0	505	1	
cr157	Local	20	1	0	1	1	0	483	1	
cr157	Local	21	1	1	1	0	0	419	1	
cr157	Local	22	1	1	0	0	1	467	1	
cr157	Local	23	1	0	0	0	0	626	1	
cr157	Local	24	1	1	1	1	0	434	1	
cr157	Local	25	1	1	0	0	1	724	1	
cr157	Local	26	1	0	1	0	0	568	1	
cr157	Local	27	1	0	0	1	0	434	1	
cr157	Local	28	1	0	0	0	1	500	1	
cr157	Local	29	1	1	0	1	0	445	1	
cr157	Local	30	1	0	1	1	0	489	1	
cr157	Local	31	1	1	0	0	0	409	1	
cr157	Local	32	1	0	0	0	1	401	1	
cr157	Global	1	0	0	1	1	1	949	1	
cr157	Global	2	0	0	1	0	0	546	1	
cr157	Global	3	0	0	1	0	1	528	1	
cr157	Global	4	0	0	0	0	1	397	1	
cr157	Global	5	0	1	1	1	0	348	1	
cr157	Global	6	0	1	0	0	1	355	1	
cr157	Global	7	0	0	1	1	1	469	1	
cr157	Global	8	0	0	0	0	0	371	1	
cr157	Global	9	0	0	1	0	1	399	1	
cr157	Global	10	0	0	1	1	1	461	1	
cr157	Global	11	0	1	1	1	1	570	1	
cr157	Global	12	0	0	0	1	1	380	1	
cr157	Global	13	0	0	1	0	1	1016	1	
cr157	Global	14	0	1	0	0	0	989	1	
cr157	Global	15	0	0	1	0	1	711	1	
cr157	Global	16	0	0	0	0	0	641	1	
cr157	Global	17	0	1	1	0	1	683	1	
cr157	Global	18	0	1	1	0	1	498	1	
cr157	Global	19	0	1	1	1	1	588	1	
cr157	Global	20	0	0	0	1	1	680	1	
cr157	Global	21	0	0	1	0	0	495	1	
cr157	Global	22	0	1	0	1	1	585	1	
cr157	Global	23	0	0	1	1	1	150	0	
cr157	Global	24	0	0	0	1	0	894	1	
cr157	Global	25	0	1	0	0	0	597	1	
cr157	Global	26	0	0	0	1	1	674	1	
cr157	Global	27	0	1	0	0	1	759	1	
cr157	Global	28	0	0	0	1	0	550	1	
cr157	Global	29	0	0	1	1	0	423	1	
cr157	Global	30	0	1	0	1	0	336	1	
cr157	Global	31	0	1	0	0	1	656	1	
cr157	Global	32	0	0	0	1	1	548	1	
cr157	Local	1	0	1	0	0	1	960	1	
cr157	Local	2	0	0	1	1	0	662	1	
cr157	Local	3	0	0	0	1	0	546	1	
cr157	Local	4	0	1	0	1	1	976	1	
cr157	Local	5	0	0	0	1	0	480	1	
cr157	Local	6	0	1	1	0	1	504	1	
cr157	Local	7	0	0	1	1	1	418	1	
cr157	Local	8	0	1	0	1	0	578	1	
cr157	Local	9	0	1	1	1	0	580	1	
cr157	Local	10	0	1	0	0	1	424	1	
cr157	Local	11	0	1	1	0	1	657	1	
cr157	Local	12	0	1	0	0	1	637	1	
cr157	Local	13	0	1	1	0	1	535	1	
cr157	Local	14	0	1	0	0	0	396	1	
cr157	Local	15	0	0	0	1	1	523	1	
cr157	Local	16	0	1	1	1	1	560	1	
cr157	Local	17	0	1	0	0	0	496	1	
cr157	Local	18	0	0	0	0	1	650	1	
cr157	Local	19	0	0	1	1	0	516	1	
cr157	Local	20	0	1	0	1	1	624	1	
cr157	Local	21	0	1	0	0	1	528	1	
cr157	Local	22	0	0	1	1	1	581	1	
cr157	Local	23	0	1	1	1	0	521	1	
cr157	Local	24	0	1	1	0	1	612	1	
cr157	Local	25	0	0	0	0	0	395	1	
cr157	Local	26	0	0	1	0	0	150	0	
cr157	Local	27	0	1	1	0	0	697	1	
cr157	Local	28	0	1	0	1	0	450	1	
cr157	Local	29	0	0	1	1	0	519	1	
cr157	Local	30	0	0	1	0	1	660	1	
cr157	Local	31	0	0	1	0	1	536	1	
cr157	Local	32	0	0	0	1	0	469	1	
