SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
cs145	Global	1	1	1	1	1	0	502	1	
cs145	Global	2	1	0	1	0	0	584	1	
cs145	Global	3	1	1	1	0	0	150	0	
cs145	Global	4	1	0	1	0	0	439	1	
cs145	Global	5	1	0	1	0	1	442	1	
cs145	Global	6	1	1	0	1	0	254	1	
cs145	Global	7	1	1	0	0	0	275	1	
cs145	Global	8	1	1	1	1	0	267	1	
cs145	Global	9	1	1	1	0	1	451	1	
cs145	Global	10	1	0	0	0	1	336	1	
cs145	Global	11	1	0	0	0	0	335	1	
cs145	Global	12	1	1	0	0	1	150	0	
cs145	Global	13	1	0	1	1	0	397	1	
cs145	Global	14	1	1	1	0	0	436	1	
cs145	Global	15	1	0	1	1	1	447	1	
cs145	Global	16	1	0	0	0	1	150	0	
cs145	Global	17	1	0	0	1	1	415	1	
cs145	Global	18	1	1	0	1	0	319	1	
cs145	Global	19	1	1	1	1	1	150	0	
cs145	Global	20	1	0	0	0	1	382	1	
cs145	Global	21	1	1	0	0	0	379	1	
cs145	Global	22	1	0	0	1	1	296	1	
cs145	Global	23	1	0	1	0	1	150	0	
cs145	Global	24	1	1	1	1	1	150	0	
cs145	Global	25	1	0	1	1	0	150	0	
cs145	Global	26	1	0	0	1	0	503	1	
cs145	Global	27	1	1	0	1	0	241	1	
cs145	Global	28	1	0	0	1	0	229	1	
cs145	Global	29	1	0	1	0	0	416	1	
cs145	Global	30	1	0	1	1	0	150	0	
cs145	Global	31	1	0	0	1	0	400	1	
cs145	Global	32	1	1	0	0	1	550	1	
cs145	Local	1	1	1	0	1	0	301	1	
cs145	Local	2	1	1	0	0	0	352	1	
cs145	Local	3	1	1	1	1	0	322	1	
cs145	Local	4	1	1	0	1	1	424	1	
cs145	Local	5	1	0	0	1	1	418	1	
cs145	Local	6	1	0	1	0	1	521	1	
cs145	Local	7	1	1	1	1	0	663	1	
cs145	Local	8	1	1	1	0	0	402	1	
cs145	Local	9	1	1	0	0	1	393	1	
cs145	Local	10	1	1	0	0	0	150	0	
cs145	Local	11	1	1	0	1	0	351	1	
cs145	Local	12	1	0	1	0	1	392	1	
cs145	Local	13	1	0	0	0	1	150	0	
cs145	Local	14	1	0	0	1	1	440	1	
cs145	Local	15	1	1	1	0	0	427	1	
cs145	Local	16	1	0	0	1	1	373	1	
cs145	Local	17	1	0	0	0	0	464	1	
cs145	Local	18	1	1	1	0	0	567	1	
cs145	Local	19	1	1	1	1	0	313	1	
cs145	Local	20	1	0	1	0	1	150	0	
cs145	Local	21	1	0	1	0	1	450	1	
cs145	Local	22	1	0	1	1	1	287	1	
cs145	Local	23	1	1	1	1	0	312	1	
cs145	Local	24	1	1	0	1	1	556	1	
cs145	Local	25	1	1	1	1	0	445	1	
cs145	Local	26	1	0	0	0	1	384	1	
cs145	Local	27	1	0	0	1	0	317	1	
cs145	Local	28	1	1	0	0	1	481	1	
cs145	Local	29	1	1	1	0	1	329	1	
cs145	Local	30	1	1	1	1	0	367	1	
cs145	Local	31	1	0	1	1	0	618	1	
cs145	Local	32	1	1	0	0	0	353	1	
cs145	Global	1	0	0	0	1	0	653	1	
cs145	Global	2	0	0	0	0	1	321	1	
cs145	Global	3	0	1	1	1	0	415	1	
cs145	Global	4	0	1	1	1	1	150	0	
cs145	Global	5	0	1	1	1	0	380	1	
cs145	Global	6	0	0	0	1	1	368	1	
cs145	Global	7	0	0	1	1	1	150	0	
cs145	Global	8	0	1	0	0	1	533	1	
cs145	Global	9	0	1	0	0	0	450	1	
cs145	Global	10	0	1	0	0	1	399	1	
cs145	Global	11	0	0	0	1	1	389	1	
cs145	Global	12	0	1	0	1	0	330	1	
cs145	Global	13	0	0	0	0	0	400	1	
cs145	Global	14	0	1	1	1	0	534	1	
cs145	Global	15	0	1	0	1	0	371	1	
cs145	Global	16	0	1	1	0	0	150	0	
cs145	Global	17	0	0	0	1	0	379	1	
cs145	Global	18	0	1	0	1	1	400	1	
cs145	Global	19	0	1	0	0	0	286	1	
cs145	Global	20	0	1	0	0	0	352	1	
cs145	Global	21	0	0	1	1	0	353	1	
cs145	Global	22	0	1	1	0	0	346	1	
cs145	Global	23	0	0	0	1	0	346	1	
cs145	Global	24	0	0	1	0	0	306	1	
cs145	Global	25	0	0	0	0	1	462	1	
cs145	Global	26	0	0	1	0	0	395	1	
cs145	Global	27	0	1	1	1	1	150	0	
cs145	Global	28	0	1	1	0	1	507	1	
cs145	Global	29	0	1	1	0	1	150	0	
cs145	Global	30	0	1	1	0	1	438	1	
cs145	Global	31	0	1	1	0	1	458	1	
cs145	Global	32	0	1	1	1	0	150	0	
cs145	Local	1	0	1	0	1	0	746	1	
cs145	Local	2	0	0	1	0	1	150	0	
cs145	Local	3	0	0	0	0	1	380	1	
cs145	Local	4	0	0	1	1	0	150	0	
cs145	Local	5	0	0	1	1	0	609	1	
cs145	Local	6	0	1	0	0	0	464	1	
cs145	Local	7	0	0	0	1	1	407	1	
cs145	Local	8	0	0	1	1	1	519	1	
cs145	Local	9	0	1	0	1	1	426	1	
cs145	Local	10	0	1	1	0	1	150	0	
cs145	Local	11	0	0	0	1	1	460	1	
cs145	Local	12	0	0	1	0	1	689	1	
cs145	Local	13	0	1	1	0	0	496	1	
cs145	Local	14	0	1	1	1	0	498	1	
cs145	Local	15	0	1	0	0	0	387	1	
cs145	Local	16	0	1	1	1	0	150	0	
cs145	Local	17	0	0	1	1	0	379	1	
cs145	Local	18	0	1	0	0	1	150	0	
cs145	Local	19	0	1	0	1	0	555	1	
cs145	Local	20	0	0	1	0	0	524	1	
cs145	Local	21	0	1	0	0	0	369	1	
cs145	Local	22	0	0	1	0	0	492	1	
cs145	Local	23	0	0	1	0	1	150	0	
cs145	Local	24	0	0	0	0	1	378	1	
cs145	Local	25	0	1	1	1	1	327	1	
cs145	Local	26	0	0	0	1	0	421	1	
cs145	Local	27	0	1	1	0	0	415	1	
cs145	Local	28	0	0	1	1	1	327	1	
cs145	Local	29	0	1	0	1	1	757	1	
cs145	Local	30	0	1	0	0	1	359	1	
cs145	Local	31	0	0	0	0	0	150	0	
cs145	Local	32	0	0	0	1	1	321	1	
