SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
cvh179	Global	1	1	0	1	0	0	745	1	
cvh179	Global	2	1	1	0	1	0	590	1	
cvh179	Global	3	1	1	0	0	0	570	1	
cvh179	Global	4	1	1	0	0	1	404	1	
cvh179	Global	5	1	0	0	1	1	466	1	
cvh179	Global	6	1	0	1	0	0	585	1	
cvh179	Global	7	1	1	0	0	1	436	1	
cvh179	Global	8	1	0	1	1	1	672	1	
cvh179	Global	9	1	1	0	1	0	413	1	
cvh179	Global	10	1	0	0	1	1	485	1	
cvh179	Global	11	1	0	1	0	0	589	1	
cvh179	Global	12	1	0	1	1	1	705	1	
cvh179	Global	13	1	1	1	0	0	529	1	
cvh179	Global	14	1	1	1	1	0	607	1	
cvh179	Global	15	1	0	1	1	1	748	1	
cvh179	Global	16	1	0	0	1	1	625	1	
cvh179	Global	17	1	1	1	0	0	482	1	
cvh179	Global	18	1	1	0	0	1	522	1	
cvh179	Global	19	1	0	0	1	1	543	1	
cvh179	Global	20	1	0	0	1	0	542	1	
cvh179	Global	21	1	0	1	1	0	661	1	
cvh179	Global	22	1	0	0	1	0	608	1	
cvh179	Global	23	1	0	0	0	1	463	1	
cvh179	Global	24	1	0	1	1	0	492	1	
cvh179	Global	25	1	0	1	0	0	580	1	
cvh179	Global	26	1	0	0	0	1	440	1	
cvh179	Global	27	1	0	0	0	0	515	1	
cvh179	Global	28	1	0	1	1	0	559	1	
cvh179	Global	29	1	0	1	0	0	631	1	
cvh179	Global	30	1	0	0	0	1	576	1	
cvh179	Global	31	1	0	1	1	0	530	1	
cvh179	Global	32	1	0	1	0	0	551	1	
cvh179	Local	1	1	0	0	0	1	487	1	
cvh179	Local	2	1	0	0	0	1	487	1	
cvh179	Local	3	1	0	1	1	0	407	1	
cvh179	Local	4	1	1	0	1	0	575	1	
cvh179	Local	5	1	0	0	0	1	385	1	
cvh179	Local	6	1	0	0	0	0	406	1	
cvh179	Local	7	1	0	1	0	0	476	1	
cvh179	Local	8	1	0	1	0	0	522	1	
cvh179	Local	9	1	0	0	0	0	440	1	
cvh179	Local	10	1	1	1	0	0	451	1	
cvh179	Local	11	1	0	1	1	1	376	1	
cvh179	Local	12	1	0	0	1	1	491	1	
