SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
db134	Global	1	0	1	1	0	0	836	1	
db134	Global	2	0	0	1	0	0	516	1	
db134	Global	3	0	1	1	1	0	807	1	
db134	Global	4	0	0	0	0	1	451	1	
db134	Global	5	0	1	1	1	1	760	1	
db134	Global	6	0	0	0	1	1	551	1	
db134	Global	7	0	0	0	1	1	552	1	
db134	Global	8	0	0	1	1	0	552	1	
db134	Global	9	0	0	0	1	1	608	1	
db134	Global	10	0	0	1	0	0	927	1	
db134	Global	11	0	0	1	1	0	538	1	
db134	Global	12	0	1	0	0	1	553	1	
db134	Global	13	0	1	1	1	0	697	1	
db134	Global	14	0	0	0	1	1	626	1	
db134	Global	15	0	0	1	0	1	779	1	
db134	Global	16	0	0	0	0	0	604	1	
db134	Global	17	0	0	0	0	0	150	0	
db134	Global	18	0	0	1	1	0	411	1	
db134	Global	19	0	0	0	0	0	371	1	
db134	Global	20	0	1	1	1	1	558	1	
db134	Global	21	0	1	1	0	1	511	1	
db134	Global	22	0	1	0	0	0	602	1	
db134	Global	23	0	1	0	1	1	496	1	
db134	Global	24	0	1	0	1	0	473	1	
db134	Global	25	0	0	0	0	0	552	1	
db134	Global	26	0	1	0	1	1	456	1	
db134	Global	27	0	1	1	1	0	525	1	
db134	Global	28	0	1	0	1	1	442	1	
db134	Global	29	0	0	1	0	1	613	1	
db134	Global	30	0	1	0	0	0	588	1	
db134	Global	31	0	0	1	0	1	440	1	
db134	Global	32	0	1	1	0	1	467	1	
db134	Local	1	0	0	0	0	1	150	0	
db134	Local	2	0	0	0	0	0	825	1	
db134	Local	3	0	1	0	1	1	833	1	
db134	Local	4	0	0	0	1	1	832	1	
db134	Local	5	0	1	1	0	0	719	1	
db134	Local	6	0	0	1	1	1	810	1	
db134	Local	7	0	0	1	1	1	696	1	
db134	Local	8	0	1	0	1	1	808	1	
db134	Local	9	0	1	1	0	0	540	1	
db134	Local	10	0	0	1	1	1	619	1	
db134	Local	11	0	1	0	0	1	674	1	
db134	Local	12	0	0	1	0	1	640	1	
db134	Local	13	0	1	0	0	0	594	1	
db134	Local	14	0	0	0	1	1	567	1	
db134	Local	15	0	1	0	1	1	985	1	
db134	Local	16	0	1	0	0	0	506	1	
db134	Local	17	0	1	1	1	0	516	1	
db134	Local	18	0	1	0	1	1	600	1	
db134	Local	19	0	0	1	1	0	621	1	
db134	Local	20	0	0	1	0	0	740	1	
db134	Local	21	0	1	1	0	0	746	1	
db134	Local	22	0	0	1	1	1	591	1	
db134	Local	23	0	1	1	1	1	579	1	
db134	Local	24	0	0	1	1	1	558	1	
db134	Local	25	0	1	1	0	1	647	1	
db134	Local	26	0	1	0	0	1	569	1	
db134	Local	27	0	0	1	0	0	571	1	
db134	Local	28	0	1	0	0	1	669	1	
db134	Local	29	0	1	1	0	1	666	1	
db134	Local	30	0	1	0	1	0	150	0	
db134	Local	31	0	0	0	0	1	627	1	
db134	Local	32	0	1	0	1	0	484	1	
db134	Global	1	1	0	1	1	0	1744	1	
db134	Global	2	1	1	0	0	1	624	1	
db134	Global	3	1	1	0	0	0	1024	1	
db134	Global	4	1	0	1	0	1	871	1	
db134	Global	5	1	0	1	0	1	859	1	
db134	Global	6	1	1	0	1	0	494	1	
db134	Global	7	1	1	1	0	1	936	1	
db134	Global	8	1	1	0	0	0	955	1	
db134	Global	9	1	1	0	0	1	625	1	
db134	Global	10	1	1	1	1	0	1041	1	
db134	Global	11	1	1	0	1	0	817	1	
db134	Global	12	1	0	1	0	1	559	1	
db134	Global	13	1	0	0	1	0	656	1	
db134	Global	14	1	1	1	1	1	619	1	
db134	Global	15	1	1	0	0	0	994	1	
db134	Global	16	1	1	0	1	1	572	1	
db134	Global	17	1	0	1	1	1	734	1	
db134	Global	18	1	1	0	0	1	522	1	
db134	Global	19	1	0	1	1	1	767	1	
db134	Global	20	1	1	0	1	1	568	1	
db134	Global	21	1	1	0	1	0	690	1	
db134	Global	22	1	1	1	0	0	1033	1	
db134	Global	23	1	0	1	1	0	607	1	
db134	Global	24	1	0	0	0	0	492	1	
db134	Global	25	1	1	0	1	1	629	1	
db134	Global	26	1	0	1	1	1	1061	1	
db134	Global	27	1	1	1	1	1	959	1	
db134	Global	28	1	1	1	0	0	549	1	
db134	Global	29	1	1	0	1	1	556	1	
db134	Global	30	1	0	0	0	0	596	1	
db134	Global	31	1	0	1	0	0	841	1	
db134	Global	32	1	0	1	0	0	658	1	
db134	Local	1	1	1	0	1	1	992	1	
db134	Local	2	1	0	1	1	1	713	1	
db134	Local	3	1	1	0	0	1	692	1	
db134	Local	4	1	1	0	0	0	747	1	
db134	Local	5	1	1	0	0	0	800	1	
db134	Local	6	1	1	0	0	0	596	1	
db134	Local	7	1	0	0	1	0	498	1	
db134	Local	8	1	1	0	1	1	547	1	
db134	Local	9	1	0	0	0	0	626	1	
db134	Local	10	1	1	0	0	1	627	1	
db134	Local	11	1	1	0	1	0	699	1	
db134	Local	12	1	0	0	0	1	620	1	
db134	Local	13	1	1	1	1	0	755	1	
db134	Local	14	1	0	0	1	0	562	1	
db134	Local	15	1	1	1	1	0	579	1	
db134	Local	16	1	1	1	1	0	524	1	
db134	Local	17	1	0	0	1	1	938	1	
db134	Local	18	1	1	1	0	1	556	1	
