SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
dg164	Global	1	1	1	0	1	1	1743	1	
dg164	Global	2	1	0	1	1	0	1144	1	
dg164	Global	3	1	1	1	1	1	1787	1	
dg164	Global	4	1	1	1	0	0	856	1	
dg164	Global	5	1	1	0	1	1	987	1	
dg164	Global	6	1	0	1	1	1	1284	1	
dg164	Global	7	1	0	0	1	1	1080	1	
dg164	Global	8	1	1	1	1	1	540	1	
dg164	Global	9	1	0	0	1	1	594	1	
dg164	Global	10	1	0	1	0	0	1023	1	
dg164	Global	11	1	0	1	0	0	588	1	
dg164	Global	12	1	0	1	1	1	568	1	
dg164	Global	13	1	1	0	1	0	554	1	
dg164	Global	14	1	1	1	0	1	610	1	
dg164	Global	15	1	0	0	0	0	513	1	
dg164	Global	16	1	0	1	0	0	661	1	
dg164	Global	17	1	1	1	0	0	536	1	
dg164	Global	18	1	0	0	1	0	559	1	
dg164	Global	19	1	0	0	0	1	719	1	
dg164	Global	20	1	1	1	0	0	490	1	
dg164	Global	21	1	0	0	0	1	386	1	
dg164	Global	22	1	1	0	0	1	663	1	
dg164	Global	23	1	0	0	1	0	506	1	
dg164	Global	24	1	0	0	0	1	612	1	
dg164	Global	25	1	0	1	1	1	1363	1	
dg164	Global	26	1	1	1	1	0	703	1	
dg164	Global	27	1	1	1	0	1	584	1	
dg164	Global	28	1	1	1	1	1	699	1	
dg164	Global	29	1	0	0	0	1	524	1	
dg164	Global	30	1	1	0	0	1	481	1	
dg164	Global	31	1	1	0	0	0	785	1	
dg164	Global	32	1	0	0	1	0	532	1	
dg164	Local	1	1	1	0	0	0	1152	1	
dg164	Local	2	1	0	1	0	0	899	1	
dg164	Local	3	1	0	1	1	1	891	1	
dg164	Local	4	1	0	1	1	1	1001	1	
dg164	Local	5	1	0	1	1	0	644	1	
dg164	Local	6	1	1	0	1	0	630	1	
dg164	Local	7	1	1	1	0	1	1078	1	
dg164	Local	8	1	1	0	0	0	730	1	
dg164	Local	9	1	0	1	1	1	710	1	
dg164	Local	10	1	1	0	1	1	520	1	
dg164	Local	11	1	1	0	0	0	804	1	
dg164	Local	12	1	1	0	0	0	640	1	
dg164	Local	13	1	0	0	1	1	594	1	
dg164	Local	14	1	0	0	0	1	575	1	
dg164	Local	15	1	0	0	0	0	513	1	
dg164	Local	16	1	1	1	0	1	812	1	
dg164	Local	17	1	1	1	0	1	706	1	
dg164	Local	18	1	0	1	0	1	523	1	
dg164	Local	19	1	1	1	0	0	616	1	
dg164	Local	20	1	1	0	0	1	543	1	
dg164	Local	21	1	1	1	1	0	422	1	
dg164	Local	22	1	0	0	1	1	535	1	
dg164	Local	23	1	1	1	0	1	629	1	
dg164	Local	24	1	0	1	0	0	621	1	
dg164	Local	25	1	1	1	1	1	516	1	
dg164	Local	26	1	0	0	1	0	591	1	
dg164	Local	27	1	0	1	1	1	571	1	
dg164	Local	28	1	0	0	0	0	781	1	
dg164	Local	29	1	0	0	1	0	576	1	
dg164	Local	30	1	0	1	1	0	690	1	
dg164	Local	31	1	1	0	1	0	601	1	
dg164	Local	32	1	0	0	1	0	542	1	
dg164	Global	1	0	1	1	0	1	970	1	
dg164	Global	2	0	1	0	1	0	698	1	
dg164	Global	3	0	1	1	0	0	754	1	
dg164	Global	4	0	0	0	1	0	474	1	
dg164	Global	5	0	1	0	1	0	336	1	
dg164	Global	6	0	0	0	0	1	520	1	
dg164	Global	7	0	1	1	1	1	595	1	
dg164	Global	8	0	1	0	1	0	545	1	
dg164	Global	9	0	0	1	1	0	1023	1	
dg164	Global	10	0	1	1	1	1	532	1	
dg164	Global	11	0	0	1	1	0	521	1	
dg164	Global	12	0	0	1	0	1	845	1	
dg164	Global	13	0	1	0	0	1	782	1	
dg164	Global	14	0	0	1	1	1	408	1	
dg164	Global	15	0	0	0	1	0	736	1	
dg164	Global	16	0	0	0	1	0	1612	1	
dg164	Global	17	0	1	1	0	1	588	1	
dg164	Global	18	0	1	0	1	1	560	1	
dg164	Global	19	0	0	0	0	0	632	1	
dg164	Global	20	0	1	1	0	1	1433	1	
dg164	Global	21	0	0	1	0	1	549	1	
dg164	Global	22	0	1	1	1	1	476	1	
dg164	Global	23	0	0	1	0	1	346	1	
dg164	Global	24	0	1	0	0	1	514	1	
dg164	Global	25	0	1	0	0	1	493	1	
dg164	Global	26	0	0	0	0	0	495	1	
dg164	Global	27	0	1	0	1	1	497	1	
dg164	Global	28	0	1	1	1	1	731	1	
dg164	Global	29	0	1	0	0	1	399	1	
dg164	Global	30	0	1	0	0	0	150	0	
dg164	Global	31	0	1	1	0	0	622	1	
dg164	Global	32	0	1	1	1	0	415	1	
dg164	Local	1	0	1	1	0	1	1441	1	
dg164	Local	2	0	1	0	0	0	1167	1	
dg164	Local	3	0	0	1	1	0	1044	1	
dg164	Local	4	0	1	1	1	0	740	1	
dg164	Local	5	0	0	0	0	0	586	1	
dg164	Local	6	0	0	0	0	1	1077	1	
dg164	Local	7	0	0	1	0	1	881	1	
dg164	Local	8	0	1	1	1	1	622	1	
dg164	Local	9	0	0	1	0	0	887	1	
dg164	Local	10	0	0	1	0	1	909	1	
dg164	Local	11	0	0	1	0	0	893	1	
dg164	Local	12	0	1	0	1	1	891	1	
dg164	Local	13	0	1	1	0	0	833	1	
dg164	Local	14	0	1	0	0	1	656	1	
dg164	Local	15	0	0	0	0	0	620	1	
dg164	Local	16	0	1	1	0	0	675	1	
dg164	Local	17	0	0	0	0	0	632	1	
dg164	Local	18	0	1	0	0	0	545	1	
dg164	Local	19	0	1	0	1	1	712	1	
dg164	Local	20	0	1	1	1	1	850	1	
dg164	Local	21	0	1	1	1	1	667	1	
dg164	Local	22	0	0	1	1	1	713	1	
dg164	Local	23	0	0	0	1	1	507	1	
dg164	Local	24	0	1	0	1	1	582	1	
dg164	Local	25	0	0	0	1	0	650	1	
dg164	Local	26	0	1	0	1	1	884	1	
dg164	Local	27	0	1	0	1	0	610	1	
dg164	Local	28	0	0	0	1	0	697	1	
dg164	Local	29	0	0	0	0	0	490	1	
dg164	Local	30	0	0	1	0	1	843	1	
dg164	Local	31	0	1	1	1	0	933	1	
dg164	Local	32	0	1	1	1	1	150	0	
