SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ds146	Global	1	1	1	0	0	0	549	1	
ds146	Global	2	1	1	1	1	0	150	0	
ds146	Global	3	1	1	0	1	0	746	1	
ds146	Global	4	1	0	0	1	0	568	1	
ds146	Global	5	1	0	0	0	0	466	1	
ds146	Global	6	1	1	0	0	1	1168	1	
ds146	Global	7	1	0	0	0	0	695	1	
ds146	Global	8	1	1	1	1	1	728	1	
ds146	Global	9	1	1	1	0	0	852	1	
ds146	Global	10	1	1	1	1	0	743	1	
ds146	Global	11	1	1	1	1	0	796	1	
ds146	Global	12	1	1	1	1	1	640	1	
ds146	Global	13	1	0	0	1	1	635	1	
ds146	Global	14	1	0	1	0	1	787	1	
ds146	Global	15	1	1	0	1	0	550	1	
ds146	Global	16	1	0	1	1	0	804	1	
ds146	Global	17	1	1	1	0	1	784	1	
ds146	Global	18	1	0	1	0	1	667	1	
ds146	Global	19	1	0	0	0	1	504	1	
ds146	Global	20	1	1	0	0	0	658	1	
ds146	Global	21	1	1	1	0	1	766	1	
ds146	Global	22	1	0	0	1	1	543	1	
ds146	Global	23	1	1	1	0	0	622	1	
ds146	Global	24	1	0	1	0	1	749	1	
ds146	Global	25	1	0	1	1	0	650	1	
ds146	Global	26	1	0	0	0	1	564	1	
ds146	Global	27	1	1	1	0	0	693	1	
ds146	Global	28	1	0	0	1	1	628	1	
ds146	Global	29	1	1	0	1	0	516	1	
ds146	Global	30	1	1	0	1	0	544	1	
ds146	Global	31	1	0	1	1	0	767	1	
ds146	Global	32	1	1	0	0	1	415	1	
ds146	Local	1	1	1	0	0	1	635	1	
ds146	Local	2	1	0	0	1	0	556	1	
ds146	Local	3	1	1	0	1	1	516	1	
ds146	Local	4	1	0	1	1	0	752	1	
ds146	Local	5	1	0	0	0	1	487	1	
ds146	Local	6	1	1	1	0	0	567	1	
ds146	Local	7	1	0	0	0	1	569	1	
ds146	Local	8	1	1	1	1	1	619	1	
ds146	Local	9	1	0	0	1	0	778	1	
ds146	Local	10	1	1	0	0	1	635	1	
ds146	Local	11	1	0	1	1	0	548	1	
ds146	Local	12	1	0	0	1	1	434	1	
ds146	Local	13	1	1	0	0	1	548	1	
ds146	Local	14	1	0	1	1	0	603	1	
ds146	Local	15	1	0	0	1	1	520	1	
ds146	Local	16	1	1	0	0	0	803	1	
ds146	Local	17	1	0	1	1	1	471	1	
ds146	Local	18	1	1	0	1	0	686	1	
ds146	Local	19	1	1	1	0	0	829	1	
ds146	Local	20	1	1	1	0	0	877	1	
ds146	Local	21	1	0	0	1	0	737	1	
ds146	Local	22	1	1	1	0	1	567	1	
ds146	Local	23	1	1	0	1	1	768	1	
ds146	Local	24	1	0	1	0	0	585	1	
ds146	Local	25	1	0	0	0	1	757	1	
ds146	Local	26	1	1	1	1	0	572	1	
ds146	Local	27	1	1	1	0	1	686	1	
ds146	Local	28	1	0	1	0	0	621	1	
ds146	Local	29	1	1	1	0	1	532	1	
ds146	Local	30	1	0	1	1	1	633	1	
ds146	Local	31	1	0	0	0	0	642	1	
ds146	Local	32	1	1	1	1	0	636	1	
ds146	Global	1	0	0	1	0	1	1424	1	
ds146	Global	2	0	1	0	0	1	667	1	
ds146	Global	3	0	0	0	1	1	624	1	
ds146	Global	4	0	0	1	0	1	625	1	
ds146	Global	5	0	1	0	1	1	1153	1	
ds146	Global	6	0	1	1	1	1	1245	1	
ds146	Global	7	0	0	0	1	1	764	1	
ds146	Global	8	0	1	1	1	1	1011	1	
ds146	Global	9	0	1	0	0	1	944	1	
ds146	Global	10	0	1	0	1	1	740	1	
ds146	Global	11	0	1	1	0	0	642	1	
ds146	Global	12	0	1	0	0	1	500	1	
ds146	Global	13	0	0	1	0	1	678	1	
ds146	Global	14	0	1	0	0	0	571	1	
ds146	Global	15	0	0	1	0	1	541	1	
ds146	Global	16	0	1	1	1	1	532	1	
ds146	Global	17	0	0	1	0	0	545	1	
ds146	Global	18	0	0	0	0	1	576	1	
ds146	Global	19	0	0	1	1	0	546	1	
ds146	Global	20	0	0	0	1	1	600	1	
ds146	Global	21	0	0	1	1	1	638	1	
ds146	Global	22	0	1	1	1	0	632	1	
ds146	Global	23	0	0	0	1	0	792	1	
ds146	Global	24	0	0	1	1	1	627	1	
ds146	Global	25	0	1	0	0	0	563	1	
ds146	Global	26	0	0	0	0	1	500	1	
ds146	Global	27	0	1	0	1	0	486	1	
ds146	Global	28	0	1	1	1	1	662	1	
ds146	Global	29	0	1	0	0	0	538	1	
ds146	Global	30	0	0	0	1	0	776	1	
ds146	Global	31	0	1	1	0	1	537	1	
ds146	Global	32	0	0	1	0	1	688	1	
ds146	Local	1	0	0	1	0	0	745	1	
ds146	Local	2	0	0	1	0	1	831	1	
ds146	Local	3	0	0	1	1	1	790	1	
ds146	Local	4	0	1	1	0	0	665	1	
ds146	Local	5	0	1	1	1	1	846	1	
ds146	Local	6	0	1	1	1	0	527	1	
ds146	Local	7	0	0	0	1	0	692	1	
ds146	Local	8	0	1	0	1	0	715	1	
ds146	Local	9	0	0	1	0	1	742	1	
ds146	Local	10	0	0	0	0	1	963	1	
ds146	Local	11	0	1	0	0	0	562	1	
ds146	Local	12	0	1	1	1	1	730	1	
ds146	Local	13	0	1	1	1	1	542	1	
ds146	Local	14	0	1	0	1	0	485	1	
ds146	Local	15	0	0	1	1	0	653	1	
ds146	Local	16	0	1	0	0	0	1161	1	
ds146	Local	17	0	0	0	0	1	574	1	
ds146	Local	18	0	0	1	1	1	744	1	
ds146	Local	19	0	0	0	1	0	613	1	
ds146	Local	20	0	1	0	1	0	564	1	
ds146	Local	21	0	0	0	0	0	509	1	
ds146	Local	22	0	1	0	1	1	616	1	
ds146	Local	23	0	0	0	0	1	150	0	
ds146	Local	24	0	1	1	1	1	1043	1	
ds146	Local	25	0	1	1	0	1	763	1	
ds146	Local	26	0	1	1	0	0	587	1	
ds146	Local	27	0	1	1	0	0	990	1	
ds146	Local	28	0	0	0	1	1	464	1	
ds146	Local	29	0	0	1	0	1	717	1	
ds146	Local	30	0	0	0	0	1	625	1	
ds146	Local	31	0	0	0	1	1	537	1	
ds146	Local	32	0	1	0	0	1	536	1	
