SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ea180	Global	1	0	0	0	1	0	787	1	
ea180	Global	2	0	1	1	0	0	669	1	
ea180	Global	3	0	1	0	0	0	507	1	
ea180	Global	4	0	0	0	1	1	621	1	
ea180	Global	5	0	0	1	0	0	563	1	
ea180	Global	6	0	0	1	1	1	588	1	
ea180	Global	7	0	1	1	0	1	543	1	
ea180	Global	8	0	0	1	0	0	550	1	
ea180	Global	9	0	1	1	1	1	574	1	
ea180	Global	10	0	0	0	0	0	520	1	
ea180	Global	11	0	0	1	0	1	644	1	
ea180	Global	12	0	1	1	0	1	566	1	
ea180	Global	13	0	1	1	1	1	544	1	
ea180	Global	14	0	0	1	1	0	607	1	
ea180	Global	15	0	0	0	0	1	572	1	
ea180	Global	16	0	1	0	1	1	542	1	
ea180	Global	17	0	0	1	1	0	629	1	
ea180	Global	18	0	0	0	0	1	597	1	
ea180	Global	19	0	1	1	0	1	659	1	
ea180	Global	20	0	1	1	1	0	606	1	
ea180	Global	21	0	1	0	1	0	556	1	
ea180	Global	22	0	1	0	0	1	548	1	
ea180	Global	23	0	1	1	0	1	587	1	
ea180	Global	24	0	0	1	1	1	558	1	
ea180	Global	25	0	0	0	0	0	615	1	
ea180	Global	26	0	1	0	0	0	574	1	
ea180	Global	27	0	0	1	1	1	576	1	
ea180	Global	28	0	0	0	1	0	689	1	
ea180	Global	29	0	0	0	1	0	601	1	
ea180	Global	30	0	1	0	1	1	606	1	
ea180	Global	31	0	0	0	1	1	675	1	
ea180	Global	32	0	1	0	0	0	617	1	
ea180	Local	1	0	1	0	1	0	739	1	
ea180	Local	2	0	1	0	1	0	600	1	
ea180	Local	3	0	0	0	0	0	566	1	
ea180	Local	4	0	1	0	1	0	544	1	
ea180	Local	5	0	0	1	1	1	782	1	
ea180	Local	6	0	1	1	0	1	585	1	
ea180	Local	7	0	1	0	1	0	572	1	
ea180	Local	8	0	1	0	0	1	790	1	
ea180	Local	9	0	1	0	1	0	641	1	
ea180	Local	10	0	1	1	1	0	795	1	
ea180	Local	11	0	0	0	0	1	735	1	
ea180	Local	12	0	1	1	0	1	675	1	
ea180	Local	13	0	0	0	0	1	681	1	
ea180	Local	14	0	0	1	0	0	680	1	
ea180	Local	15	0	0	1	0	1	735	1	
ea180	Local	16	0	1	1	1	0	723	1	
ea180	Local	17	0	0	0	0	1	623	1	
ea180	Local	18	0	0	1	0	1	647	1	
ea180	Local	19	0	0	0	0	1	698	1	
ea180	Local	20	0	0	0	0	1	714	1	
ea180	Local	21	0	0	1	1	1	749	1	
ea180	Local	22	0	0	1	0	0	682	1	
ea180	Local	23	0	1	1	1	1	729	1	
ea180	Local	24	0	0	1	1	1	661	1	
ea180	Local	25	0	1	0	1	0	641	1	
ea180	Local	26	0	0	1	0	1	651	1	
ea180	Local	27	0	0	0	1	0	615	1	
ea180	Local	28	0	1	1	0	1	638	1	
ea180	Local	29	0	1	1	1	0	736	1	
ea180	Local	30	0	0	0	0	0	620	1	
ea180	Local	31	0	1	0	1	1	667	1	
ea180	Local	32	0	1	1	1	1	801	1	
ea180	Global	1	1	0	1	0	0	1244	1	
ea180	Global	2	1	0	1	1	1	739	1	
ea180	Global	3	1	0	1	1	1	801	1	
ea180	Global	4	1	1	0	0	1	821	1	
ea180	Global	5	1	1	0	1	0	683	1	
ea180	Global	6	1	0	0	1	1	746	1	
ea180	Global	7	1	1	1	0	1	791	1	
ea180	Global	8	1	1	1	1	1	658	1	
ea180	Global	9	1	0	0	0	1	670	1	
ea180	Global	10	1	1	1	0	0	739	1	
ea180	Global	11	1	0	0	0	1	665	1	
ea180	Global	12	1	1	0	1	0	678	1	
ea180	Global	13	1	0	1	1	0	740	1	
ea180	Global	14	1	1	1	0	0	609	1	
ea180	Global	15	1	0	0	1	0	824	1	
ea180	Global	16	1	1	1	1	1	712	1	
ea180	Global	17	1	0	0	0	1	794	1	
ea180	Global	18	1	0	1	0	0	740	1	
ea180	Global	19	1	0	1	0	1	954	1	
ea180	Global	20	1	1	0	0	1	744	1	
ea180	Global	21	1	0	1	0	1	702	1	
ea180	Global	22	1	1	0	0	1	671	1	
ea180	Global	23	1	0	0	0	1	764	1	
ea180	Global	24	1	0	0	0	1	851	1	
ea180	Global	25	1	0	0	1	1	796	1	
ea180	Global	26	1	0	0	1	1	881	1	
ea180	Global	27	1	0	1	1	0	727	1	
ea180	Global	28	1	1	1	1	0	627	1	
ea180	Global	29	1	0	1	1	1	763	1	
ea180	Global	30	1	1	0	1	1	778	1	
ea180	Global	31	1	1	1	0	0	731	1	
ea180	Global	32	1	1	0	1	0	663	1	
ea180	Local	1	1	1	0	1	1	624	1	
ea180	Local	2	1	0	1	0	0	680	1	
ea180	Local	3	1	0	1	0	0	615	1	
ea180	Local	4	1	0	1	1	1	686	1	
ea180	Local	5	1	0	1	0	0	637	1	
ea180	Local	6	1	0	1	1	0	424	1	
ea180	Local	7	1	1	0	0	0	577	1	
ea180	Local	8	1	0	1	1	0	595	1	
ea180	Local	9	1	0	0	0	0	648	1	
ea180	Local	10	1	1	0	0	1	691	1	
ea180	Local	11	1	1	0	1	0	602	1	
ea180	Local	12	1	0	0	0	1	679	1	
ea180	Local	13	1	0	0	1	1	756	1	
ea180	Local	14	1	0	1	0	0	692	1	
ea180	Local	15	1	1	1	1	0	747	1	
ea180	Local	16	1	0	1	1	1	776	1	
ea180	Local	17	1	0	1	1	0	681	1	
ea180	Local	18	1	1	1	0	0	776	1	
ea180	Local	19	1	0	1	1	0	769	1	
ea180	Local	20	1	0	1	0	0	730	1	
ea180	Local	21	1	1	1	0	0	806	1	
ea180	Local	22	1	0	0	1	0	706	1	
ea180	Local	23	1	1	1	1	0	763	1	
ea180	Local	24	1	1	0	1	1	722	1	
ea180	Local	25	1	0	1	0	0	645	1	
ea180	Local	26	1	0	0	0	0	663	1	
ea180	Local	27	1	1	0	1	1	731	1	
ea180	Local	28	1	0	0	0	0	647	1	
ea180	Local	29	1	0	0	1	1	681	1	
ea180	Local	30	1	0	0	0	0	624	1	
ea180	Local	31	1	0	0	0	1	744	1	
ea180	Local	32	1	1	0	1	0	638	1	
