Média de SCor	Rótulos de Coluna															
	Global		Global Total	Local		Local Total	Total geral									
Rótulos de Linha	GLS	LS		GLS	LS											
Cong	1,00	1,00	1,00	1,00	1,00	1,00	1,00									
Incon	1,00	1,00	1,00	1,00	1,00	1,00	1,00									
Total geral	1,00	1,00	1,00	1,00	1,00	1,00	1,00									
																
																
									ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
	rt	SDev	CCor	UCor					1,00	1,00	1,00	1,00	1,00	1,00	1,00	1,00
	516.9	49.67	15	16	0	0	0		516,90	549,00	585,80	651,20	625,10	671,10	575,60	659,60
	549	44.73	15	16	0	0	1									
	585.8	51.14	15	16	0	1	0									
	651.2	85.7	15	16	0	1	1									
	625.1	118.1	15	16	1	0	0									
	671.1	83.58	16	16	1	0	1									
	575.6	81.92	16	16	1	1	0									
	659.6	80.27	16	16	1	1	1									
