SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
er98	Global	1	1	1	1	0	1	1259	1	
er98	Global	2	1	1	1	0	1	636	1	
er98	Global	3	1	0	1	1	0	676	1	
er98	Global	4	1	0	1	1	1	602	1	
er98	Global	5	1	0	1	0	0	671	1	
er98	Global	6	1	1	1	1	0	684	1	
er98	Global	7	1	0	0	0	0	523	1	
er98	Global	8	1	0	1	0	0	648	1	
er98	Global	9	1	1	1	0	0	627	1	
er98	Global	10	1	1	1	1	1	587	1	
er98	Global	11	1	1	1	1	0	951	1	
er98	Global	12	1	0	0	0	0	515	1	
er98	Global	13	1	1	0	0	0	519	1	
er98	Global	14	1	1	1	0	0	642	1	
er98	Global	15	1	0	0	0	1	540	1	
er98	Global	16	1	1	0	1	1	507	1	
er98	Global	17	1	0	0	0	0	551	1	
er98	Global	18	1	1	0	1	0	679	1	
er98	Global	19	1	0	0	1	0	684	1	
er98	Global	20	1	0	0	1	1	403	1	
er98	Global	21	1	1	0	0	0	394	1	
er98	Global	22	1	1	1	0	1	624	1	
er98	Global	23	1	0	1	1	1	521	1	
er98	Global	24	1	1	0	1	1	460	1	
er98	Global	25	1	0	1	1	0	761	1	
er98	Global	26	1	1	0	0	1	504	1	
er98	Global	27	1	0	0	0	1	578	1	
er98	Global	28	1	1	0	1	1	596	1	
er98	Global	29	1	1	1	0	0	633	1	
er98	Global	30	1	0	0	1	1	482	1	
er98	Global	31	1	1	0	1	0	610	1	
er98	Global	32	1	0	1	1	1	561	1	
er98	Local	1	1	0	0	0	0	1799	1	
er98	Local	2	1	0	0	0	0	612	1	
er98	Local	3	1	1	0	0	1	427	1	
er98	Local	4	1	0	0	1	0	629	1	
er98	Local	5	1	0	0	1	0	613	1	
er98	Local	6	1	0	1	0	0	884	1	
er98	Local	7	1	1	0	1	1	410	1	
er98	Local	8	1	1	1	1	1	1194	1	
er98	Local	9	1	1	1	1	0	818	1	
er98	Local	10	1	1	1	1	1	952	1	
er98	Local	11	1	1	0	0	0	942	1	
er98	Local	12	1	1	1	1	1	635	1	
er98	Local	13	1	0	1	0	0	588	1	
er98	Local	14	1	1	0	0	1	911	1	
er98	Local	15	1	0	1	0	1	600	1	
er98	Local	16	1	1	0	1	0	390	1	
er98	Local	17	1	1	1	0	0	1290	1	
er98	Local	18	1	1	1	1	1	406	1	
er98	Local	19	1	1	1	0	1	1109	1	
er98	Local	20	1	1	1	0	1	571	1	
er98	Local	21	1	1	0	1	1	405	1	
er98	Local	22	1	0	0	1	0	700	1	
er98	Local	23	1	0	0	1	0	1276	1	
er98	Local	24	1	1	1	1	0	422	1	
er98	Local	25	1	0	1	1	1	472	1	
er98	Local	26	1	0	1	0	0	1207	1	
er98	Local	27	1	1	1	0	0	713	1	
er98	Local	28	1	1	0	0	0	467	1	
er98	Local	29	1	1	0	1	1	458	1	
er98	Local	30	1	0	1	1	1	446	1	
er98	Local	31	1	1	0	0	1	362	1	
er98	Local	32	1	0	0	0	0	395	1	
er98	Global	1	0	1	1	0	0	1058	1	
er98	Global	2	0	1	0	0	0	708	1	
er98	Global	3	0	1	1	1	0	468	1	
er98	Global	4	0	0	0	0	0	427	1	
er98	Global	5	0	1	1	0	0	564	1	
er98	Global	6	0	1	1	1	0	557	1	
er98	Global	7	0	1	0	1	1	573	1	
er98	Global	8	0	1	0	0	0	639	1	
er98	Global	9	0	1	1	0	1	705	1	
er98	Global	10	0	1	0	0	0	786	1	
er98	Global	11	0	1	1	0	1	557	1	
er98	Global	12	0	1	1	0	1	1269	1	
er98	Global	13	0	1	1	1	0	687	1	
er98	Global	14	0	0	0	0	0	422	1	
er98	Global	15	0	1	0	1	0	472	1	
er98	Global	16	0	0	0	1	0	478	1	
er98	Global	17	0	0	1	1	1	639	1	
er98	Global	18	0	0	0	1	1	457	1	
er98	Global	19	0	1	0	0	0	502	1	
er98	Global	20	0	1	1	0	0	519	1	
er98	Global	21	0	1	0	1	1	443	1	
er98	Global	22	0	0	1	0	1	502	1	
er98	Global	23	0	0	1	1	0	360	1	
er98	Global	24	0	1	0	1	1	481	1	
er98	Global	25	0	0	1	1	0	361	1	
er98	Global	26	0	1	0	0	1	395	1	
er98	Global	27	0	0	1	0	0	521	1	
er98	Global	28	0	1	0	1	1	557	1	
er98	Global	29	0	0	1	1	1	557	1	
er98	Global	30	0	0	0	0	0	1077	1	
er98	Global	31	0	1	0	1	0	561	1	
er98	Global	32	0	0	1	1	0	473	1	
er98	Local	1	0	1	0	1	1	150	0	
er98	Local	2	0	1	0	0	0	650	1	
er98	Local	3	0	0	1	0	0	813	1	
er98	Local	4	0	1	1	1	0	618	1	
er98	Local	5	0	1	0	1	0	577	1	
er98	Local	6	0	0	0	0	1	659	1	
er98	Local	7	0	0	1	0	1	519	1	
er98	Local	8	0	0	1	1	1	891	1	
er98	Local	9	0	0	1	0	1	697	1	
er98	Local	10	0	0	1	1	0	617	1	
er98	Local	11	0	1	1	0	1	928	1	
er98	Local	12	0	0	0	0	0	555	1	
er98	Local	13	0	0	1	0	0	643	1	
er98	Local	14	0	0	0	1	1	910	1	
er98	Local	15	0	0	1	1	0	647	1	
er98	Local	16	0	0	0	1	1	561	1	
er98	Local	17	0	0	1	0	1	1657	1	
er98	Local	18	0	1	0	0	1	880	1	
er98	Local	19	0	0	0	1	1	1236	1	
er98	Local	20	0	1	0	0	1	834	1	
er98	Local	21	0	0	1	0	1	753	1	
er98	Local	22	0	1	0	1	1	150	0	
er98	Local	23	0	1	1	1	0	1163	1	
er98	Local	24	0	1	0	0	0	672	1	
er98	Local	25	0	1	0	1	0	733	1	
er98	Local	26	0	0	1	1	1	673	1	
er98	Local	27	0	0	0	0	0	463	1	
er98	Local	28	0	1	1	1	0	508	1	
er98	Local	29	0	1	1	1	1	695	1	
er98	Local	30	0	1	0	1	0	456	1	
