SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
et193	Global	1	1	0	1	1	0	739	1	
et193	Global	2	1	1	1	0	0	465	1	
et193	Global	3	1	1	1	1	1	583	1	
et193	Global	4	1	1	1	1	1	507	1	
et193	Global	5	1	1	0	0	1	413	1	
et193	Global	6	1	1	1	0	1	453	1	
et193	Global	7	1	0	1	0	1	409	1	
et193	Global	8	1	0	0	0	1	377	1	
et193	Global	9	1	0	1	1	0	396	1	
et193	Global	10	1	1	1	0	0	403	1	
et193	Global	11	1	1	1	0	1	150	0	
et193	Global	12	1	0	0	0	0	641	1	
et193	Global	13	1	1	0	1	1	363	1	
et193	Global	14	1	1	0	1	1	374	1	
et193	Global	15	1	0	0	0	1	337	1	
et193	Global	16	1	1	0	0	1	369	1	
et193	Global	17	1	1	0	0	0	556	1	
et193	Global	18	1	0	1	1	0	701	1	
et193	Global	19	1	0	0	0	1	333	1	
et193	Global	20	1	0	0	1	1	396	1	
et193	Global	21	1	0	1	1	1	586	1	
et193	Global	22	1	0	0	1	1	389	1	
et193	Global	23	1	1	1	0	1	434	1	
et193	Global	24	1	1	0	0	1	396	1	
et193	Global	25	1	1	1	1	1	610	1	
et193	Global	26	1	1	1	0	0	593	1	
et193	Global	27	1	0	0	1	0	573	1	
et193	Global	28	1	1	0	1	1	431	1	
et193	Global	29	1	1	0	1	0	456	1	
et193	Global	30	1	0	1	0	0	461	1	
et193	Global	31	1	1	0	1	0	402	1	
et193	Global	32	1	1	1	1	1	150	0	
et193	Local	1	1	0	1	1	1	649	1	
et193	Local	2	1	0	1	0	0	675	1	
et193	Local	3	1	0	1	0	0	536	1	
et193	Local	4	1	0	0	1	0	495	1	
et193	Local	5	1	0	0	0	1	393	1	
et193	Local	6	1	0	1	1	0	639	1	
et193	Local	7	1	0	1	0	0	482	1	
et193	Local	8	1	1	0	1	1	538	1	
et193	Local	9	1	1	0	0	1	512	1	
et193	Local	10	1	0	0	1	1	476	1	
et193	Local	11	1	1	0	1	0	538	1	
et193	Local	12	1	1	0	0	0	553	1	
et193	Local	13	1	1	1	0	1	449	1	
et193	Local	14	1	1	1	1	0	637	1	
et193	Local	15	1	1	1	0	0	511	1	
et193	Local	16	1	0	0	0	1	490	1	
et193	Local	17	1	0	1	1	1	466	1	
et193	Local	18	1	0	1	0	1	393	1	
et193	Local	19	1	1	0	1	0	503	1	
et193	Local	20	1	1	0	1	0	385	1	
et193	Local	21	1	1	0	0	0	446	1	
et193	Local	22	1	1	1	0	0	769	1	
et193	Local	23	1	1	1	1	1	490	1	
et193	Local	24	1	0	1	1	1	562	1	
et193	Local	25	1	0	0	1	0	498	1	
et193	Local	26	1	1	0	0	1	340	1	
et193	Local	27	1	1	0	1	0	420	1	
et193	Local	28	1	0	1	1	1	444	1	
et193	Local	29	1	1	0	0	1	463	1	
et193	Local	30	1	0	1	1	1	436	1	
et193	Local	31	1	1	0	0	0	463	1	
et193	Local	32	1	1	1	0	1	492	1	
et193	Global	1	0	0	1	0	1	150	0	
et193	Global	2	0	1	0	1	0	690	1	
et193	Global	3	0	1	0	0	0	754	1	
et193	Global	4	0	1	0	1	0	425	1	
et193	Global	5	0	1	1	1	1	538	1	
et193	Global	6	0	1	0	0	0	505	1	
et193	Global	7	0	0	1	1	0	491	1	
et193	Global	8	0	0	1	0	1	523	1	
et193	Global	9	0	1	0	0	1	416	1	
et193	Global	10	0	0	0	1	1	368	1	
et193	Global	11	0	1	1	1	1	427	1	
et193	Global	12	0	0	0	0	1	453	1	
et193	Global	13	0	1	0	0	0	466	1	
et193	Global	14	0	1	1	1	1	472	1	
et193	Global	15	0	0	1	1	0	519	1	
et193	Global	16	0	1	1	0	1	322	1	
et193	Global	17	0	0	0	0	1	424	1	
et193	Global	18	0	1	1	0	0	522	1	
et193	Global	19	0	0	0	0	1	407	1	
et193	Global	20	0	1	1	0	1	511	1	
et193	Global	21	0	0	1	0	0	450	1	
et193	Global	22	0	0	0	1	1	391	1	
et193	Global	23	0	1	1	1	1	588	1	
et193	Global	24	0	0	1	0	0	624	1	
et193	Global	25	0	1	0	0	0	616	1	
et193	Global	26	0	0	1	1	0	439	1	
et193	Global	27	0	1	0	1	0	442	1	
et193	Global	28	0	0	0	1	0	574	1	
et193	Global	29	0	0	1	0	1	528	1	
et193	Global	30	0	0	0	1	1	445	1	
et193	Global	31	0	1	1	1	1	400	1	
et193	Global	32	0	1	0	1	0	486	1	
et193	Local	1	0	0	0	0	1	1165	1	
et193	Local	2	0	1	1	0	0	618	1	
et193	Local	3	0	1	1	1	1	593	1	
et193	Local	4	0	1	0	0	0	501	1	
et193	Local	5	0	1	0	0	0	582	1	
et193	Local	6	0	0	1	0	0	546	1	
et193	Local	7	0	1	1	1	0	657	1	
