SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
fb169	Global	1	0	0	0	1	0	359	1	
fb169	Global	2	0	1	1	1	0	489	1	
fb169	Global	3	0	1	1	1	0	425	1	
fb169	Global	4	0	1	1	1	1	322	1	
fb169	Global	5	0	1	0	1	1	464	1	
fb169	Global	6	0	1	0	0	0	327	1	
fb169	Global	7	0	0	1	1	0	373	1	
fb169	Global	8	0	1	1	1	0	384	1	
fb169	Global	9	0	0	1	0	0	509	1	
fb169	Global	10	0	1	0	1	0	360	1	
fb169	Global	11	0	0	1	1	1	522	1	
fb169	Global	12	0	0	1	0	0	375	1	
fb169	Global	13	0	1	1	0	0	370	1	
fb169	Global	14	0	0	1	1	1	357	1	
fb169	Global	15	0	1	1	0	0	358	1	
fb169	Global	16	0	0	0	0	0	344	1	
fb169	Global	17	0	1	0	0	0	320	1	
fb169	Global	18	0	1	0	1	0	396	1	
fb169	Global	19	0	1	0	0	0	330	1	
fb169	Global	20	0	0	0	1	0	377	1	
fb169	Global	21	0	1	1	1	1	316	1	
fb169	Global	22	0	0	0	1	0	248	1	
fb169	Global	23	0	0	1	0	0	444	1	
fb169	Global	24	0	0	0	0	1	280	1	
fb169	Global	25	0	1	0	1	0	345	1	
fb169	Global	26	0	0	0	0	1	297	1	
fb169	Global	27	0	0	1	0	0	340	1	
fb169	Global	28	0	1	0	1	0	347	1	
fb169	Global	29	0	1	0	0	1	291	1	
fb169	Global	30	0	1	1	0	0	276	1	
fb169	Global	31	0	1	0	0	0	364	1	
fb169	Global	32	0	0	1	0	0	351	1	
fb169	Local	1	0	1	1	0	0	599	1	
fb169	Local	2	0	0	1	0	0	613	1	
fb169	Local	3	0	1	0	1	0	388	1	
fb169	Local	4	0	0	1	0	1	424	1	
fb169	Local	5	0	0	1	0	1	466	1	
fb169	Local	6	0	0	1	1	1	648	1	
fb169	Local	7	0	1	1	0	1	475	1	
fb169	Local	8	0	1	0	0	0	441	1	
fb169	Local	9	0	0	0	0	0	348	1	
fb169	Local	10	0	0	1	0	0	150	0	
fb169	Local	11	0	1	0	1	1	338	1	
fb169	Local	12	0	0	1	1	0	514	1	
fb169	Local	13	0	1	0	1	1	398	1	
fb169	Local	14	0	0	0	0	1	404	1	
fb169	Local	15	0	1	0	0	0	314	1	
fb169	Local	16	0	1	0	1	0	375	1	
fb169	Local	17	0	1	1	0	1	150	0	
fb169	Local	18	0	0	1	1	1	418	1	
fb169	Local	19	0	1	0	0	1	466	1	
fb169	Local	20	0	1	0	1	0	336	1	
fb169	Local	21	0	1	1	1	0	512	1	
fb169	Local	22	0	1	0	1	1	316	1	
fb169	Local	23	0	1	1	1	0	424	1	
fb169	Local	24	0	0	1	1	0	150	0	
fb169	Local	25	0	0	1	1	1	432	1	
fb169	Local	26	0	1	0	1	1	529	1	
fb169	Local	27	0	0	1	0	0	582	1	
fb169	Local	28	0	1	1	1	1	362	1	
fb169	Local	29	0	1	0	0	0	308	1	
fb169	Local	30	0	0	0	1	0	424	1	
fb169	Local	31	0	1	0	0	0	402	1	
fb169	Local	32	0	1	0	0	1	304	1	
fb169	Global	1	1	0	0	1	1	367	1	
fb169	Global	2	1	0	1	0	1	450	1	
fb169	Global	3	1	1	1	1	1	150	0	
fb169	Global	4	1	0	1	0	0	549	1	
fb169	Global	5	1	0	0	1	0	388	1	
fb169	Global	6	1	0	0	0	1	296	1	
fb169	Global	7	1	1	0	0	0	419	1	
fb169	Global	8	1	1	0	0	0	299	1	
fb169	Global	9	1	0	0	1	0	286	1	
fb169	Global	10	1	0	0	1	0	343	1	
fb169	Global	11	1	1	1	0	1	407	1	
fb169	Global	12	1	1	1	1	1	471	1	
fb169	Global	13	1	0	0	1	1	366	1	
fb169	Global	14	1	1	1	1	0	150	0	
fb169	Global	15	1	1	0	1	0	458	1	
fb169	Global	16	1	0	0	0	0	351	1	
fb169	Global	17	1	1	0	1	0	369	1	
fb169	Global	18	1	0	0	0	0	356	1	
fb169	Global	19	1	0	1	0	0	150	0	
fb169	Global	20	1	0	0	0	0	370	1	
fb169	Global	21	1	1	1	0	0	509	1	
fb169	Global	22	1	0	0	0	1	352	1	
fb169	Global	23	1	0	0	0	0	362	1	
fb169	Global	24	1	1	1	1	0	595	1	
fb169	Global	25	1	0	1	0	0	384	1	
fb169	Global	26	1	0	1	1	0	381	1	
fb169	Global	27	1	0	1	1	0	490	1	
fb169	Global	28	1	0	1	0	0	346	1	
fb169	Global	29	1	0	1	1	0	330	1	
fb169	Global	30	1	0	0	1	0	352	1	
fb169	Global	31	1	1	1	0	0	465	1	
fb169	Global	32	1	0	1	1	1	150	0	
fb169	Local	1	1	0	1	1	1	150	0	
fb169	Local	2	1	1	0	1	1	432	1	
fb169	Local	3	1	1	0	1	0	418	1	
fb169	Local	4	1	1	1	0	0	602	1	
fb169	Local	5	1	0	0	1	0	527	1	
fb169	Local	6	1	1	1	0	1	332	1	
fb169	Local	7	1	1	0	0	0	402	1	
fb169	Local	8	1	1	1	1	0	569	1	
fb169	Local	9	1	0	1	1	0	483	1	
fb169	Local	10	1	0	0	1	1	323	1	
fb169	Local	11	1	1	0	0	1	353	1	
fb169	Local	12	1	1	1	0	1	370	1	
fb169	Local	13	1	0	0	0	1	589	1	
fb169	Local	14	1	0	1	0	1	150	0	
fb169	Local	15	1	0	1	1	0	426	1	
fb169	Local	16	1	0	1	1	0	412	1	
fb169	Local	17	1	1	1	0	1	396	1	
fb169	Local	18	1	0	1	0	0	434	1	
fb169	Local	19	1	0	1	1	0	540	1	
fb169	Local	20	1	0	0	1	0	379	1	
fb169	Local	21	1	0	0	1	0	415	1	
fb169	Local	22	1	1	1	1	0	671	1	
fb169	Local	23	1	0	0	0	1	373	1	
fb169	Local	24	1	0	0	0	1	344	1	
fb169	Local	25	1	0	0	1	1	328	1	
fb169	Local	26	1	1	1	1	0	310	1	
fb169	Local	27	1	0	0	0	0	370	1	
fb169	Local	28	1	0	0	0	0	349	1	
fb169	Local	29	1	1	0	1	0	319	1	
fb169	Local	30	1	0	1	0	1	309	1	
fb169	Local	31	1	1	1	0	1	353	1	
fb169	Local	32	1	0	0	0	0	323	1	
