SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
fg115	Global	1	1	1	0	0	0	1311	1	
fg115	Global	2	1	0	0	0	1	580	1	
fg115	Global	3	1	1	1	1	0	150	0	
fg115	Global	4	1	0	0	1	1	353	1	
fg115	Global	5	1	1	1	0	0	731	1	
fg115	Global	6	1	0	0	0	1	391	1	
fg115	Global	7	1	1	1	1	1	820	1	
fg115	Global	8	1	1	1	0	1	561	1	
fg115	Global	9	1	0	1	0	1	482	1	
fg115	Global	10	1	0	0	0	0	434	1	
fg115	Global	11	1	1	1	0	0	556	1	
fg115	Global	12	1	1	0	1	1	468	1	
fg115	Global	13	1	0	0	0	0	642	1	
fg115	Global	14	1	0	1	0	1	460	1	
fg115	Global	15	1	0	0	1	1	457	1	
fg115	Global	16	1	1	1	1	0	470	1	
fg115	Global	17	1	1	0	1	1	493	1	
fg115	Global	18	1	1	1	1	1	543	1	
fg115	Global	19	1	1	1	0	0	453	1	
fg115	Global	20	1	0	0	1	1	346	1	
fg115	Global	21	1	0	1	1	0	1242	1	
fg115	Global	22	1	0	0	0	0	433	1	
fg115	Global	23	1	1	1	1	0	931	1	
fg115	Global	24	1	1	0	0	0	573	1	
fg115	Global	25	1	1	1	0	0	432	1	
fg115	Global	26	1	0	0	1	0	329	1	
fg115	Global	27	1	0	1	1	1	455	1	
fg115	Global	28	1	0	0	1	1	332	1	
fg115	Global	29	1	1	1	1	1	482	1	
fg115	Global	30	1	1	0	1	0	499	1	
fg115	Global	31	1	0	0	0	0	404	1	
fg115	Global	32	1	0	1	0	0	475	1	
fg115	Local	1	1	1	0	1	1	589	1	
fg115	Local	2	1	1	1	0	0	513	1	
fg115	Local	3	1	0	1	0	1	628	1	
fg115	Local	4	1	1	1	1	0	524	1	
fg115	Local	5	1	0	1	0	1	394	1	
fg115	Local	6	1	0	1	0	1	456	1	
fg115	Local	7	1	0	1	1	1	341	1	
fg115	Local	8	1	0	1	1	1	365	1	
fg115	Local	9	1	0	1	1	0	448	1	
fg115	Local	10	1	0	1	0	1	547	1	
fg115	Local	11	1	1	0	0	1	418	1	
fg115	Local	12	1	1	0	0	1	378	1	
fg115	Local	13	1	1	0	0	0	517	1	
fg115	Local	14	1	0	1	0	1	488	1	
fg115	Local	15	1	1	1	1	1	504	1	
fg115	Local	16	1	0	1	1	0	506	1	
fg115	Local	17	1	0	0	1	0	476	1	
fg115	Local	18	1	0	0	1	1	650	1	
fg115	Local	19	1	0	1	1	1	397	1	
fg115	Local	20	1	0	0	0	0	555	1	
fg115	Local	21	1	1	0	1	0	387	1	
fg115	Local	22	1	0	0	0	0	320	1	
fg115	Local	23	1	0	1	0	0	316	1	
fg115	Local	24	1	0	0	1	0	345	1	
fg115	Local	25	1	1	0	0	1	553	1	
fg115	Local	26	1	1	0	1	0	505	1	
fg115	Local	27	1	1	0	0	0	363	1	
fg115	Local	28	1	0	1	1	1	532	1	
fg115	Local	29	1	0	0	1	1	321	1	
fg115	Local	30	1	0	1	0	0	480	1	
fg115	Local	31	1	1	0	1	1	448	1	
fg115	Local	32	1	0	0	0	0	395	1	
fg115	Global	1	0	0	1	1	0	512	1	
fg115	Global	2	0	1	0	1	1	468	1	
fg115	Global	3	0	1	1	0	0	570	1	
fg115	Global	4	0	1	0	0	0	500	1	
fg115	Global	5	0	0	1	1	1	438	1	
fg115	Global	6	0	0	1	1	1	457	1	
fg115	Global	7	0	1	0	1	1	406	1	
fg115	Global	8	0	0	0	1	0	453	1	
fg115	Global	9	0	1	0	1	0	553	1	
fg115	Global	10	0	0	1	0	1	498	1	
fg115	Global	11	0	1	0	0	0	444	1	
fg115	Global	12	0	1	0	0	0	391	1	
fg115	Global	13	0	1	0	0	0	388	1	
fg115	Global	14	0	0	0	0	0	376	1	
fg115	Global	15	0	1	1	1	1	539	1	
fg115	Global	16	0	1	0	0	1	378	1	
fg115	Global	17	0	0	1	0	1	359	1	
fg115	Global	18	0	0	1	0	0	488	1	
fg115	Global	19	0	0	0	1	0	360	1	
fg115	Global	20	0	0	0	0	0	322	1	
fg115	Global	21	0	0	1	1	1	448	1	
fg115	Global	22	0	0	0	0	0	443	1	
fg115	Global	23	0	0	1	1	1	486	1	
fg115	Global	24	0	0	1	1	1	399	1	
fg115	Global	25	0	1	1	0	1	365	1	
fg115	Global	26	0	0	0	1	0	424	1	
fg115	Global	27	0	0	1	0	1	434	1	
fg115	Global	28	0	1	1	1	0	427	1	
fg115	Global	29	0	1	0	1	1	461	1	
fg115	Global	30	0	0	0	1	0	458	1	
fg115	Global	31	0	0	1	0	1	447	1	
fg115	Global	32	0	0	1	0	1	394	1	
fg115	Local	1	0	1	1	1	0	773	1	
fg115	Local	2	0	1	1	0	0	606	1	
fg115	Local	3	0	1	0	1	1	427	1	
fg115	Local	4	0	1	0	0	1	381	1	
fg115	Local	5	0	1	0	0	0	481	1	
fg115	Local	6	0	0	1	0	1	497	1	
fg115	Local	7	0	0	0	1	1	387	1	
fg115	Local	8	0	0	1	0	0	624	1	
fg115	Local	9	0	1	0	1	1	552	1	
fg115	Local	10	0	0	0	0	1	433	1	
