Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	0	1		0	1		
0	1.00	0.94	0.97	1.00	1.00	1.00	0.98
1	0.88	1.00	0.94	0.94	0.94	0.94	0.94
Grand Total	0.94	0.97	0.95	0.97	0.97	0.97	0.96
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	0.88	0.94	1.00	1.00	0.94	1.00	0.94
364.4	394.7	393.9	456.8	441.8	510.4	353.5	383.1
							
							
							
							
rt	SDev	CCor	UCor				
364.4	46.2	15	16	0	0	0	
394.7	68.28	14	14	0	0	1	
393.9	77.77	15	15	0	1	0	
456.8	89.78	15	16	0	1	1	
441.8	68.04	16	16	1	0	0	
510.4	95.49	14	15	1	0	1	
353.5	54.16	15	16	1	1	0	
383.1	64.25	15	15	1	1	1	
