SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
gj95	Global	1	1	0	1	0	1	810	1	
gj95	Global	2	1	1	0	0	0	672	1	
gj95	Global	3	1	0	1	1	0	669	1	
gj95	Global	4	1	1	1	0	1	667	1	
gj95	Global	5	1	1	1	1	1	664	1	
gj95	Global	6	1	0	0	1	1	588	1	
gj95	Global	7	1	0	0	1	0	464	1	
gj95	Global	8	1	1	0	1	1	548	1	
gj95	Global	9	1	1	1	1	1	571	1	
gj95	Global	10	1	0	1	1	0	525	1	
gj95	Global	11	1	1	1	1	0	586	1	
gj95	Global	12	1	0	1	0	1	630	1	
gj95	Global	13	1	0	0	0	1	590	1	
gj95	Global	14	1	1	1	0	1	150	0	
gj95	Global	15	1	1	0	1	1	584	1	
gj95	Global	16	1	0	1	1	0	588	1	
gj95	Global	17	1	0	0	1	1	583	1	
gj95	Global	18	1	0	0	0	1	531	1	
gj95	Global	19	1	0	0	0	1	560	1	
gj95	Global	20	1	0	1	1	1	432	1	
gj95	Global	21	1	0	0	0	1	434	1	
gj95	Global	22	1	1	0	0	0	516	1	
gj95	Global	23	1	0	1	0	1	535	1	
gj95	Global	24	1	0	0	0	0	500	1	
gj95	Global	25	1	0	1	0	1	598	1	
gj95	Global	26	1	0	1	1	1	531	1	
gj95	Global	27	1	0	1	0	0	520	1	
gj95	Global	28	1	1	0	1	1	636	1	
gj95	Global	29	1	0	0	0	1	580	1	
gj95	Global	30	1	1	1	0	1	712	1	
gj95	Global	31	1	0	0	1	0	498	1	
gj95	Global	32	1	0	0	1	1	508	1	
gj95	Local	1	1	0	1	1	0	654	1	
gj95	Local	2	1	0	0	1	0	537	1	
gj95	Local	3	1	1	1	0	1	720	1	
gj95	Local	4	1	0	1	0	1	490	1	
gj95	Local	5	1	1	1	0	0	595	1	
gj95	Local	6	1	1	0	0	1	584	1	
gj95	Local	7	1	1	0	0	1	475	1	
gj95	Local	8	1	1	0	0	1	402	1	
gj95	Local	9	1	0	0	0	1	616	1	
gj95	Local	10	1	1	0	0	0	551	1	
gj95	Local	11	1	1	0	1	0	608	1	
gj95	Local	12	1	0	0	1	0	534	1	
gj95	Local	13	1	1	1	1	1	748	1	
gj95	Local	14	1	0	0	1	0	649	1	
gj95	Local	15	1	0	1	0	0	603	1	
gj95	Local	16	1	1	0	0	0	561	1	
gj95	Local	17	1	0	1	1	1	553	1	
gj95	Local	18	1	1	1	0	0	809	1	
gj95	Local	19	1	1	0	1	1	631	1	
gj95	Local	20	1	1	1	0	1	584	1	
