SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
glr54	Global	1	1	0	1	1	0	1439	1	
glr54	Global	2	1	1	0	1	0	740	1	
glr54	Global	3	1	0	1	0	1	609	1	
glr54	Global	4	1	0	0	0	1	616	1	
glr54	Global	5	1	1	0	0	0	839	1	
glr54	Global	6	1	1	0	1	1	512	1	
glr54	Global	7	1	1	1	1	0	708	1	
glr54	Global	8	1	0	0	0	0	652	1	
glr54	Global	9	1	1	1	0	1	832	1	
glr54	Global	10	1	0	0	0	1	992	1	
glr54	Global	11	1	0	1	0	0	753	1	
glr54	Global	12	1	0	1	1	0	1216	1	
glr54	Global	13	1	0	1	1	0	548	1	
glr54	Global	14	1	1	0	1	1	715	1	
glr54	Global	15	1	0	0	1	0	461	1	
glr54	Global	16	1	0	1	0	0	666	1	
glr54	Global	17	1	1	0	1	1	664	1	
glr54	Global	18	1	1	0	0	0	611	1	
glr54	Global	19	1	0	0	0	1	626	1	
glr54	Global	20	1	1	1	0	1	635	1	
glr54	Global	21	1	1	1	1	0	683	1	
glr54	Global	22	1	1	0	1	0	666	1	
glr54	Global	23	1	1	0	1	0	624	1	
glr54	Global	24	1	1	1	0	1	552	1	
glr54	Global	25	1	1	1	0	1	625	1	
glr54	Global	26	1	1	1	1	0	737	1	
glr54	Global	27	1	1	0	1	1	615	1	
glr54	Global	28	1	1	0	0	1	382	1	
glr54	Global	29	1	1	1	0	0	499	1	
glr54	Global	30	1	0	1	1	1	620	1	
glr54	Global	31	1	1	1	1	0	699	1	
glr54	Global	32	1	0	0	0	1	396	1	
glr54	Local	1	1	0	1	0	1	672	1	
glr54	Local	2	1	0	0	0	0	542	1	
glr54	Local	3	1	1	0	0	0	460	1	
glr54	Local	4	1	0	0	1	1	481	1	
glr54	Local	5	1	0	0	0	0	393	1	
glr54	Local	6	1	0	1	0	1	488	1	
glr54	Local	7	1	1	0	0	0	456	1	
glr54	Local	8	1	0	0	0	0	741	1	
glr54	Local	9	1	1	0	1	1	426	1	
glr54	Local	10	1	0	1	1	0	150	0	
glr54	Local	11	1	0	0	1	0	483	1	
glr54	Local	12	1	1	1	0	1	715	1	
glr54	Local	13	1	0	1	0	0	621	1	
glr54	Local	14	1	1	1	1	0	556	1	
glr54	Local	15	1	1	0	1	1	844	1	
glr54	Local	16	1	0	0	0	0	574	1	
glr54	Local	17	1	0	1	1	1	832	1	
glr54	Local	18	1	1	1	1	1	599	1	
glr54	Local	19	1	0	0	1	1	556	1	
glr54	Local	20	1	0	0	0	1	533	1	
glr54	Local	21	1	1	0	1	0	458	1	
glr54	Local	22	1	0	0	0	1	519	1	
glr54	Local	23	1	0	1	1	1	402	1	
glr54	Local	24	1	0	1	0	1	377	1	
glr54	Local	25	1	1	1	1	1	411	1	
glr54	Local	26	1	1	1	0	1	356	1	
glr54	Local	27	1	1	1	0	0	645	1	
glr54	Local	28	1	1	1	1	1	727	1	
glr54	Local	29	1	1	1	0	0	699	1	
glr54	Local	30	1	1	1	1	1	572	1	
glr54	Local	31	1	1	0	1	1	510	1	
glr54	Local	32	1	1	0	1	0	521	1	
glr54	Global	1	0	0	0	0	0	2282	1	
