SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
hj191	Global	1	0	1	1	1	1	846	1	
hj191	Global	2	0	1	1	0	0	150	0	
hj191	Global	3	0	1	0	1	1	585	1	
hj191	Global	4	0	0	0	0	0	396	1	
hj191	Global	5	0	1	1	1	1	651	1	
hj191	Global	6	0	0	1	0	0	439	1	
hj191	Global	7	0	0	1	0	0	658	1	
hj191	Global	8	0	1	0	0	0	478	1	
hj191	Global	9	0	1	1	0	1	572	1	
hj191	Global	10	0	1	1	1	1	414	1	
hj191	Global	11	0	1	1	0	0	542	1	
hj191	Global	12	0	0	1	0	0	429	1	
hj191	Global	13	0	0	0	1	1	638	1	
hj191	Global	14	0	0	0	0	0	513	1	
hj191	Global	15	0	0	0	1	1	676	1	
hj191	Global	16	0	1	1	1	0	457	1	
hj191	Global	17	0	1	0	0	0	414	1	
hj191	Global	18	0	1	0	1	0	398	1	
hj191	Global	19	0	0	0	0	1	565	1	
hj191	Global	20	0	1	0	0	0	471	1	
hj191	Global	21	0	0	1	1	1	485	1	
hj191	Global	22	0	1	0	0	1	413	1	
hj191	Global	23	0	0	1	0	1	525	1	
hj191	Global	24	0	0	0	1	1	370	1	
hj191	Global	25	0	0	0	1	0	653	1	
hj191	Global	26	0	0	1	1	0	569	1	
hj191	Global	27	0	1	1	1	1	403	1	
hj191	Global	28	0	0	0	1	1	402	1	
hj191	Global	29	0	0	0	1	1	592	1	
hj191	Global	30	0	1	1	1	1	404	1	
hj191	Global	31	0	0	0	0	1	482	1	
hj191	Global	32	0	1	1	0	0	458	1	
hj191	Local	1	0	0	0	0	0	522	1	
hj191	Local	2	0	0	1	0	1	552	1	
hj191	Local	3	0	1	0	0	1	696	1	
hj191	Local	4	0	0	0	1	0	353	1	
hj191	Local	5	0	1	0	0	1	490	1	
hj191	Local	6	0	0	1	1	0	642	1	
hj191	Local	7	0	0	1	0	0	460	1	
hj191	Local	8	0	1	0	1	0	337	1	
hj191	Local	9	0	1	1	1	0	617	1	
hj191	Local	10	0	1	1	0	0	400	1	
hj191	Local	11	0	1	0	1	1	446	1	
hj191	Local	12	0	0	1	1	0	150	0	
hj191	Local	13	0	0	0	0	0	411	1	
hj191	Local	14	0	1	0	1	1	571	1	
hj191	Local	15	0	1	1	1	1	150	0	
hj191	Local	16	0	1	1	0	0	610	1	
hj191	Local	17	0	1	0	0	1	529	1	
hj191	Local	18	0	1	0	1	0	534	1	
hj191	Local	19	0	0	1	0	1	731	1	
hj191	Local	20	0	1	1	0	1	583	1	
hj191	Local	21	0	1	1	1	1	611	1	
hj191	Local	22	0	0	1	1	0	554	1	
hj191	Local	23	0	0	0	1	1	602	1	
hj191	Local	24	0	1	1	1	1	599	1	
hj191	Local	25	0	1	1	0	1	628	1	
hj191	Local	26	0	0	1	0	1	493	1	
hj191	Local	27	0	0	0	0	0	583	1	
hj191	Local	28	0	1	0	1	0	458	1	
hj191	Local	29	0	0	0	0	0	447	1	
hj191	Local	30	0	0	0	0	1	499	1	
