SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
hkc123	Global	1	0	1	0	0	1	1536	1	
hkc123	Global	2	0	0	0	1	0	1368	1	
hkc123	Global	3	0	0	1	0	1	1268	1	
hkc123	Global	4	0	0	1	0	1	1317	1	
hkc123	Global	5	0	1	0	1	0	1124	1	
hkc123	Global	6	0	0	1	1	1	1244	1	
hkc123	Global	7	0	0	1	0	0	427	1	
hkc123	Global	8	0	1	0	1	0	1156	1	
hkc123	Global	9	0	1	1	1	1	1242	1	
hkc123	Global	10	0	0	1	1	1	1240	1	
hkc123	Global	11	0	0	0	1	0	831	1	
hkc123	Global	12	0	0	0	0	0	1143	1	
hkc123	Global	13	0	1	0	0	0	906	1	
hkc123	Global	14	0	0	0	0	1	1106	1	
hkc123	Global	15	0	0	0	1	0	993	1	
hkc123	Global	16	0	1	0	1	0	882	1	
hkc123	Global	17	0	1	0	1	1	992	1	
hkc123	Global	18	0	0	1	1	1	150	0	
hkc123	Global	19	0	0	0	0	0	884	1	
hkc123	Global	20	0	0	0	0	1	1050	1	
hkc123	Global	21	0	1	1	0	1	1050	1	
hkc123	Global	22	0	1	1	1	0	1010	1	
hkc123	Global	23	0	0	1	1	0	1007	1	
hkc123	Global	24	0	0	1	0	1	1098	1	
hkc123	Global	25	0	1	1	1	0	905	1	
hkc123	Global	26	0	1	0	0	1	969	1	
hkc123	Global	27	0	1	1	0	0	416	1	
hkc123	Global	28	0	1	0	1	0	1104	1	
hkc123	Global	29	0	1	1	0	0	927	1	
hkc123	Global	30	0	0	1	1	0	906	1	
hkc123	Global	31	0	0	0	0	0	377	1	
hkc123	Global	32	0	1	1	0	1	901	1	
hkc123	Local	1	0	0	1	0	1	1303	1	
hkc123	Local	2	0	0	0	1	0	1332	1	
hkc123	Local	3	0	0	1	0	0	1341	1	
hkc123	Local	4	0	1	1	1	0	1223	1	
hkc123	Local	5	0	0	1	1	1	1299	1	
hkc123	Local	6	0	0	0	0	0	1056	1	
hkc123	Local	7	0	0	1	1	0	1322	1	
hkc123	Local	8	0	0	0	0	1	150	0	
hkc123	Local	9	0	1	0	0	0	625	1	
hkc123	Local	10	0	1	1	1	0	801	1	
hkc123	Local	11	0	0	0	1	1	1085	1	
hkc123	Local	12	0	0	1	1	0	1082	1	
hkc123	Local	13	0	0	0	0	0	1191	1	
hkc123	Local	14	0	1	1	1	1	1344	1	
hkc123	Local	15	0	1	1	0	0	1026	1	
hkc123	Local	16	0	1	1	1	1	1112	1	
hkc123	Local	17	0	1	0	1	1	1353	1	
hkc123	Local	18	0	0	0	0	1	1307	1	
hkc123	Local	19	0	0	1	0	1	1169	1	
hkc123	Local	20	0	1	0	1	0	735	1	
hkc123	Local	21	0	0	1	1	0	1187	1	
hkc123	Local	22	0	1	0	1	0	484	1	
hkc123	Local	23	0	0	1	0	0	540	1	
hkc123	Local	24	0	0	0	1	1	1563	1	
hkc123	Local	25	0	1	0	0	0	598	1	
hkc123	Local	26	0	1	0	0	0	899	1	
hkc123	Local	27	0	1	1	0	0	539	1	
hkc123	Local	28	0	0	1	0	1	1137	1	
hkc123	Local	29	0	1	0	1	1	1307	1	
hkc123	Local	30	0	0	1	0	0	561	1	
hkc123	Local	31	0	0	0	1	1	1265	1	
hkc123	Local	32	0	0	0	0	0	945	1	
hkc123	Global	1	1	0	1	0	0	150	0	
hkc123	Global	2	1	1	0	1	0	1826	1	
hkc123	Global	3	1	0	0	0	0	746	1	
hkc123	Global	4	1	0	0	1	1	1512	1	
hkc123	Global	5	1	1	0	1	1	1292	1	
hkc123	Global	6	1	0	1	0	0	1472	1	
hkc123	Global	7	1	1	0	0	1	1089	1	
hkc123	Global	8	1	0	1	1	0	1182	1	
hkc123	Global	9	1	0	1	0	1	1278	1	
hkc123	Global	10	1	1	1	0	0	1289	1	
hkc123	Global	11	1	1	0	1	1	1244	1	
hkc123	Global	12	1	1	1	1	1	1051	1	
hkc123	Global	13	1	0	1	1	0	675	1	
hkc123	Global	14	1	1	0	0	0	1033	1	
hkc123	Global	15	1	0	0	0	0	671	1	
hkc123	Global	16	1	0	1	1	0	701	1	
hkc123	Global	17	1	0	0	0	1	1317	1	
hkc123	Global	18	1	1	1	0	0	844	1	
hkc123	Global	19	1	1	1	1	1	1246	1	
hkc123	Global	20	1	0	0	1	0	469	1	
hkc123	Global	21	1	1	1	0	0	1339	1	
hkc123	Global	22	1	0	0	1	0	860	1	
hkc123	Global	23	1	0	1	1	0	663	1	
hkc123	Global	24	1	0	1	1	0	426	1	
hkc123	Global	25	1	0	0	1	1	2028	1	
hkc123	Global	26	1	1	0	1	0	531	1	
hkc123	Global	27	1	0	1	0	0	2208	1	
hkc123	Global	28	1	0	1	1	0	589	1	
hkc123	Global	29	1	1	1	0	1	1009	1	
hkc123	Global	30	1	1	0	0	0	404	1	
hkc123	Global	31	1	1	0	0	1	394	1	
hkc123	Global	32	1	1	0	0	0	416	1	
hkc123	Local	1	1	1	0	1	1	1380	1	
hkc123	Local	2	1	1	1	0	1	1498	1	
hkc123	Local	3	1	1	1	0	1	652	1	
hkc123	Local	4	1	0	0	1	1	904	1	
hkc123	Local	5	1	0	0	0	0	1344	1	
hkc123	Local	6	1	1	0	0	0	706	1	
hkc123	Local	7	1	0	0	1	1	763	1	
hkc123	Local	8	1	0	1	0	0	1058	1	
hkc123	Local	9	1	1	0	1	0	836	1	
hkc123	Local	10	1	0	0	0	0	715	1	
hkc123	Local	11	1	0	1	0	0	358	1	
hkc123	Local	12	1	0	1	0	1	1359	1	
hkc123	Local	13	1	1	0	1	1	667	1	
hkc123	Local	14	1	1	0	0	0	657	1	
hkc123	Local	15	1	0	1	1	0	884	1	
hkc123	Local	16	1	0	0	0	1	1450	1	
hkc123	Local	17	1	1	0	1	0	680	1	
hkc123	Local	18	1	1	1	0	1	1335	1	
