SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
hm210	Global	1	1	1	1	1	0	880	1	
hm210	Global	2	1	1	0	0	1	868	1	
hm210	Global	3	1	1	1	0	1	696	1	
hm210	Global	4	1	1	0	0	1	425	1	
hm210	Global	5	1	0	0	1	1	419	1	
hm210	Global	6	1	1	1	0	0	467	1	
hm210	Global	7	1	1	1	0	0	457	1	
hm210	Global	8	1	1	1	0	1	150	0	
hm210	Global	9	1	0	0	1	1	505	1	
hm210	Global	10	1	1	0	1	1	499	1	
hm210	Global	11	1	0	1	0	0	1109	1	
hm210	Global	12	1	0	1	1	1	724	1	
hm210	Global	13	1	1	1	1	1	720	1	
hm210	Global	14	1	1	0	0	0	538	1	
hm210	Global	15	1	1	0	1	1	505	1	
hm210	Global	16	1	1	0	0	0	499	1	
hm210	Global	17	1	1	1	1	0	700	1	
hm210	Global	18	1	1	1	1	0	581	1	
hm210	Global	19	1	1	0	1	1	489	1	
hm210	Global	20	1	1	0	0	0	753	1	
hm210	Global	21	1	1	1	0	1	568	1	
hm210	Global	22	1	1	1	1	0	682	1	
hm210	Global	23	1	1	0	0	0	569	1	
hm210	Global	24	1	0	1	1	1	811	1	
hm210	Global	25	1	0	0	1	1	841	1	
hm210	Global	26	1	0	1	0	1	754	1	
hm210	Global	27	1	0	0	0	0	569	1	
hm210	Global	28	1	1	1	1	1	563	1	
hm210	Global	29	1	1	0	1	0	580	1	
hm210	Global	30	1	0	0	0	1	511	1	
hm210	Global	31	1	1	0	1	0	643	1	
hm210	Global	32	1	1	1	0	1	150	0	
hm210	Local	1	1	1	0	0	0	1206	1	
hm210	Local	2	1	1	0	1	1	472	1	
hm210	Local	3	1	0	0	0	0	606	1	
hm210	Local	4	1	1	0	1	1	475	1	
hm210	Local	5	1	1	1	0	0	450	1	
hm210	Local	6	1	0	1	0	1	431	1	
hm210	Local	7	1	0	0	0	0	360	1	
hm210	Local	8	1	0	1	1	0	150	0	
hm210	Local	9	1	1	0	1	1	560	1	
hm210	Local	10	1	0	0	1	1	505	1	
hm210	Local	11	1	1	0	1	0	666	1	
hm210	Local	12	1	1	1	1	1	600	1	
hm210	Local	13	1	1	0	1	0	789	1	
hm210	Local	14	1	1	1	1	0	150	0	
hm210	Local	15	1	0	1	0	0	751	1	
hm210	Local	16	1	1	1	0	0	652	1	
hm210	Local	17	1	1	1	0	0	616	1	
hm210	Local	18	1	1	0	0	1	527	1	
hm210	Local	19	1	0	0	0	0	596	1	
hm210	Local	20	1	0	1	1	1	633	1	
hm210	Local	21	1	1	0	1	0	1074	1	
hm210	Local	22	1	1	0	0	1	909	1	
hm210	Local	23	1	1	0	1	0	886	1	
hm210	Local	24	1	1	1	1	0	580	1	
hm210	Local	25	1	1	1	0	1	496	1	
hm210	Local	26	1	0	0	0	0	514	1	
hm210	Local	27	1	0	1	1	0	565	1	
hm210	Local	28	1	1	0	0	0	463	1	
hm210	Local	29	1	0	1	1	1	516	1	
hm210	Local	30	1	0	1	0	0	543	1	
hm210	Local	31	1	1	1	1	1	478	1	
hm210	Local	32	1	1	1	0	1	493	1	
hm210	Global	1	0	0	0	1	0	511	1	
hm210	Global	2	0	1	1	0	1	483	1	
hm210	Global	3	0	0	0	0	1	150	0	
hm210	Global	4	0	1	0	1	0	701	1	
hm210	Global	5	0	1	1	1	0	454	1	
hm210	Global	6	0	1	1	1	1	611	1	
hm210	Global	7	0	1	0	1	0	458	1	
hm210	Global	8	0	1	1	0	1	487	1	
hm210	Global	9	0	1	0	1	1	150	0	
hm210	Global	10	0	1	1	1	0	442	1	
hm210	Global	11	0	0	0	1	0	493	1	
hm210	Global	12	0	1	1	1	1	431	1	
hm210	Global	13	0	0	1	1	1	657	1	
hm210	Global	14	0	0	0	0	1	493	1	
hm210	Global	15	0	1	1	1	0	566	1	
hm210	Global	16	0	0	1	0	0	608	1	
hm210	Global	17	0	0	0	0	0	471	1	
hm210	Global	18	0	0	0	0	1	582	1	
hm210	Global	19	0	1	1	0	0	849	1	
hm210	Global	20	0	1	1	0	0	539	1	
hm210	Global	21	0	0	0	0	1	545	1	
hm210	Global	22	0	1	0	0	0	440	1	
hm210	Global	23	0	0	1	0	0	531	1	
hm210	Global	24	0	1	1	0	0	432	1	
hm210	Global	25	0	0	0	1	0	482	1	
hm210	Global	26	0	1	0	0	1	538	1	
hm210	Global	27	0	0	0	0	1	473	1	
hm210	Global	28	0	0	1	1	0	503	1	
hm210	Global	29	0	1	1	1	0	569	1	
hm210	Global	30	0	1	0	1	0	483	1	
hm210	Global	31	0	1	1	0	1	483	1	
hm210	Global	32	0	1	0	1	1	587	1	
hm210	Local	1	0	0	0	0	0	813	1	
hm210	Local	2	0	1	1	0	1	715	1	
hm210	Local	3	0	0	0	0	1	574	1	
hm210	Local	4	0	0	1	0	1	744	1	
hm210	Local	5	0	0	1	1	1	549	1	
hm210	Local	6	0	1	0	1	1	484	1	
hm210	Local	7	0	1	1	1	1	612	1	
hm210	Local	8	0	1	1	1	0	150	0	
hm210	Local	9	0	1	0	0	1	601	1	
hm210	Local	10	0	0	1	0	0	615	1	
hm210	Local	11	0	0	0	1	1	429	1	
hm210	Local	12	0	1	1	0	0	503	1	
hm210	Local	13	0	0	1	1	1	753	1	
hm210	Local	14	0	0	1	1	0	496	1	
hm210	Local	15	0	1	0	1	1	506	1	
hm210	Local	16	0	0	1	0	1	660	1	
hm210	Local	17	0	1	0	0	1	472	1	
hm210	Local	18	0	0	0	1	1	566	1	
hm210	Local	19	0	0	1	1	1	544	1	
hm210	Local	20	0	0	0	0	1	487	1	
hm210	Local	21	0	1	1	1	1	431	1	
hm210	Local	22	0	0	0	1	1	489	1	
hm210	Local	23	0	1	1	0	0	150	0	
