SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
hp73	Global	1	1	1	1	0	1	580	1	
hp73	Global	2	1	1	0	0	1	415	1	
hp73	Global	3	1	0	1	1	0	775	1	
hp73	Global	4	1	0	1	0	1	496	1	
hp73	Global	5	1	0	0	0	1	426	1	
hp73	Global	6	1	1	1	1	0	564	1	
hp73	Global	7	1	1	1	0	1	508	1	
hp73	Global	8	1	1	0	1	1	431	1	
hp73	Global	9	1	0	0	0	0	345	1	
hp73	Global	10	1	0	1	1	1	417	1	
hp73	Global	11	1	1	1	0	1	513	1	
hp73	Global	12	1	1	0	0	0	332	1	
hp73	Global	13	1	0	1	1	1	434	1	
hp73	Global	14	1	0	1	0	1	540	1	
hp73	Global	15	1	1	1	0	1	427	1	
hp73	Global	16	1	0	1	1	0	380	1	
hp73	Global	17	1	0	0	0	0	393	1	
hp73	Global	18	1	1	1	1	1	511	1	
hp73	Global	19	1	1	1	0	1	507	1	
hp73	Global	20	1	1	0	1	1	373	1	
hp73	Global	21	1	0	0	1	1	400	1	
hp73	Global	22	1	0	0	0	0	278	1	
hp73	Global	23	1	1	0	0	0	399	1	
hp73	Global	24	1	0	0	0	1	414	1	
hp73	Global	25	1	0	1	1	0	366	1	
hp73	Global	26	1	1	0	1	1	385	1	
hp73	Global	27	1	0	1	0	1	413	1	
hp73	Global	28	1	0	0	1	0	373	1	
hp73	Global	29	1	0	1	1	1	384	1	
hp73	Global	30	1	1	0	1	1	429	1	
hp73	Global	31	1	0	0	1	0	351	1	
hp73	Global	32	1	0	0	1	0	560	1	
hp73	Local	1	1	0	1	0	1	820	1	
hp73	Local	2	1	1	0	1	0	402	1	
hp73	Local	3	1	0	0	1	0	440	1	
hp73	Local	4	1	0	1	0	0	611	1	
hp73	Local	5	1	0	1	0	1	458	1	
hp73	Local	6	1	0	1	1	0	367	1	
hp73	Local	7	1	1	1	0	0	466	1	
hp73	Local	8	1	1	0	0	0	521	1	
hp73	Local	9	1	0	1	0	0	380	1	
hp73	Local	10	1	1	0	1	0	393	1	
hp73	Local	11	1	1	1	1	1	415	1	
hp73	Local	12	1	1	0	0	0	150	0	
hp73	Local	13	1	0	0	1	1	820	1	
hp73	Local	14	1	0	1	1	0	498	1	
hp73	Local	15	1	1	1	1	1	500	1	
hp73	Local	16	1	0	1	1	0	366	1	
hp73	Local	17	1	1	1	1	0	385	1	
hp73	Local	18	1	1	1	1	1	477	1	
hp73	Local	19	1	1	0	1	0	428	1	
hp73	Local	20	1	1	1	0	1	390	1	
hp73	Local	21	1	0	0	0	0	402	1	
hp73	Local	22	1	0	0	1	0	377	1	
hp73	Local	23	1	1	0	1	1	396	1	
hp73	Local	24	1	1	1	0	1	450	1	
hp73	Local	25	1	0	1	0	0	311	1	
hp73	Local	26	1	1	0	0	0	403	1	
hp73	Local	27	1	0	0	1	1	402	1	
hp73	Local	28	1	1	0	0	1	488	1	
hp73	Local	29	1	1	0	0	0	150	0	
hp73	Local	30	1	0	1	1	0	474	1	
hp73	Local	31	1	0	0	0	0	384	1	
hp73	Local	32	1	0	0	0	1	445	1	
hp73	Global	1	0	1	0	0	0	772	1	
hp73	Global	2	0	1	0	1	1	357	1	
hp73	Global	3	0	0	1	0	0	454	1	
hp73	Global	4	0	1	1	0	0	467	1	
hp73	Global	5	0	0	0	1	1	361	1	
hp73	Global	6	0	1	0	1	1	150	0	
hp73	Global	7	0	1	1	1	0	407	1	
hp73	Global	8	0	0	0	0	0	408	1	
hp73	Global	9	0	1	0	1	0	400	1	
hp73	Global	10	0	1	1	0	0	390	1	
hp73	Global	11	0	0	1	0	0	411	1	
hp73	Global	12	0	1	1	1	1	490	1	
hp73	Global	13	0	0	0	0	1	443	1	
hp73	Global	14	0	1	1	0	1	430	1	
hp73	Global	15	0	1	0	1	1	351	1	
hp73	Global	16	0	1	0	1	0	150	0	
