SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
hs141	Global	1	1	1	1	1	0	150	0	
hs141	Global	2	1	1	0	1	0	581	1	
hs141	Global	3	1	1	0	0	0	449	1	
hs141	Global	4	1	0	1	1	1	508	1	
hs141	Global	5	1	1	1	0	0	503	1	
hs141	Global	6	1	0	1	1	1	593	1	
hs141	Global	7	1	1	0	0	1	359	1	
hs141	Global	8	1	0	0	1	1	424	1	
hs141	Global	9	1	0	0	1	1	570	1	
hs141	Global	10	1	1	1	0	0	532	1	
hs141	Global	11	1	1	0	1	1	561	1	
hs141	Global	12	1	0	1	0	0	561	1	
hs141	Global	13	1	1	0	1	0	553	1	
hs141	Global	14	1	0	0	0	1	554	1	
hs141	Global	15	1	1	0	0	0	602	1	
hs141	Global	16	1	0	0	0	0	471	1	
hs141	Global	17	1	1	1	0	0	150	0	
hs141	Global	18	1	1	1	0	1	537	1	
hs141	Global	19	1	0	1	0	1	528	1	
hs141	Global	20	1	1	0	0	0	413	1	
hs141	Global	21	1	1	0	1	1	150	0	
hs141	Global	22	1	0	1	1	0	577	1	
hs141	Global	23	1	1	0	1	0	395	1	
hs141	Global	24	1	0	1	1	0	554	1	
hs141	Global	25	1	0	0	0	0	394	1	
hs141	Global	26	1	0	1	0	1	544	1	
hs141	Global	27	1	1	1	1	1	535	1	
hs141	Global	28	1	0	1	1	0	628	1	
hs141	Global	29	1	0	1	1	0	573	1	
hs141	Global	30	1	0	1	0	0	519	1	
hs141	Global	31	1	1	0	0	0	402	1	
hs141	Global	32	1	0	0	1	0	440	1	
hs141	Local	1	1	0	1	1	0	609	1	
hs141	Local	2	1	0	0	0	1	464	1	
hs141	Local	3	1	1	1	0	1	588	1	
hs141	Local	4	1	1	0	0	1	600	1	
hs141	Local	5	1	1	0	0	1	509	1	
hs141	Local	6	1	0	1	0	1	649	1	
hs141	Local	7	1	1	1	1	0	571	1	
hs141	Local	8	1	1	1	1	1	605	1	
hs141	Local	9	1	0	0	1	0	482	1	
hs141	Local	10	1	0	1	1	0	506	1	
hs141	Local	11	1	0	1	1	1	492	1	
hs141	Local	12	1	0	1	0	0	428	1	
hs141	Local	13	1	0	1	1	0	398	1	
hs141	Local	14	1	0	1	0	0	604	1	
hs141	Local	15	1	1	0	0	1	529	1	
hs141	Local	16	1	0	0	1	1	519	1	
hs141	Local	17	1	0	0	0	0	482	1	
hs141	Local	18	1	0	1	1	1	150	0	
hs141	Local	19	1	0	0	0	1	599	1	
hs141	Local	20	1	1	1	0	1	597	1	
hs141	Local	21	1	1	1	1	0	522	1	
hs141	Local	22	1	1	0	0	1	751	1	
hs141	Local	23	1	1	0	1	1	3254	1	
