SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
efp114	Global	1	0	0	0	0	0	1738	1	
efp114	Global	2	0	1	1	0	1	489	1	
efp114	Global	3	0	1	1	1	0	833	1	
efp114	Global	4	0	0	0	0	1	657	1	
efp114	Global	5	0	1	1	1	1	524	1	
efp114	Global	6	0	1	0	0	1	489	1	
efp114	Global	7	0	1	0	1	1	418	1	
efp114	Global	8	0	1	1	1	0	754	1	
efp114	Global	9	0	1	1	1	1	953	1	
efp114	Global	10	0	1	1	0	1	879	1	
efp114	Global	11	0	0	1	0	1	755	1	
efp114	Global	12	0	1	0	1	1	395	1	
efp114	Global	13	0	1	0	1	0	393	1	
efp114	Global	14	0	0	0	0	1	575	1	
efp114	Global	15	0	0	0	1	1	409	1	
efp114	Global	16	0	1	1	0	1	385	1	
efp114	Global	17	0	1	1	1	0	598	1	
efp114	Global	18	0	1	1	0	0	499	1	
efp114	Global	19	0	0	0	1	0	597	1	
efp114	Global	20	0	1	0	0	0	618	1	
efp114	Global	21	0	1	0	1	0	489	1	
efp114	Global	22	0	0	1	0	0	401	1	
efp114	Global	23	0	1	1	1	1	496	1	
efp114	Global	24	0	0	1	0	1	858	1	
efp114	Global	25	0	1	0	0	1	436	1	
efp114	Global	26	0	1	0	1	1	512	1	
efp114	Global	27	0	1	1	1	1	371	1	
efp114	Global	28	0	0	0	0	0	614	1	
efp114	Global	29	0	1	1	1	0	845	1	
efp114	Global	30	0	0	0	0	1	486	1	
efp114	Global	31	0	0	1	0	0	702	1	
efp114	Global	32	0	1	0	1	0	439	1	
efp114	Local	1	0	0	0	0	1	792	1	
efp114	Local	2	0	0	0	0	1	779	1	
efp114	Local	3	0	0	0	0	1	644	1	
efp114	Local	4	0	0	1	0	0	830	1	
efp114	Local	5	0	0	1	1	1	845	1	
efp114	Local	6	0	1	1	1	0	702	1	
efp114	Local	7	0	1	1	1	0	655	1	
efp114	Local	8	0	1	1	0	1	851	1	
efp114	Local	9	0	1	0	0	0	636	1	
efp114	Local	10	0	1	0	0	0	644	1	
efp114	Local	11	0	0	1	1	1	903	1	
efp114	Local	12	0	0	1	1	0	990	1	
efp114	Local	13	0	1	0	1	0	480	1	
efp114	Local	14	0	0	0	1	1	664	1	
efp114	Local	15	0	0	1	1	0	596	1	
efp114	Local	16	0	0	0	0	0	689	1	
efp114	Local	17	0	1	1	1	1	680	1	
efp114	Local	18	0	1	0	0	0	639	1	
efp114	Local	19	0	1	0	1	1	873	1	
efp114	Local	20	0	1	0	1	1	638	1	
efp114	Local	21	0	0	1	0	1	1640	1	
efp114	Local	22	0	1	0	1	0	483	1	
efp114	Local	23	0	1	1	0	0	739	1	
efp114	Local	24	0	0	1	1	1	777	1	
efp114	Local	25	0	1	0	1	0	1026	1	
efp114	Local	26	0	0	0	1	0	544	1	
efp114	Local	27	0	0	1	0	0	743	1	
efp114	Local	28	0	1	0	0	0	724	1	
efp114	Local	29	0	1	1	0	0	960	1	
efp114	Local	30	0	0	1	0	0	703	1	
efp114	Local	31	0	1	1	0	1	863	1	
efp114	Local	32	0	0	0	1	1	770	1	
efp114	Global	1	1	1	1	1	1	1060	1	
efp114	Global	2	1	0	0	0	0	750	1	
efp114	Global	3	1	0	1	0	0	995	1	
efp114	Global	4	1	1	0	0	1	686	1	
efp114	Global	5	1	1	1	0	1	982	1	
efp114	Global	6	1	1	1	1	0	967	1	
efp114	Global	7	1	1	0	0	0	479	1	
efp114	Global	8	1	0	1	1	1	543	1	
efp114	Global	9	1	1	0	1	1	550	1	
efp114	Global	10	1	0	0	1	1	444	1	
efp114	Global	11	1	0	0	1	0	632	1	
efp114	Global	12	1	0	0	1	0	512	1	
efp114	Global	13	1	1	0	0	0	556	1	
efp114	Global	14	1	0	0	1	1	580	1	
efp114	Global	15	1	0	1	0	0	632	1	
efp114	Global	16	1	0	0	1	0	600	1	
efp114	Global	17	1	0	1	0	1	1077	1	
