SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ja150	Global	1	0	0	1	1	1	686	1	
ja150	Global	2	0	1	0	0	0	917	1	
ja150	Global	3	0	0	1	0	0	1022	1	
ja150	Global	4	0	0	0	0	0	731	1	
ja150	Global	5	0	1	0	1	1	687	1	
ja150	Global	6	0	1	0	1	1	990	1	
ja150	Global	7	0	1	0	1	1	919	1	
ja150	Global	8	0	1	0	0	0	737	1	
ja150	Global	9	0	1	1	1	0	973	1	
ja150	Global	10	0	1	1	1	1	668	1	
ja150	Global	11	0	1	1	0	1	1074	1	
ja150	Global	12	0	0	0	1	0	549	1	
ja150	Global	13	0	0	1	0	0	716	1	
ja150	Global	14	0	0	1	1	0	934	1	
ja150	Global	15	0	1	0	1	1	689	1	
ja150	Global	16	0	1	0	0	1	1536	1	
ja150	Global	17	0	1	0	0	1	704	1	
ja150	Global	18	0	0	1	0	0	729	1	
ja150	Global	19	0	1	1	0	1	853	1	
ja150	Global	20	0	0	0	0	1	775	1	
ja150	Global	21	0	1	0	1	0	792	1	
ja150	Global	22	0	0	1	1	1	755	1	
ja150	Global	23	0	1	0	0	1	802	1	
ja150	Global	24	0	1	1	1	0	1534	1	
ja150	Global	25	0	0	1	1	0	577	1	
ja150	Global	26	0	1	0	1	0	549	1	
ja150	Global	27	0	0	1	0	0	500	1	
ja150	Global	28	0	1	1	0	1	533	1	
ja150	Global	29	0	1	1	1	1	722	1	
ja150	Global	30	0	0	1	0	1	760	1	
ja150	Global	31	0	0	0	0	0	647	1	
ja150	Global	32	0	0	0	1	0	577	1	
ja150	Local	1	0	0	0	0	0	573	1	
ja150	Local	2	0	0	1	1	0	903	1	
ja150	Local	3	0	0	0	1	1	807	1	
ja150	Local	4	0	1	1	0	1	971	1	
ja150	Local	5	0	0	1	1	0	763	1	
ja150	Local	6	0	1	1	1	1	666	1	
ja150	Local	7	0	0	0	0	0	711	1	
ja150	Local	8	0	0	1	0	1	858	1	
ja150	Local	9	0	1	0	0	1	925	1	
ja150	Local	10	0	0	1	0	1	727	1	
ja150	Local	11	0	0	0	1	0	627	1	
ja150	Local	12	0	0	1	0	0	905	1	
ja150	Local	13	0	1	0	0	1	691	1	
ja150	Local	14	0	1	0	1	0	667	1	
ja150	Local	15	0	1	0	1	0	1040	1	
ja150	Local	16	0	1	0	1	1	1032	1	
ja150	Local	17	0	0	0	0	0	830	1	
ja150	Local	18	0	0	0	1	1	848	1	
ja150	Local	19	0	1	0	0	1	946	1	
ja150	Local	20	0	0	0	1	1	1439	1	
ja150	Local	21	0	0	1	0	1	627	1	
ja150	Local	22	0	1	0	1	0	540	1	
ja150	Local	23	0	0	1	1	0	586	1	
ja150	Local	24	0	1	1	1	0	638	1	
ja150	Local	25	0	0	0	0	1	528	1	
ja150	Local	26	0	0	1	0	0	597	1	
ja150	Local	27	0	0	1	1	0	586	1	
ja150	Local	28	0	0	1	1	0	710	1	
ja150	Local	29	0	1	0	0	0	624	1	
ja150	Local	30	0	0	1	0	0	785	1	
ja150	Local	31	0	1	1	1	0	907	1	
ja150	Local	32	0	1	1	0	0	541	1	
ja150	Global	1	1	1	0	0	1	1354	1	
ja150	Global	2	1	0	1	1	1	150	0	
ja150	Global	3	1	1	1	1	1	150	0	
ja150	Global	4	1	0	1	0	1	778	1	
ja150	Global	5	1	0	0	0	0	675	1	
ja150	Global	6	1	0	1	1	1	616	1	
ja150	Global	7	1	1	1	0	0	679	1	
ja150	Global	8	1	0	0	1	1	782	1	
ja150	Global	9	1	1	1	0	1	895	1	
ja150	Global	10	1	1	0	1	1	919	1	
ja150	Global	11	1	1	1	0	0	739	1	
ja150	Global	12	1	0	0	0	1	601	1	
ja150	Global	13	1	0	1	1	0	534	1	
ja150	Global	14	1	1	0	0	0	475	1	
ja150	Global	15	1	0	1	1	1	850	1	
ja150	Global	16	1	1	0	0	1	1131	1	
ja150	Global	17	1	0	1	0	1	733	1	
ja150	Global	18	1	0	1	1	0	625	1	
ja150	Global	19	1	1	1	0	1	833	1	
ja150	Global	20	1	1	0	0	1	769	1	
ja150	Global	21	1	0	1	1	0	1194	1	
ja150	Global	22	1	1	0	1	1	546	1	
ja150	Global	23	1	1	0	0	0	489	1	
ja150	Global	24	1	1	0	0	1	505	1	
ja150	Global	25	1	0	0	1	1	667	1	
ja150	Global	26	1	0	1	0	0	560	1	
ja150	Global	27	1	0	1	0	1	1280	1	
ja150	Global	28	1	1	1	1	0	731	1	
ja150	Global	29	1	1	0	1	1	503	1	
ja150	Global	30	1	1	0	1	0	393	1	
ja150	Global	31	1	0	0	1	1	495	1	
ja150	Global	32	1	0	0	1	1	577	1	
ja150	Local	1	1	1	1	0	1	735	1	
ja150	Local	2	1	1	1	1	0	150	0	
ja150	Local	3	1	0	0	0	0	547	1	
ja150	Local	4	1	1	1	1	1	938	1	
ja150	Local	5	1	1	1	1	0	607	1	
ja150	Local	6	1	0	0	0	0	524	1	
ja150	Local	7	1	1	1	0	0	689	1	
ja150	Local	8	1	1	0	0	0	536	1	
ja150	Local	9	1	0	0	0	0	639	1	
ja150	Local	10	1	0	0	1	0	1345	1	
ja150	Local	11	1	0	1	0	1	581	1	
ja150	Local	12	1	0	0	0	0	577	1	
ja150	Local	13	1	1	0	1	1	651	1	
ja150	Local	14	1	1	0	1	0	685	1	
ja150	Local	15	1	0	0	0	1	540	1	
ja150	Local	16	1	0	1	0	1	587	1	
ja150	Local	17	1	1	0	1	0	670	1	
ja150	Local	18	1	0	0	1	1	564	1	
ja150	Local	19	1	1	1	1	1	644	1	
ja150	Local	20	1	1	1	0	1	518	1	
ja150	Local	21	1	0	0	0	0	634	1	
ja150	Local	22	1	1	1	1	0	1450	1	
ja150	Local	23	1	0	0	0	1	488	1	
ja150	Local	24	1	1	0	1	1	544	1	
ja150	Local	25	1	0	1	1	0	583	1	
ja150	Local	26	1	1	1	1	0	786	1	
ja150	Local	27	1	0	0	1	0	637	1	
ja150	Local	28	1	0	1	0	1	807	1	
ja150	Local	29	1	0	1	0	0	1083	1	
ja150	Local	30	1	0	1	1	0	746	1	
ja150	Local	31	1	1	1	0	0	672	1	
ja150	Local	32	1	0	0	1	1	653	1	
