SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
jc176	Global	1	0	1	0	1	1	613	1	
jc176	Global	2	0	0	1	1	0	668	1	
jc176	Global	3	0	1	0	0	0	457	1	
jc176	Global	4	0	1	1	0	1	638	1	
jc176	Global	5	0	1	1	0	1	752	1	
jc176	Global	6	0	0	1	1	0	656	1	
jc176	Global	7	0	0	1	1	1	491	1	
jc176	Global	8	0	1	1	0	1	652	1	
jc176	Global	9	0	1	1	0	1	639	1	
jc176	Global	10	0	1	0	1	0	490	1	
jc176	Global	11	0	1	0	1	1	650	1	
jc176	Global	12	0	1	0	0	1	612	1	
jc176	Global	13	0	0	0	0	0	547	1	
jc176	Global	14	0	0	0	1	1	553	1	
jc176	Global	15	0	0	1	1	1	874	1	
jc176	Global	16	0	0	1	0	0	574	1	
jc176	Global	17	0	0	0	1	0	672	1	
jc176	Global	18	0	0	0	0	0	494	1	
jc176	Global	19	0	1	1	0	0	503	1	
jc176	Global	20	0	0	0	1	0	505	1	
jc176	Global	21	0	0	0	1	0	507	1	
jc176	Global	22	0	1	1	1	0	486	1	
jc176	Global	23	0	1	0	0	1	623	1	
jc176	Global	24	0	1	1	1	1	767	1	
jc176	Global	25	0	1	0	0	1	704	1	
jc176	Global	26	0	1	0	0	0	497	1	
jc176	Global	27	0	0	0	1	1	667	1	
jc176	Global	28	0	0	1	0	0	552	1	
jc176	Global	29	0	0	1	1	1	592	1	
jc176	Global	30	0	1	1	1	0	508	1	
jc176	Global	31	0	1	1	0	0	639	1	
jc176	Global	32	0	1	0	0	1	467	1	
jc176	Local	1	0	0	0	1	1	897	1	
jc176	Local	2	0	0	0	0	0	489	1	
jc176	Local	3	0	0	1	1	0	793	1	
jc176	Local	4	0	0	1	1	1	555	1	
jc176	Local	5	0	1	0	1	1	796	1	
jc176	Local	6	0	1	0	1	1	592	1	
jc176	Local	7	0	0	1	0	1	563	1	
jc176	Local	8	0	1	0	0	0	444	1	
jc176	Local	9	0	1	0	1	1	511	1	
jc176	Local	10	0	0	0	0	1	587	1	
jc176	Local	11	0	1	1	1	0	550	1	
jc176	Local	12	0	0	0	0	0	598	1	
jc176	Local	13	0	1	1	0	1	452	1	
jc176	Local	14	0	0	1	0	1	1001	1	
jc176	Local	15	0	1	1	0	0	628	1	
jc176	Local	16	0	0	0	0	1	508	1	
jc176	Local	17	0	1	1	0	1	648	1	
jc176	Local	18	0	1	0	1	0	530	1	
jc176	Local	19	0	1	0	0	0	663	1	
jc176	Local	20	0	1	1	0	1	715	1	
jc176	Local	21	0	0	0	1	1	685	1	
jc176	Local	22	0	0	1	0	1	724	1	
jc176	Local	23	0	1	0	1	1	664	1	
jc176	Local	24	0	1	1	1	1	724	1	
jc176	Local	25	0	0	0	0	0	600	1	
jc176	Local	26	0	1	1	1	0	597	1	
jc176	Local	27	0	0	0	1	1	571	1	
jc176	Local	28	0	0	1	1	1	733	1	
jc176	Local	29	0	0	1	1	1	673	1	
jc176	Local	30	0	1	1	0	0	534	1	
jc176	Local	31	0	0	0	0	1	587	1	
jc176	Local	32	0	0	1	1	0	567	1	
jc176	Global	1	1	1	0	0	1	1624	1	
jc176	Global	2	1	0	1	0	0	945	1	
jc176	Global	3	1	0	1	0	1	758	1	
jc176	Global	4	1	0	1	1	1	741	1	
jc176	Global	5	1	1	1	0	1	907	1	
jc176	Global	6	1	0	1	1	0	546	1	
jc176	Global	7	1	0	1	1	0	537	1	
jc176	Global	8	1	1	0	0	0	568	1	
jc176	Global	9	1	0	0	0	1	490	1	
jc176	Global	10	1	0	0	0	0	698	1	
jc176	Global	11	1	0	1	0	1	675	1	
jc176	Global	12	1	0	0	0	0	600	1	
jc176	Global	13	1	0	0	1	1	397	1	
jc176	Global	14	1	1	0	0	0	508	1	
jc176	Global	15	1	0	0	1	1	431	1	
jc176	Global	16	1	0	1	1	1	865	1	
jc176	Global	17	1	0	0	0	1	435	1	
jc176	Global	18	1	1	1	1	0	431	1	
jc176	Global	19	1	1	0	1	0	592	1	
jc176	Global	20	1	1	1	1	1	676	1	
jc176	Global	21	1	0	1	1	0	593	1	
jc176	Global	22	1	0	1	1	1	639	1	
jc176	Global	23	1	0	1	0	0	753	1	
jc176	Global	24	1	1	0	0	1	624	1	
jc176	Global	25	1	0	1	0	0	401	1	
jc176	Global	26	1	1	0	1	1	607	1	
jc176	Global	27	1	1	1	0	0	676	1	
jc176	Global	28	1	1	0	1	1	762	1	
jc176	Global	29	1	0	0	1	0	553	1	
jc176	Global	30	1	1	1	0	0	857	1	
jc176	Global	31	1	1	0	1	1	636	1	
jc176	Global	32	1	0	0	1	1	717	1	
jc176	Local	1	1	1	0	1	0	658	1	
jc176	Local	2	1	1	1	0	1	566	1	
jc176	Local	3	1	0	1	0	0	584	1	
jc176	Local	4	1	1	1	1	0	1012	1	
jc176	Local	5	1	0	0	0	1	440	1	
jc176	Local	6	1	1	0	1	0	484	1	
jc176	Local	7	1	1	1	1	1	788	1	
jc176	Local	8	1	1	0	0	1	646	1	
jc176	Local	9	1	1	0	0	0	664	1	
jc176	Local	10	1	1	1	0	0	724	1	
jc176	Local	11	1	1	0	0	0	632	1	
jc176	Local	12	1	0	1	0	0	721	1	
jc176	Local	13	1	1	1	0	1	571	1	
jc176	Local	14	1	0	1	0	1	669	1	
jc176	Local	15	1	1	0	1	1	547	1	
jc176	Local	16	1	1	1	1	0	609	1	
jc176	Local	17	1	0	0	0	0	728	1	
jc176	Local	18	1	0	0	1	0	596	1	
jc176	Local	19	1	1	1	1	1	505	1	
jc176	Local	20	1	1	0	1	0	435	1	
jc176	Local	21	1	1	0	1	0	631	1	
jc176	Local	22	1	1	0	0	1	647	1	
