SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
jd43	Global	1	1	1	1	0	0	1501	1	
jd43	Global	2	1	1	0	1	1	1329	1	
jd43	Global	3	1	0	0	1	1	826	1	
jd43	Global	4	1	0	1	1	1	890	1	
jd43	Global	5	1	0	0	0	1	648	1	
jd43	Global	6	1	1	0	0	1	666	1	
jd43	Global	7	1	1	0	1	1	471	1	
jd43	Global	8	1	1	0	0	0	926	1	
jd43	Global	9	1	1	1	0	1	689	1	
jd43	Global	10	1	1	1	0	1	1688	1	
jd43	Global	11	1	1	1	1	0	1129	1	
jd43	Global	12	1	0	0	1	0	915	1	
jd43	Global	13	1	1	1	0	1	605	1	
jd43	Global	14	1	1	1	0	0	602	1	
jd43	Global	15	1	0	0	0	0	1231	1	
jd43	Global	16	1	0	0	1	1	636	1	
jd43	Global	17	1	0	0	1	0	1471	1	
jd43	Global	18	1	0	1	1	1	648	1	
jd43	Global	19	1	1	0	0	1	498	1	
jd43	Global	20	1	0	1	1	0	780	1	
jd43	Global	21	1	0	1	1	0	1453	1	
jd43	Global	22	1	0	1	0	1	674	1	
jd43	Global	23	1	0	1	0	0	656	1	
jd43	Global	24	1	1	0	0	1	604	1	
jd43	Global	25	1	1	0	1	0	1593	1	
jd43	Global	26	1	0	0	0	0	703	1	
jd43	Global	27	1	1	1	1	0	1096	1	
jd43	Global	28	1	0	0	0	0	575	1	
jd43	Global	29	1	1	1	1	0	561	1	
jd43	Global	30	1	1	1	0	1	801	1	
jd43	Global	31	1	1	1	1	1	645	1	
jd43	Global	32	1	1	0	1	0	527	1	
jd43	Local	1	1	0	1	0	0	1224	1	
jd43	Local	2	1	1	1	1	1	1108	1	
jd43	Local	3	1	0	1	0	1	707	1	
jd43	Local	4	1	1	1	0	0	955	1	
jd43	Local	5	1	0	0	0	1	633	1	
jd43	Local	6	1	0	1	0	0	602	1	
jd43	Local	7	1	0	1	0	1	527	1	
jd43	Local	8	1	0	0	1	0	868	1	
jd43	Local	9	1	1	0	0	0	1265	1	
jd43	Local	10	1	1	0	1	0	761	1	
jd43	Local	11	1	1	1	1	1	601	1	
jd43	Local	12	1	0	0	0	0	670	1	
jd43	Local	13	1	0	0	1	1	587	1	
jd43	Local	14	1	1	1	0	0	511	1	
jd43	Local	15	1	1	0	0	0	666	1	
jd43	Local	16	1	0	1	0	1	896	1	
jd43	Local	17	1	0	0	1	0	679	1	
jd43	Local	18	1	0	1	1	0	1126	1	
jd43	Local	19	1	1	1	1	1	816	1	
jd43	Local	20	1	0	0	0	0	542	1	
jd43	Local	21	1	0	0	0	1	461	1	
jd43	Local	22	1	0	0	1	1	530	1	
jd43	Local	23	1	0	0	1	0	511	1	
jd43	Local	24	1	0	0	0	1	522	1	
jd43	Local	25	1	1	0	1	0	1207	1	
jd43	Local	26	1	0	1	1	1	537	1	
jd43	Local	27	1	1	0	1	0	600	1	
jd43	Local	28	1	1	1	1	0	605	1	
jd43	Local	29	1	1	0	0	1	899	1	
jd43	Local	30	1	1	1	1	0	538	1	
jd43	Local	31	1	1	1	0	0	1113	1	
jd43	Local	32	1	1	1	1	0	569	1	
jd43	Global	1	0	0	0	1	1	1353	1	
jd43	Global	2	0	1	0	0	1	572	1	
jd43	Global	3	0	0	1	0	1	630	1	
jd43	Global	4	0	1	0	1	0	510	1	
jd43	Global	5	0	1	0	1	1	690	1	
jd43	Global	6	0	1	0	0	0	401	1	
jd43	Global	7	0	0	1	1	0	1183	1	
jd43	Global	8	0	0	0	0	1	615	1	
jd43	Global	9	0	0	0	1	0	502	1	
jd43	Global	10	0	1	0	0	0	536	1	
jd43	Global	11	0	0	0	0	0	631	1	
jd43	Global	12	0	0	1	0	0	519	1	
jd43	Global	13	0	1	1	1	1	643	1	
jd43	Global	14	0	0	0	0	0	565	1	
jd43	Global	15	0	1	1	1	1	799	1	
jd43	Global	16	0	0	1	0	0	635	1	
jd43	Global	17	0	0	1	0	0	1796	1	
jd43	Global	18	0	1	0	1	1	521	1	
jd43	Global	19	0	0	0	1	1	388	1	
jd43	Global	20	0	1	1	1	1	433	1	
jd43	Global	21	0	0	0	1	1	427	1	
jd43	Global	22	0	0	1	0	0	908	1	
jd43	Global	23	0	1	1	0	0	540	1	
jd43	Global	24	0	0	0	0	1	643	1	
jd43	Global	25	0	0	1	1	1	549	1	
jd43	Global	26	0	1	0	0	1	492	1	
jd43	Global	27	0	0	1	1	0	660	1	
jd43	Global	28	0	1	0	1	1	480	1	
jd43	Global	29	0	0	1	1	0	688	1	
jd43	Global	30	0	1	1	0	0	663	1	
jd43	Global	31	0	0	1	1	1	595	1	
jd43	Global	32	0	1	1	0	1	536	1	
jd43	Local	1	0	0	0	0	0	1692	1	
jd43	Local	2	0	1	1	1	0	941	1	
jd43	Local	3	0	1	1	0	0	850	1	
jd43	Local	4	0	0	0	0	1	1763	1	
jd43	Local	5	0	0	1	0	0	557	1	
jd43	Local	6	0	0	0	1	1	1885	1	
jd43	Local	7	0	1	0	0	1	892	1	
jd43	Local	8	0	1	0	0	0	706	1	
jd43	Local	9	0	1	0	0	1	523	1	
jd43	Local	10	0	1	0	1	0	1232	1	
jd43	Local	11	0	0	0	1	1	549	1	
jd43	Local	12	0	0	0	1	0	564	1	
jd43	Local	13	0	0	1	1	1	604	1	
jd43	Local	14	0	1	0	1	0	522	1	
jd43	Local	15	0	1	1	1	0	1159	1	
jd43	Local	16	0	1	1	1	0	604	1	
jd43	Local	17	0	0	0	1	1	529	1	
jd43	Local	18	0	1	0	1	1	678	1	
jd43	Local	19	0	1	1	0	0	572	1	
jd43	Local	20	0	0	1	0	1	638	1	
jd43	Local	21	0	0	1	0	0	736	1	
jd43	Local	22	0	0	0	0	1	492	1	
jd43	Local	23	0	0	1	0	0	988	1	
jd43	Local	24	0	0	1	0	1	397	1	
jd43	Local	25	0	0	0	1	1	500	1	
jd43	Local	26	0	1	1	0	0	454	1	
jd43	Local	27	0	1	1	1	1	570	1	
jd43	Local	28	0	1	0	0	1	932	1	
jd43	Local	29	0	0	1	1	0	575	1	
jd43	Local	30	0	0	1	1	1	409	1	
jd43	Local	31	0	0	1	1	0	425	1	
jd43	Local	32	0	1	0	0	1	475	1	
