Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
Grand Total	1.00	1.00	1.00	1.00	1.00	1.00	1.00
							
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
655.6	788.8	589.5	700.4	613.9	712.3	472.1	475.9
							
							
rt	SDev	CCor	UCor				
655.6	151.6	15	16	0	0	0	
788.8	224.4	16	16	0	0	1	
589.5	136.2	16	16	0	1	0	
700.4	153.9	16	16	0	1	1	
613.9	145.5	15	16	1	0	0	
712.3	287.1	16	16	1	0	1	
472.1	85.9	15	16	1	1	0	
475.9	61.31	15	16	1	1	1	
