SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
jh144	Global	1	0	1	0	1	0	1689	1	
jh144	Global	2	0	1	1	1	1	1083	1	
jh144	Global	3	0	0	1	1	1	952	1	
jh144	Global	4	0	1	0	0	0	1036	1	
jh144	Global	5	0	0	1	1	1	938	1	
jh144	Global	6	0	1	1	1	1	871	1	
jh144	Global	7	0	0	1	1	1	587	1	
jh144	Global	8	0	0	0	0	1	671	1	
jh144	Global	9	0	0	1	0	1	1013	1	
jh144	Global	10	0	1	1	0	1	593	1	
jh144	Global	11	0	0	0	0	1	695	1	
jh144	Global	12	0	1	0	0	0	727	1	
jh144	Global	13	0	0	0	1	1	563	1	
jh144	Global	14	0	1	1	0	0	732	1	
jh144	Global	15	0	0	0	0	1	704	1	
jh144	Global	16	0	1	0	1	1	648	1	
jh144	Global	17	0	1	0	0	0	667	1	
jh144	Global	18	0	0	0	1	0	904	1	
jh144	Global	19	0	1	1	0	0	656	1	
jh144	Global	20	0	0	0	1	0	507	1	
jh144	Global	21	0	0	0	1	0	591	1	
jh144	Global	22	0	0	1	1	0	946	1	
jh144	Global	23	0	0	1	0	1	615	1	
jh144	Global	24	0	1	0	0	0	558	1	
jh144	Global	25	0	0	1	1	1	718	1	
jh144	Global	26	0	1	0	1	0	465	1	
jh144	Global	27	0	0	0	0	0	583	1	
jh144	Global	28	0	1	1	0	1	1267	1	
jh144	Global	29	0	0	0	1	1	515	1	
jh144	Global	30	0	1	1	0	1	559	1	
jh144	Global	31	0	0	1	0	1	583	1	
jh144	Global	32	0	1	1	1	1	507	1	
jh144	Local	1	0	0	0	0	1	944	1	
jh144	Local	2	0	0	0	0	0	565	1	
jh144	Local	3	0	0	1	0	1	767	1	
jh144	Local	4	0	1	1	1	0	1048	1	
jh144	Local	5	0	0	0	0	1	848	1	
jh144	Local	6	0	0	1	0	0	1089	1	
jh144	Local	7	0	0	1	0	1	750	1	
jh144	Local	8	0	1	0	0	0	731	1	
jh144	Local	9	0	0	1	1	1	1295	1	
jh144	Local	10	0	1	0	0	0	1379	1	
jh144	Local	11	0	1	1	0	0	729	1	
jh144	Local	12	0	1	1	1	1	1053	1	
jh144	Local	13	0	0	0	1	0	631	1	
jh144	Local	14	0	1	1	1	0	895	1	
jh144	Local	15	0	1	1	1	1	583	1	
jh144	Local	16	0	1	0	1	1	554	1	
jh144	Local	17	0	1	1	1	1	443	1	
jh144	Local	18	0	0	0	0	1	574	1	
