SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
jj178	Global	1	1	1	0	1	0	698	1	
jj178	Global	2	1	0	0	1	1	498	1	
jj178	Global	3	1	1	1	0	1	150	0	
jj178	Global	4	1	1	0	0	0	1129	1	
jj178	Global	5	1	0	0	1	1	803	1	
jj178	Global	6	1	1	0	0	1	439	1	
jj178	Global	7	1	0	1	0	0	150	0	
jj178	Global	8	1	0	0	0	1	866	1	
jj178	Global	9	1	0	1	1	0	591	1	
jj178	Global	10	1	1	0	1	1	3186	1	
jj178	Global	11	1	1	1	1	1	150	0	
jj178	Global	12	1	0	0	1	0	746	1	
jj178	Global	13	1	0	0	0	0	623	1	
jj178	Global	14	1	0	1	1	1	888	1	
jj178	Global	15	1	0	0	1	1	1006	1	
jj178	Global	16	1	1	1	1	0	705	1	
jj178	Global	17	1	1	1	1	1	666	1	
jj178	Global	18	1	0	0	0	1	150	0	
jj178	Global	19	1	1	0	0	1	893	1	
jj178	Global	20	1	0	0	1	0	699	1	
jj178	Global	21	1	1	1	1	1	150	0	
jj178	Global	22	1	0	1	0	0	1363	1	
jj178	Global	23	1	1	1	0	1	855	1	
jj178	Global	24	1	1	1	1	0	689	1	
jj178	Global	25	1	0	1	1	1	600	1	
jj178	Global	26	1	0	0	0	1	862	1	
jj178	Global	27	1	1	1	0	1	608	1	
jj178	Global	28	1	0	1	0	1	543	1	
jj178	Global	29	1	1	1	0	0	430	1	
jj178	Global	30	1	0	0	0	0	150	0	
jj178	Global	31	1	1	0	1	1	507	1	
jj178	Global	32	1	0	1	0	0	486	1	
jj178	Local	1	1	1	0	0	0	1832	1	
jj178	Local	2	1	1	0	0	0	490	1	
jj178	Local	3	1	0	1	0	1	1066	1	
jj178	Local	4	1	0	1	0	1	150	0	
jj178	Local	5	1	0	0	0	1	150	0	
jj178	Local	6	1	0	1	0	1	628	1	
jj178	Local	7	1	1	0	0	0	517	1	
jj178	Local	8	1	0	1	0	1	536	1	
jj178	Local	9	1	0	0	1	0	487	1	
jj178	Local	10	1	1	0	1	1	567	1	
jj178	Local	11	1	1	1	1	1	721	1	
jj178	Local	12	1	1	0	1	1	404	1	
jj178	Local	13	1	1	1	0	1	338	1	
jj178	Local	14	1	0	1	1	1	402	1	
jj178	Local	15	1	1	0	1	0	488	1	
jj178	Local	16	1	1	0	1	1	536	1	
jj178	Local	17	1	1	0	0	0	447	1	
jj178	Local	18	1	0	1	1	0	978	1	
jj178	Local	19	1	1	1	1	1	426	1	
jj178	Local	20	1	0	0	1	0	150	0	
jj178	Local	21	1	0	1	0	1	849	1	
jj178	Local	22	1	1	0	0	1	466	1	
jj178	Local	23	1	0	1	0	0	633	1	
jj178	Local	24	1	1	1	1	0	4249	1	
jj178	Local	25	1	1	0	0	1	638	1	
jj178	Local	26	1	0	0	0	1	1008	1	
jj178	Local	27	1	0	0	1	0	387	1	
jj178	Local	28	1	0	1	1	0	768	1	
jj178	Local	29	1	1	1	1	0	601	1	
jj178	Local	30	1	0	0	1	1	590	1	
jj178	Local	31	1	0	1	1	0	546	1	
jj178	Local	32	1	0	1	0	0	441	1	
jj178	Global	1	0	1	0	0	1	1923	1	
jj178	Global	2	0	1	0	0	0	479	1	
jj178	Global	3	0	1	1	1	1	719	1	
jj178	Global	4	0	1	1	1	1	545	1	
jj178	Global	5	0	0	0	1	1	800	1	
jj178	Global	6	0	0	1	0	0	150	0	
jj178	Global	7	0	1	1	1	0	150	0	
jj178	Global	8	0	0	0	1	0	646	1	
jj178	Global	9	0	1	0	0	1	150	0	
jj178	Global	10	0	0	0	0	1	1024	1	
jj178	Global	11	0	1	1	0	1	503	1	
jj178	Global	12	0	0	1	1	1	561	1	
jj178	Global	13	0	1	1	0	0	881	1	
jj178	Global	14	0	0	0	0	0	511	1	
jj178	Global	15	0	0	1	0	0	690	1	
jj178	Global	16	0	1	1	0	1	505	1	
jj178	Global	17	0	0	0	0	1	627	1	
jj178	Global	18	0	0	1	0	0	556	1	
jj178	Global	19	0	0	1	1	1	596	1	
jj178	Global	20	0	1	0	0	0	473	1	
jj178	Global	21	0	0	1	1	0	496	1	
jj178	Global	22	0	1	0	1	1	514	1	
jj178	Global	23	0	0	1	1	1	437	1	
jj178	Global	24	0	1	0	1	0	552	1	
jj178	Global	25	0	0	0	1	1	505	1	
jj178	Global	26	0	1	0	0	0	507	1	
jj178	Global	27	0	1	0	1	0	428	1	
jj178	Global	28	0	1	1	0	1	566	1	
jj178	Global	29	0	1	0	1	1	936	1	
jj178	Global	30	0	0	1	0	1	603	1	
jj178	Global	31	0	0	1	1	0	632	1	
jj178	Global	32	0	0	0	1	0	481	1	
jj178	Local	1	0	0	0	1	0	150	0	
jj178	Local	2	0	1	1	0	1	736	1	
jj178	Local	3	0	1	1	1	0	150	0	
jj178	Local	4	0	0	0	0	0	778	1	
jj178	Local	5	0	1	1	0	0	715	1	
jj178	Local	6	0	1	0	1	0	542	1	
jj178	Local	7	0	1	1	0	0	892	1	
jj178	Local	8	0	0	0	0	0	754	1	
jj178	Local	9	0	1	1	0	0	150	0	
jj178	Local	10	0	0	0	1	1	518	1	
jj178	Local	11	0	1	1	0	1	586	1	
jj178	Local	12	0	1	1	1	0	805	1	
jj178	Local	13	0	1	0	0	0	602	1	
jj178	Local	14	0	1	0	0	1	631	1	
jj178	Local	15	0	1	0	1	1	599	1	
jj178	Local	16	0	0	1	0	1	517	1	
jj178	Local	17	0	1	0	0	1	472	1	
jj178	Local	18	0	1	1	1	1	455	1	
jj178	Local	19	0	0	1	0	0	875	1	
jj178	Local	20	0	0	1	1	1	544	1	
jj178	Local	21	0	0	0	1	0	439	1	
jj178	Local	22	0	1	0	1	0	2482	1	
jj178	Local	23	0	0	1	1	0	654	1	
jj178	Local	24	0	0	0	0	1	497	1	
jj178	Local	25	0	1	1	1	0	483	1	
jj178	Local	26	0	1	0	0	0	451	1	
jj178	Local	27	0	1	1	0	1	432	1	
jj178	Local	28	0	1	0	1	0	490	1	
jj178	Local	29	0	0	0	0	0	658	1	
jj178	Local	30	0	0	0	1	1	585	1	
jj178	Local	31	0	1	1	1	0	485	1	
jj178	Local	32	0	0	1	1	0	485	1	
