SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
jl165	Global	1	1	0	1	1	1	1006	1	
jl165	Global	2	1	1	1	0	1	537	1	
jl165	Global	3	1	0	0	0	1	424	1	
jl165	Global	4	1	0	1	1	1	577	1	
jl165	Global	5	1	0	1	1	1	427	1	
jl165	Global	6	1	0	1	0	0	373	1	
jl165	Global	7	1	0	0	0	1	440	1	
jl165	Global	8	1	0	1	0	1	491	1	
jl165	Global	9	1	1	1	1	0	475	1	
jl165	Global	10	1	0	1	0	0	610	1	
jl165	Global	11	1	1	0	0	1	457	1	
jl165	Global	12	1	0	0	1	0	454	1	
jl165	Global	13	1	1	1	0	0	427	1	
jl165	Global	14	1	0	0	0	1	396	1	
jl165	Global	15	1	1	1	1	1	467	1	
jl165	Global	16	1	0	0	0	1	361	1	
jl165	Global	17	1	0	1	1	0	467	1	
jl165	Global	18	1	0	1	1	0	441	1	
jl165	Global	19	1	1	1	0	1	444	1	
jl165	Global	20	1	0	1	0	1	150	0	
jl165	Global	21	1	1	0	1	0	452	1	
jl165	Global	22	1	0	0	0	1	417	1	
jl165	Global	23	1	1	0	1	1	393	1	
jl165	Global	24	1	1	0	1	0	464	1	
jl165	Global	25	1	1	1	1	1	565	1	
jl165	Global	26	1	1	0	1	0	415	1	
jl165	Global	27	1	0	0	1	0	471	1	
jl165	Global	28	1	0	1	0	1	461	1	
jl165	Global	29	1	1	0	0	0	530	1	
jl165	Global	30	1	0	0	1	1	391	1	
jl165	Global	31	1	1	0	1	0	412	1	
jl165	Global	32	1	1	0	0	1	404	1	
jl165	Local	1	1	1	1	1	0	635	1	
jl165	Local	2	1	1	1	1	1	628	1	
jl165	Local	3	1	1	0	0	0	453	1	
jl165	Local	4	1	0	0	1	0	497	1	
jl165	Local	5	1	1	0	0	1	515	1	
jl165	Local	6	1	1	0	1	1	479	1	
jl165	Local	7	1	1	0	0	1	391	1	
jl165	Local	8	1	0	0	1	0	412	1	
jl165	Local	9	1	1	0	1	1	484	1	
jl165	Local	10	1	0	1	1	1	492	1	
jl165	Local	11	1	1	1	0	0	404	1	
jl165	Local	12	1	0	1	1	1	426	1	
jl165	Local	13	1	0	1	0	1	492	1	
jl165	Local	14	1	0	0	1	0	484	1	
jl165	Local	15	1	0	1	1	0	412	1	
jl165	Local	16	1	1	0	0	0	428	1	
jl165	Local	17	1	0	0	1	1	742	1	
jl165	Local	18	1	1	0	0	1	507	1	
jl165	Local	19	1	0	1	1	0	511	1	
jl165	Local	20	1	1	1	0	0	586	1	
jl165	Local	21	1	1	0	0	1	462	1	
jl165	Local	22	1	0	1	0	1	563	1	
jl165	Local	23	1	0	1	0	0	507	1	
jl165	Local	24	1	0	0	1	1	439	1	
jl165	Local	25	1	0	1	0	0	594	1	
jl165	Local	26	1	1	1	1	1	519	1	
jl165	Local	27	1	1	1	0	1	450	1	
jl165	Local	28	1	0	0	0	1	511	1	
jl165	Local	29	1	0	1	0	1	411	1	
jl165	Local	30	1	1	0	1	1	467	1	
jl165	Local	31	1	1	0	0	1	409	1	
jl165	Local	32	1	1	1	1	0	449	1	
jl165	Global	1	0	0	1	0	1	769	1	
jl165	Global	2	0	1	0	0	1	530	1	
jl165	Global	3	0	1	0	0	1	407	1	
jl165	Global	4	0	0	1	0	1	431	1	
jl165	Global	5	0	1	0	1	1	377	1	
jl165	Global	6	0	0	1	1	0	500	1	
jl165	Global	7	0	1	0	0	0	422	1	
jl165	Global	8	0	0	1	1	0	431	1	
jl165	Global	9	0	0	1	1	0	150	0	
jl165	Global	10	0	0	0	1	0	428	1	
jl165	Global	11	0	0	1	1	0	462	1	
jl165	Global	12	0	1	1	0	1	410	1	
jl165	Global	13	0	0	1	0	0	402	1	
jl165	Global	14	0	0	0	0	0	417	1	
jl165	Global	15	0	0	0	0	1	417	1	
jl165	Global	16	0	0	1	1	0	393	1	
jl165	Global	17	0	1	1	1	0	463	1	
jl165	Global	18	0	1	0	1	1	428	1	
jl165	Global	19	0	1	0	0	0	478	1	
jl165	Global	20	0	0	0	1	1	412	1	
jl165	Global	21	0	0	1	1	0	452	1	
jl165	Global	22	0	1	1	0	1	537	1	
jl165	Global	23	0	0	0	1	1	424	1	
jl165	Global	24	0	0	1	1	1	393	1	
jl165	Global	25	0	1	0	0	1	344	1	
jl165	Global	26	0	0	1	0	0	415	1	
jl165	Global	27	0	1	0	1	0	415	1	
jl165	Global	28	0	1	1	0	0	399	1	
jl165	Global	29	0	1	0	0	1	358	1	
jl165	Global	30	0	1	0	1	0	399	1	
jl165	Global	31	0	0	1	0	1	150	0	
jl165	Global	32	0	1	0	1	0	458	1	
jl165	Local	1	0	0	0	1	1	590	1	
jl165	Local	2	0	0	0	0	0	417	1	
jl165	Local	3	0	1	0	1	0	489	1	
jl165	Local	4	0	1	0	1	0	393	1	
jl165	Local	5	0	0	1	1	0	150	0	
jl165	Local	6	0	1	1	0	1	534	1	
jl165	Local	7	0	1	0	1	1	571	1	
jl165	Local	8	0	0	1	0	1	557	1	
jl165	Local	9	0	0	0	0	1	550	1	
jl165	Local	10	0	1	1	1	1	388	1	
jl165	Local	11	0	1	1	1	0	553	1	
jl165	Local	12	0	1	0	1	1	481	1	
jl165	Local	13	0	1	1	0	1	569	1	
jl165	Local	14	0	1	1	1	0	427	1	
jl165	Local	15	0	1	1	0	0	581	1	
jl165	Local	16	0	0	1	0	0	673	1	
jl165	Local	17	0	0	0	0	0	430	1	
jl165	Local	18	0	1	0	0	1	150	0	
jl165	Local	19	0	0	1	0	1	644	1	
jl165	Local	20	0	1	1	1	1	519	1	
jl165	Local	21	0	0	1	1	0	578	1	
jl165	Local	22	0	1	1	1	0	756	1	
jl165	Local	23	0	0	0	0	0	459	1	
jl165	Local	24	0	1	0	1	1	528	1	
jl165	Local	25	0	0	1	0	0	605	1	
jl165	Local	26	0	0	0	1	1	619	1	
jl165	Local	27	0	1	0	0	0	417	1	
jl165	Local	28	0	0	1	1	1	473	1	
jl165	Local	29	0	0	1	0	0	544	1	
jl165	Local	30	0	1	0	0	0	448	1	
jl165	Local	31	0	1	0	1	0	756	1	
jl165	Local	32	0	1	0	0	0	379	1	
