SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
jo174	Global	1	1	1	0	1	1	1088	1	
jo174	Global	2	1	0	1	0	1	957	1	
jo174	Global	3	1	0	0	0	0	491	1	
jo174	Global	4	1	0	1	0	1	867	1	
jo174	Global	5	1	1	0	1	0	640	1	
jo174	Global	6	1	0	1	1	0	578	1	
jo174	Global	7	1	1	0	1	1	580	1	
jo174	Global	8	1	0	1	1	1	1136	1	
jo174	Global	9	1	1	0	0	1	801	1	
jo174	Global	10	1	1	1	0	0	550	1	
jo174	Global	11	1	1	1	1	0	572	1	
jo174	Global	12	1	1	0	0	1	606	1	
jo174	Global	13	1	0	0	1	0	764	1	
jo174	Global	14	1	1	0	0	0	491	1	
jo174	Global	15	1	0	1	1	0	587	1	
jo174	Global	16	1	1	0	1	0	535	1	
jo174	Global	17	1	0	1	0	0	500	1	
jo174	Global	18	1	1	1	1	1	982	1	
jo174	Global	19	1	0	1	0	1	767	1	
jo174	Global	20	1	0	0	0	0	536	1	
jo174	Global	21	1	0	1	0	1	679	1	
jo174	Global	22	1	0	1	1	1	612	1	
jo174	Global	23	1	1	1	1	0	707	1	
jo174	Global	24	1	0	0	1	0	564	1	
jo174	Global	25	1	0	0	0	1	508	1	
jo174	Global	26	1	1	0	1	0	543	1	
jo174	Global	27	1	0	1	0	0	654	1	
jo174	Global	28	1	0	0	0	1	498	1	
jo174	Global	29	1	1	1	1	1	150	0	
jo174	Global	30	1	1	1	0	0	548	1	
jo174	Global	31	1	1	0	0	1	1475	1	
jo174	Global	32	1	1	0	1	1	540	1	
jo174	Local	1	1	0	0	0	1	645	1	
jo174	Local	2	1	1	0	1	1	447	1	
jo174	Local	3	1	1	1	1	0	618	1	
jo174	Local	4	1	0	1	1	1	625	1	
jo174	Local	5	1	1	1	1	1	826	1	
jo174	Local	6	1	1	0	1	1	481	1	
jo174	Local	7	1	1	1	1	0	577	1	
jo174	Local	8	1	0	1	0	0	403	1	
jo174	Local	9	1	0	0	1	1	490	1	
jo174	Local	10	1	0	0	0	0	530	1	
jo174	Local	11	1	0	1	1	0	391	1	
jo174	Local	12	1	0	1	0	0	460	1	
jo174	Local	13	1	0	0	0	1	609	1	
jo174	Local	14	1	1	0	1	1	375	1	
jo174	Local	15	1	1	0	0	0	427	1	
jo174	Local	16	1	1	0	1	0	452	1	
jo174	Local	17	1	1	1	0	0	593	1	
jo174	Local	18	1	1	1	0	1	518	1	
jo174	Local	19	1	0	1	0	0	722	1	
jo174	Local	20	1	1	1	1	0	564	1	
jo174	Local	21	1	0	1	0	1	676	1	
jo174	Local	22	1	0	1	1	1	610	1	
jo174	Local	23	1	1	0	1	0	633	1	
jo174	Local	24	1	0	1	1	1	689	1	
jo174	Local	25	1	1	0	1	1	472	1	
jo174	Local	26	1	1	0	1	0	695	1	
jo174	Local	27	1	1	0	0	1	528	1	
jo174	Local	28	1	0	1	0	1	525	1	
jo174	Local	29	1	1	1	0	1	370	1	
jo174	Local	30	1	0	0	0	1	381	1	
jo174	Local	31	1	1	0	0	1	474	1	
jo174	Local	32	1	0	0	0	1	392	1	
jo174	Global	1	0	1	0	0	1	1366	1	
jo174	Global	2	0	0	0	1	0	418	1	
jo174	Global	3	0	0	1	0	0	434	1	
jo174	Global	4	0	1	1	0	0	452	1	
jo174	Global	5	0	0	0	1	1	601	1	
jo174	Global	6	0	0	1	0	0	998	1	
jo174	Global	7	0	1	0	0	1	449	1	
jo174	Global	8	0	1	1	1	0	380	1	
jo174	Global	9	0	0	0	0	1	369	1	
jo174	Global	10	0	1	1	1	0	396	1	
jo174	Global	11	0	1	1	1	1	150	0	
jo174	Global	12	0	1	1	1	1	150	0	
jo174	Global	13	0	0	0	0	0	557	1	
jo174	Global	14	0	1	1	1	1	950	1	
jo174	Global	15	0	1	0	0	0	618	1	
jo174	Global	16	0	1	0	1	1	561	1	
jo174	Global	17	0	1	0	0	0	553	1	
jo174	Global	18	0	1	0	0	1	586	1	
jo174	Global	19	0	1	0	0	0	389	1	
jo174	Global	20	0	0	1	1	0	522	1	
jo174	Global	21	0	0	1	0	1	551	1	
jo174	Global	22	0	0	1	0	0	600	1	
jo174	Global	23	0	0	1	0	1	533	1	
jo174	Global	24	0	1	1	1	1	150	0	
jo174	Global	25	0	0	1	0	0	585	1	
jo174	Global	26	0	1	0	1	0	460	1	
jo174	Global	27	0	1	1	1	0	673	1	
jo174	Global	28	0	0	0	1	1	583	1	
jo174	Global	29	0	0	0	1	1	754	1	
jo174	Global	30	0	0	0	1	1	506	1	
jo174	Global	31	0	1	0	1	0	531	1	
jo174	Global	32	0	0	1	0	0	1377	1	
jo174	Local	1	0	0	0	1	0	1069	1	
jo174	Local	2	0	1	1	1	1	696	1	
jo174	Local	3	0	0	0	0	0	649	1	
jo174	Local	4	0	1	1	0	1	547	1	
jo174	Local	5	0	1	0	1	0	450	1	
jo174	Local	6	0	1	1	1	0	1255	1	
jo174	Local	7	0	1	1	0	1	527	1	
jo174	Local	8	0	0	0	0	1	508	1	
jo174	Local	9	0	1	1	0	0	480	1	
jo174	Local	10	0	1	0	0	0	384	1	
jo174	Local	11	0	0	0	0	0	517	1	
jo174	Local	12	0	0	1	0	1	400	1	
jo174	Local	13	0	0	0	1	0	414	1	
jo174	Local	14	0	1	1	1	1	558	1	
jo174	Local	15	0	1	1	1	0	679	1	
jo174	Local	16	0	1	1	0	0	588	1	
jo174	Local	17	0	1	0	1	0	568	1	
jo174	Local	18	0	0	0	0	1	570	1	
jo174	Local	19	0	0	1	1	0	516	1	
jo174	Local	20	0	1	1	0	0	591	1	
jo174	Local	21	0	1	1	0	0	475	1	
jo174	Local	22	0	0	0	1	0	433	1	
jo174	Local	23	0	1	1	1	1	547	1	
jo174	Local	24	0	0	0	1	1	882	1	
jo174	Local	25	0	0	0	0	1	472	1	
jo174	Local	26	0	0	0	1	1	398	1	
jo174	Local	27	0	0	0	0	1	445	1	
