SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
kn208	Global	1	0	0	0	1	0	886	1	
kn208	Global	2	0	1	0	0	1	388	1	
kn208	Global	3	0	1	0	0	1	377	1	
kn208	Global	4	0	1	0	0	0	396	1	
kn208	Global	5	0	0	1	1	1	530	1	
kn208	Global	6	0	0	0	0	0	423	1	
kn208	Global	7	0	1	0	1	1	353	1	
kn208	Global	8	0	0	1	0	1	458	1	
kn208	Global	9	0	1	1	1	1	351	1	
kn208	Global	10	0	0	1	0	1	400	1	
kn208	Global	11	0	0	1	1	1	367	1	
kn208	Global	12	0	1	1	1	1	362	1	
kn208	Global	13	0	0	0	1	1	331	1	
kn208	Global	14	0	0	0	0	1	345	1	
kn208	Global	15	0	1	0	0	0	393	1	
kn208	Global	16	0	0	1	0	1	407	1	
kn208	Global	17	0	1	1	1	1	399	1	
kn208	Global	18	0	0	1	1	1	390	1	
kn208	Global	19	0	0	0	1	0	354	1	
kn208	Global	20	0	0	0	1	1	500	1	
kn208	Global	21	0	0	1	0	0	462	1	
kn208	Global	22	0	1	1	1	1	579	1	
kn208	Global	23	0	0	1	0	1	373	1	
kn208	Global	24	0	0	0	0	1	416	1	
kn208	Global	25	0	0	1	0	0	648	1	
kn208	Global	26	0	1	1	0	1	450	1	
kn208	Global	27	0	1	0	1	1	391	1	
kn208	Global	28	0	0	1	0	1	403	1	
kn208	Global	29	0	1	0	1	0	434	1	
kn208	Global	30	0	1	0	0	1	387	1	
kn208	Global	31	0	1	0	1	0	392	1	
kn208	Global	32	0	1	1	1	0	574	1	
kn208	Local	1	0	0	1	0	1	465	1	
kn208	Local	2	0	0	1	0	1	384	1	
kn208	Local	3	0	0	0	1	1	684	1	
kn208	Local	4	0	1	1	0	1	459	1	
kn208	Local	5	0	1	1	1	1	464	1	
kn208	Local	6	0	0	0	0	1	383	1	
kn208	Local	7	0	0	0	1	0	420	1	
kn208	Local	8	0	1	1	0	0	436	1	
kn208	Local	9	0	1	1	0	1	463	1	
kn208	Local	10	0	1	0	1	1	436	1	
kn208	Local	11	0	1	0	1	1	439	1	
kn208	Local	12	0	1	1	1	1	434	1	
kn208	Local	13	0	0	1	0	0	476	1	
kn208	Local	14	0	1	1	1	1	450	1	
kn208	Local	15	0	0	1	1	1	487	1	
kn208	Local	16	0	1	0	0	0	471	1	
kn208	Local	17	0	1	0	0	1	454	1	
kn208	Local	18	0	1	1	1	0	531	1	
kn208	Local	19	0	0	0	1	1	456	1	
kn208	Local	20	0	0	0	0	0	485	1	
kn208	Local	21	0	1	0	1	0	445	1	
kn208	Local	22	0	1	0	1	1	512	1	
kn208	Local	23	0	0	0	0	0	500	1	
kn208	Local	24	0	1	0	0	1	485	1	
kn208	Local	25	0	0	1	0	0	518	1	
kn208	Local	26	0	1	1	1	0	465	1	
kn208	Local	27	0	0	1	1	1	552	1	
kn208	Local	28	0	0	0	0	1	488	1	
kn208	Local	29	0	0	0	1	0	800	1	
kn208	Local	30	0	0	1	1	0	508	1	
kn208	Local	31	0	0	0	0	1	576	1	
kn208	Local	32	0	0	1	0	1	514	1	
kn208	Global	1	1	0	1	0	1	599	1	
kn208	Global	2	1	0	1	0	1	476	1	
kn208	Global	3	1	1	0	0	0	451	1	
kn208	Global	4	1	0	0	0	0	343	1	
kn208	Global	5	1	1	1	0	1	439	1	
kn208	Global	6	1	0	1	1	0	498	1	
kn208	Global	7	1	0	0	1	1	420	1	
kn208	Global	8	1	0	1	0	0	596	1	
kn208	Global	9	1	0	1	1	1	482	1	
kn208	Global	10	1	0	0	1	1	450	1	
kn208	Global	11	1	0	0	1	1	359	1	
kn208	Global	12	1	1	1	1	0	496	1	
kn208	Global	13	1	1	0	1	1	458	1	
kn208	Global	14	1	1	1	0	1	543	1	
kn208	Global	15	1	0	1	1	0	613	1	
kn208	Global	16	1	0	1	0	0	500	1	
kn208	Global	17	1	0	0	0	1	526	1	
kn208	Global	18	1	0	1	1	1	603	1	
kn208	Global	19	1	0	1	1	0	424	1	
kn208	Global	20	1	0	0	1	1	418	1	
kn208	Global	21	1	1	0	0	1	402	1	
kn208	Global	22	1	0	0	1	0	440	1	
kn208	Global	23	1	0	0	1	0	476	1	
kn208	Global	24	1	1	1	1	1	394	1	
kn208	Global	25	1	1	0	0	0	592	1	
kn208	Global	26	1	0	1	0	0	492	1	
kn208	Global	27	1	1	0	1	0	428	1	
kn208	Global	28	1	1	0	0	0	446	1	
kn208	Global	29	1	1	0	0	1	425	1	
kn208	Global	30	1	0	1	1	1	475	1	
