Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	0.94	0.97	1.00	1.00	1.00	0.98
incong	0.94	0.94	0.94	0.88	1.00	0.94	0.94
Grand Total	0.97	0.94	0.95	0.94	1.00	0.97	0.96
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	0.94	0.94	0.94	1.00	0.88	1.00	1.00
519.30	729.90	495.70	585.80	666.00	774.20	583.70	625.40
							
							
rt	SDev	CCor	UCor				
519.30	64.56	15	16	0	0	0	
729.90	248.5	15	15	0	0	1	
495.70	85.7	15	15	0	1	0	
585.80	137.5	15	15	0	1	1	
666.00	129.6	15	16	1	0	0	
774.20	133.2	13	14	1	0	1	
583.70	221.7	16	16	1	1	0	
625.40	181.3	16	16	1	1	1	
